{'短评内容': '各种都不错哈', '短评打分': 5}
{'短评内容': '价格贵，热水壶很脏没人敢用', '短评打分': 3}
{'短评内容': '价格贵，热水壶很脏没人敢用', '短评打分': 3}
{'短评内容': '房间有点吵，下面都是小吃，但是离机场挺近的', '短评打分': 3}
{'短评内容': '很近，很干净很好，老板免费接送～人挺好的～晚上睡觉也很安静，也有饮水机～外面就夜市吃小吃的，老板还在半夜被我叫起来去接朋友也没有任何怨言……两口子都很和谐的，卫生也很不错，主要价格便宜质量又好. ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就一家庭旅馆，设施差，若不是为方便办事，不会选择', '短评打分': 2}
{'短评内容': '不咋滴！早上还没有接机', '短评打分': 3}
{'短评内容': 'wifi信号还没楼下卖串串的强呢？我就蹭的串串家网络，性价比可以，值得关注。', '短评打分': 4}
{'短评内容': '一般般了', '短评打分': 4}
{'短评内容': '总体感觉还行，第二次入住。', '短评打分': 3}
{'短评内容': '没一次性鞋子，没免费矿泉水，卫生也不好。', '短评打分': 3}
{'短评内容': '离机场近是最大的有点，房间小，有异味，5月入住尽然不提供蚊香，前台找了半天才找到去年留下的一片……房间没吹风机！', '短评打分': 3}
