{'短评内容': '就是那种旅馆', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间很好，有家的感觉，老板和老板娘超级热情，人很好~知道我是来考试的，特意准备了安静的房间，房间设施都挺不错的，卫生间空调电视wifi都有，如果下次有机会在这附近玩，还会再住的~~~', '短评打分': 5}
{'短评内容': '服务挺好，其他一般吧。', '短评打分': 4}
{'短评内容': '考托福订的这个地方 房间很小 外面也很吵 唯一的优点是离考场近 步行五分钟', '短评打分': 3}
{'短评内容': '设施算是最低的基本配置。好在比较干净。我是去财大考试的，考前可以在房间里背背书、休息一下，还是很值的。一般', '短评打分': 2}
{'短评内容': '描述不属实。退房还不同意。携程也是调节不当。没入住还扣我50元。', '短评打分': 3}
{'短评内容': '差评', '短评打分': 1}
{'短评内容': '家庭旅馆，营销做的不错，价格高了点，墙上有主题贴纸，老板还是用了心的，不考试不建议住。', '短评打分': 3}
{'短评内容': '设施太差，服务还可以。', '短评打分': 2}
{'短评内容': '为了考托福订的，第一天晚上凌晨四点才睡着，太吵了 窗户根本不隔音，马路上车的声音，隔壁房间和楼道里的声音听得一清二楚，吵死人了 厕所一股臭味儿 第二天果断换住的地方 考托福的朋友慎选', '短评打分': 1}
{'短评内容': '床是弹簧床 开关插座上积有灰尘 位于两条马路交叉口 常有大车开过 空气差 空调电视机电风扇倒是齐全 房间里面不算太脏 将就将就', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
