{'descr': '感觉有点吵 卫生间的空间有点小。其他感觉都还好', 'star': 4}
{'descr': '干净', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '地方好找，适合出差住宿', 'star': 4}
{'descr': '不错，挺好，比7天强很多', 'star': 5}
{'descr': '哈哈哈哈哈哈哈', 'star': 5}
{'descr': '很好，不错特别安静', 'star': 5}
{'descr': '周边出行挺方便的，就是酒店有点旧', 'star': 4}
{'descr': '酒店房间挺大的，也干净，附近交通便利，离北美新天地走路也就5分钟，买东西吃饭看电影都很方便，挺好的…', 'star': 5}
{'descr': '性价比不高', 'star': 3}
{'descr': '房间设计不太合理', 'star': 4}
{'descr': '晚上到太原，212的三人房，之前有打过电话问可不可以加被，到了以后就变成我找找有就给没有就不给。跟前台说帮找个好点儿房间，结果无线网坏了，来修说好不了了。床吱嘎乱响，旁边太吵。我带了个2岁的宝宝没法住。果断把后几天的给退了，以后再去太原坚决不住了。', 'star': 2}
{'descr': '一进酒店就感觉很温暖，前台服务也是帮帮的，真的很好，房间大而且干净，吃饭逛街都很方便，且不说其他的，就单单是服务，热情就比其他酒店比下去了，这是出来之后住的最好的，也是最满意的一次，希望其他酒店也能像这家一样，给人温暖，真的推荐大家来入住，价格也不高，用心推荐', 'star': 5}
{'descr': '房间干净、敞亮，前台服务比其他酒店好的不止一点，很喜欢这里的环境，进来感觉很舒服，暖暖的，每次来都住这边，真的是越来越好，价格也不高，不管是服务也好，房间干净也好，都是一如既往的好，满意，满意，赞', 'star': 5}
{'descr': '距离机场和火车南站很近，周边吃饭和娱乐的地方也多，算是比较经济的差旅住宿酒店。', 'star': 5}
