{'短评内容': '服务态度绝对可以算的上星级酒店，顶一个。', '短评打分': 3}
{'短评内容': '服务绝对可以。', '短评打分': 3}
{'短评内容': '很不错。虽然设施陈旧点，但是服务态度绝对可以算的上星级酒店。反正顶个', '短评打分': 3}
{'短评内容': '虽然性价比不错，虽然装修时间久了，设施偏旧，下次还会去', '短评打分': 5}
{'短评内容': '很不错的地方 希望优惠经常有 会经常去住的 环境很不错 早餐很好吃', '短评打分': 5}
{'短评内容': '住的感觉不错…不过服务上称不上三星标准', '短评打分': 3}
{'短评内容': '总体来说住宿条件还不错，值得再次入住！最主要的是还有免费矿泉水，算然价值不高，但很是满意！', '短评打分': 5}
{'短评内容': '价格便宜，房间太旧。服务还行。。。。。。。。不推荐。', '短评打分': 1}
{'短评内容': '便宜实惠，价廉物美。缺点是打车不方便，需要等很久。', '短评打分': 5}
{'短评内容': '＋卫生间不太好，没有吹风机。其他还好！', '短评打分': 3}
{'短评内容': '房价经济实惠，性价比高。\n但房间较小，酒店装修已经10年。', '短评打分': 5}
{'短评内容': '价钱实惠，交通不错，就是装修旧了点，不过相对这个价钱也不错了', '短评打分': 5}
{'短评内容': '总体不错，还是较实恵，就是空调效果不太好。', '短评打分': 3}
{'短评内容': '酒店位置不是很好，价格也偏高。房型比较小，除了床铺就没有什么空间了\r\n－台佳空调李伟杰', '短评打分': 3}
{'短评内容': '外部环境可以，但房间太旧，很久没装修过', '短评打分': 3}
{'短评内容': '宾馆房间设施较旧！这价格有点贵！但十一也没办法了', '短评打分': 3}
{'短评内容': '哪里的空调太差了，人啊，让我出了一身汗。晕啊，希望能改善。', '短评打分': 5}
{'短评内容': '酒店价格还是比较实惠的，服务态度也不错，早餐也蛮好吃的，就是位置稍微偏了一点', '短评打分': 5}
{'短评内容': '酒店的设施还算不错，就是早餐觉得一般。去的时候早餐有的品种还没好。', '短评打分': 5}
{'短评内容': '房间设施一般早餐很差', '短评打分': 3}
{'短评内容': '舒适，服务周到', '短评打分': 3}
{'短评内容': '住的一般，地段较偏。但可能吃饭还行，因为吃饭时有很多车停在前面。', '短评打分': 1}
{'短评内容': '紧邻马路，隔音效果奇差。睡在这家酒店跟睡在马路上的感觉差不多。一晚上我数了30辆拖拉机、125辆轿车、233辆货车经过。其中有47辆鸣笛', '短评打分': 1}
{'短评内容': '酒店打的很不方便，位置挺偏的。但是桐乡本身也不大的城市，能打到的士的话10块钱就能到市中心了啦。。。 ', '短评打分': 1}
{'短评内容': '之前住过一次，这次又去了\n结果，浴室漏水，楼上的水，漏的一地，跟瀑布一样\n去的第一天，就因为没有空调太冷而冻感冒了。。。', '短评打分': 1}
{'短评内容': '大堂有异味、无备用被子（只有毛毯）、不能上网（服务人员：就不能的态度）、床墙很多很多毛发、总之很差！', '短评打分': 1}
{'短评内容': '不是很明白为什么打扫卫生的一定要在午休的时间来打扫~~~\r\n其他都还不错，毕竟不是在桐乡很中心的位置\r\n就是房间很闷，空调没开，窗户也不怎么能打开~~好在后来要来一个电扇', '短评打分': 5}
{'短评内容': '早餐太简单。。位置有点偏', '短评打分': 5}
{'短评内容': '酒店各方面都不错，感觉位置有点偏。', '短评打分': 5}
{'短评内容': '大马路路边，有点吵闹。酒店设施偏老，走廊夜晚太暗。价格便宜，性价比还可以！', '短评打分': 5}
{'短评内容': '就是位置偏了点，离市中心比较远。另外的都还好。。。', '短评打分': 5}
{'短评内容': '卫生条件一般，设施很陈旧，地理位置有些偏，服务一般，性价比一般，下次会选择入住的', '短评打分': 3}
{'短评内容': '相对收费来说，酒店装修设施很不错，绝对超值', '短评打分': 3}
{'短评内容': '酒店比较老了，设置都很旧了，空调根本就虚设样的，服务一般。', '短评打分': 1}
{'短评内容': '位置也比较不错挺好找的,房间的卫生和舒适度都挺不错的,设施也比较好,还是比较不错的酒店.', '短评打分': 3}
{'短评内容': '离我办事的地方最近，服务卫生还不错，性价比不错', '短评打分': 5}
{'短评内容': '除了位置稍微有一点偏之外，其他的都已经非常不错了。关键是看性价比嘛。', '短评打分': 5}
{'短评内容': '酒店的位置离市区远，在郊区那里，饮食、出去玩都不怎么方便，价格到是挺优惠的，服务也不错', '短评打分': 1}
