{'descr': '由别的酒店改造的。', 'star': 3}
{'descr': '酒店地理位置不错，设施比较陈旧。住的时候，商场在施工，晚上11点还不停，早上5点就开始了。。。无语。', 'star': 1}
{'descr': '酒店服务不错，早餐还可以，就是酒店在装修，其他还可以', 'star': 5}
{'descr': '空调是坏的，电水壶烧水，整层的电闸就都跳了，晚上10点才有热水，不想解决或补偿办法，一直在讲对住客毫无意义的借口，连句“对不起”都不说，一个字“差”，很生气，端午收309实在对不起这个价钱', 'star': 1}
{'descr': '网看看图片不错，一打开房门，我真想吐，好多的苍蝇，那个被子也不敢睡，潮潮的。。让人崩溃。。是我出差这几年来住得最恶心的一次。。', 'star': 1}
{'descr': '离景区很近，条件凑合，服务态度还不错。旅游区嘛，都这样……', 'star': 5}
{'descr': '该酒店位置较好，吃饭、购物方便；但停车不便，房间较小，卫生一般，节假日标间309的价位实在与之不符。', 'star': 5}
{'descr': '环境很差，被褥潮湿，晚上各种声音入耳，隔音太差了。根本睡不着。不推荐。', 'star': 3}
{'descr': '网订249，为什么收我309一间', 'star': 3}
{'descr': '酒店晚上没有热水，枕套也不是很干净！', 'star': 3}
{'descr': '住的16层，风景很好，看得到西氿，这个价位性价比算是不错的。但是热水供应有点问题，冬天的话会冻死啊。这个问题一定要解决，现在夏天也就忍了。。。', 'star': 5}
{'descr': '地点不错。也好找。算是物美价廉的宾馆。早点15元自助餐，也还行。', 'star': 5}
{'descr': '这家酒店除了到晚上九点半七楼的水塔风机关闭前噪音扰人外，其他都物超所值，所以我连续续住了几日。值得再次入住。', 'star': 3}
{'descr': '酒店位于市中心闹市步行街旁高楼上，房间可观团汍湖风景，房间大设施好，几乎比媲四星级酒店，超值。', 'star': 3}
{'descr': '酒店离承德避暑山庄交通还算可以！比较干净，服务态度还可以！', 'star': 5}
{'descr': '该酒店位于市中心，交通便利，离避暑山庄仅几分钟的路程，距外八庙等景点也很近；购物、吃饭都很方便，卫生条件不错，新装修的卫生间很雅致，服务热情周到，还有免费的停车场，性价比较高，值得再次入住。', 'star': 5}
{'descr': '经济实惠。出差住的。总体还行。\n以后还会住。总体还行', 'star': 5}
{'descr': '换成莫泰168以后，房间比以前更干净更舒服，性价比很好，客房服务稍微欠缺一点', 'star': 5}
{'descr': '这酒店来了一次就再也不来了，首先酒店是在一个山坡上，还得拐好几个弯路进入一个住宅区内，刚一进入酒点好象正在装修，里面显的有些乱，然后开预定好的房间进去之后房间很小，对面就是住宅看的非常清楚，最可怕的是洗澡时洗了一半突然没有热水了，刚抹完沐浴路用凉水冲的，房间没有一次性拖鞋，桌子上面一层灰不知道是不是好久没有人来住了！！', 'star': 1}
{'descr': '这家酒店是我住过最差的酒店了，房间又小又破，卫生间还算凑和，但浴巾有些发黄。一百块都不值。下午从避暑山庄回来，想躺会，拿出被子一看，被罩不干净，让服务员换了一床，也没干净到哪去，晚上睡觉我连衣服都没敢脱。下午去周围转转，旁边的家庭旅馆40一晚，都比这里好多了。附近几家酒店不仅便宜，房间也好。唉，坑爹！就当涨一次教训吧。以后开车出去绝不在网上订酒店。', 'star': 1}
{'descr': '服务态度很好，晚上也很安静，离避暑山庄和小布达拉宫都很近。\n但是停车场不大，停车技术要求很高。', 'star': 5}
{'descr': '节日期间的价格太高，设施及环境差。凑合住了一晚。', 'star': 1}
{'descr': '好吧，其实订的是火神庙的店，但是后来不知整么的给换到了另外一家分店，据店员说，这种情况很平常，两家店会经常交换顾客。然后换到分店，不得不说实在差强人意，住在3楼，该店无电梯，窗户旁全是灰尘，周边环境很差，隔音效果还不是一般不好，整个晚上都没有睡着。', 'star': 1}
{'descr': '不错   性价比高......................              ', 'star': 5}
{'descr': '入住莫泰168（宜兴新东方店后，感觉还不错，就是上下楼不是很方便。', 'star': 3}
{'descr': '服务热情', 'star': 3}
{'descr': '房间不错，给我免费升级了！', 'star': 3}
{'descr': '酒店在住宅小区里面，位置还算旺中带静，房间感觉还算卫生干净，酒店离附近景区很方便', 'star': 5}
{'descr': '每次去宜兴都住莫泰，交通确实方便毕竟是市中心，价格也还好，只是相对的房间的硬件设施真的一般般了', 'star': 5}
{'descr': '长途车到站后酒店有车接，地下一层有免费桑拿，到避暑山庄步行15分钟，周边饭馆、购物都比较方便，总体感觉还不错，性价比比较高，中秋节旅游，提前半个月定的房间，价格比后来的人低了不少。', 'star': 5}
{'descr': '不错的房间~但墙壁隔音效果一般，闹市区很吵啊~~', 'star': 5}
{'descr': '不错，就是空调质量不咋地，声音太响，服务态度不错', 'star': 5}
{'descr': '地理位置不错 交通方便，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '地理位置很好！~价格也比较容易接受！~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '距离避暑山庄还是比较近的，房间硬件有些差，2个灯就一个能用，好在就一个晚上。', 'star': 5}
{'descr': '屋里太冷了，暖气有跟没有一样啊，盖了2层被子还是冷', 'star': 1}
{'descr': '酒店位置不错,很方便,设施有点陈旧,房间不大,不是特别干净.', 'star': 1}
{'descr': '房间稍有点小，插座也掉了，有线电视也不全，许多硬件应该更新维护一下，上网的网线也都不好用', 'star': 5}
{'descr': '环境不错，地理位置很好，就是感觉那个床不怎么行', 'star': 5}
{'descr': '还不错比较舒适', 'star': 3}
{'descr': '中午到酒店的，入住非常慢，等了有30分钟，还告诉我说无房，然后又说给我免费升级，结果给我的商务标间吧，空调根本没法用，声音响得跟拖拉机似的，叫前台安排人来维修，说一次不来，第二次来了吧又说不能修好，这时已经差不多晚上10点了，然后就说只能给我们换房间，于是换了房间后，那个空调也有问题，开1个小时就自动关了，一个晚上开了n多次。。。。受不了，虽然位置不错，从汽车站乘3路就能到，购物也方便', 'star': 1}
{'descr': ' 电视信号很差，房间稍小，暖气很好，热水不错。', 'star': 1}
{'descr': '还行吧，就是不太好找，房间设施还算完善，周边地理条件也还行', 'star': 5}
{'descr': '还行，基本都有，在闹市区 但是不临街。也安静，就是小一点，不过差不多了。', 'star': 5}
{'descr': '已经入住，条件不错', 'star': 3}
{'descr': '老城市中闹市居民区中的小快捷酒店，还好吧，位置不错', 'star': 5}
{'descr': '酒店住宿环境一般，不过价格和位置真的不错，并且周边吃饭非常方便。下次去还要住！', 'star': 5}
{'descr': '性价比不高，酒店环境一般。但因为地处市中心，所以地理条件比较优越', 'star': 1}
{'descr': '市口很好，设施一般', 'star': 3}
{'descr': '非常老的酒店，服务态度也很一般，不值这个价！！', 'star': 1}
{'descr': '一般  还行  差不多能住 服务态度可以  硬件还要改进', 'star': 5}
{'descr': '房间挺小的，但是还蛮干净的，楼下小院子有个小停车场，比较方便，而且安全', 'star': 5}
{'descr': '地段不错，房间也很大，还有配有电脑，就是吵呀。。楼下是商场，隔音实在是差呀，半夜有人办入住。。吵的都没法睡。。。', 'star': 1}
