{'descr': '地方有点偏，洗澡没有拖鞋。', 'star': 5}
{'descr': '不错的酒店', 'star': 4}
{'descr': '不错', 'star': 4}
{'descr': '酒店离个园很近，游玩方便，交通便利，停车场大。', 'star': 3}
{'descr': '在网上买了携程网票和家人一起去扬州度端午节了。定购的格林豪泰个园店，环境好，离景点--个园、何园、史公祠、东关街、瘦西湖、大明寺都很近，个园店出行方便。出门沿河就是护城河，沿河向西在御码头冶春茶社喝上早茶，品到扬州包子、大煮干丝……携程网不仅订房方便，且还有导游服务，给我的出游带来了便携。不过，通过此次出游开发票，我涨了点知识---在线支付不能由旅店直接开发票，只能通过携程网开具发票。', 'star': 5}
{'descr': '很好很便宜 很实惠', 'star': 5}
{'descr': '大失所望！各方面都与想象中差比较大！', 'star': 3}
{'descr': '很一般，除了距个园近些，再无其它优势。', 'star': 3}
{'descr': '每次去扬州必选的宾馆，很好', 'star': 5}
{'descr': '酒店还行，前台挺幽默的，笑起来好喜庆，看见都开心哈哈。房间设施还好。服务态度非常好。就是刚好在施工，去的时候绕了好远。', 'star': 4}
{'descr': '住过两次，性价比不错', 'star': 4}
{'descr': '设备比较简陋，服务比较差', 'star': 3}
{'descr': '性价比还行吧，停车很方便，这个价格在黄金周还是不错的', 'star': 3}
{'descr': '酒店设施有点旧，靠近景区，在个园对门，到东关街很近，到冶春茶社吃早点很方便，价格便宜，还能免费停车', 'star': 5}
{'descr': '给的房间窗户外不知道是什么机器的声音，24小时响个不停！  卫生间淋浴空间太小，和洗脸台紧挨着，不方便  除了价格、所处位置比较好，其他各方面都不行，早晨附近全是卖菜的，鱼虾肉味道很难闻。  ', 'star': 4}
{'descr': '_酒店卫生还行，但是太旧。', 'star': 5}
{'descr': '门口早上是一个临时的菜场，有点乱。房间可以的，停车场也很大，出门就是个园，到文昌阁也比较近', 'star': 5}
{'descr': '倒还干净，设施也齐全，也算安静，没有电脑', 'star': 5}
{'descr': '位置是在个园对面,但不是100米啊,亲们,至少300米啦,早上要穿过一个临时早市,房间还行,就是觉得往里走的远,而且门口只有旅游专线,没有其他公交.', 'star': 5}
{'descr': '地点略微偏些,房间中央空调热风挺好,使北方来的客人比较适应,出乎意料.入住的房间卫生打扫的不够干净,进屋后又请保洁员从新更换了床单被罩,对地面重新吸尘.服务态度挺好,有什么需求,回馈很及时.', 'star': 1}
{'descr': '很好，就是酒店前的小街道早上是个早市，全是卖菜的，不好往外出。', 'star': 5}
{'descr': '很好。房间干净，宾馆服务很好！星级水准。离个园很近，坐旅游专线很方便！', 'star': 5}
{'descr': '帮朋友订的，早上还特地跑去看了下，离个园是很近的，大概5分钟。房间挺干净的，可能是刚开没多久的原因吧，很新。他们说送的早餐很好吃。值得向大家推荐，不过早上那条巷子里卖菜的挺多的，晚上好点', 'star': 5}
{'descr': '房间很大，中央空调也比较给力，下次还会选择', 'star': 5}
{'descr': '还好，实际离个园门口有150到200米左右，最严重的问题，气味太重，估计刚装修没多久', 'star': 1}
{'descr': '恩~订的是豪华大床房，房间很干净，装修比较有味道，价钱合理 以后去扬州还会定', 'star': 5}
