{'短评内容': '赶飞机五点半退房，因网络问题，开票等了20多分钟。', '短评打分': 3}
{'短评内容': '停车方便，就是房间偏小，厕所老堵住！！', '短评打分': 4}
{'短评内容': '地理位置优越', '短评打分': 5}
{'短评内容': '没有吹风  拖鞋断根   开的单间给个双人   床还賊小', '短评打分': 2}
{'短评内容': '酒店没单独空调，中央空调不开，前台服务态度极差，不建议大家选择。', '短评打分': 2}
{'短评内容': '位置还可以，处在十字路口处，房间较小，但采光挺好，挺干净。', '短评打分': 4}
{'短评内容': '一般般，出差为了方便就住这了，比七天差点', '短评打分': 4}
{'短评内容': '除了位置好点其他没什么啦！！！！！！！！！！', '短评打分': 3}
{'短评内容': '到长沙来出差 酒店位置上较偏 不过离办事的地方近 客服人很不错 房间很简洁 没有异味 没有吹风机可以和前台要 洗漱用品均收费不过价钱合理 房间挺安静的 总体来说还不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '地理位置好，环境不错，房间也很干净', '短评打分': 5}
{'短评内容': '地理位置好，环境不错，房间也很干净', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
