{'短评内容': '方便方便方便', '短评打分': 4}
{'短评内容': '我订的没有早餐，总体不错', '短评打分': 5}
{'短评内容': '我订的没有早餐。总体不错', '短评打分': 5}
{'短评内容': '地理位置优越，是商旅的优质选择。房间干净整洁，布局大小很合理，不会很局促。因为酒店在河边，还能看到江景。满意', '短评打分': 5}
{'短评内容': '总体来说很不错，房间很大。', '短评打分': 5}
{'短评内容': '感觉还凑合吧，经济型酒店。。要求不太高', '短评打分': 4}
{'短评内容': '酒店在汉正街这边，交通便利，价位实惠，房间还蛮干净的，就是在路边稍微有点吵。不过影响不大，好在出行方便嘛！', '短评打分': 4}
{'短评内容': '最失败的一次体验', '短评打分': 2}
{'短评内容': '太差了 没法住', '短评打分': 2}
{'短评内容': '干净卫生确实很不错，老板人不错，环境好', '短评打分': 5}
{'短评内容': '位置有点偏， 不是很好找， 周围有公交，但是没有站牌，只能问当地人。打车不是很好打。订了两间房，一间可以看到汉江风景，另一间房间很大，可以看到晴川桥，晚上还是挺漂亮的。', '短评打分': 4}
{'短评内容': '还不错，就是外面车多点', '短评打分': 3}
{'短评内容': '房间通风可以，空间大，艺龙定房价格优惠！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很干净挺安静的', '短评打分': 5}
{'短评内容': '处于汉正街附近，交通不便利，出行打的难度非常大；还有酒店的细节做得不太好，我明明没有消费房价内的茶叶，但是服务人员硬说我已经消费，要不是我那天有急事要去办理，我非得跟前台服务较真下去。所谓细节决定成败，酒店管理也要步步落实到位，减少客户抱怨。', '短评打分': 1}
{'短评内容': '酒店位于汉正街附近，周边比较繁华，出行蛮方便的，附近有个批发市场，酒店内部住宿环境挺好的，各方面都还可以', '短评打分': 5}
{'短评内容': '酒店在汉口商业区，汉正街附近，地段较繁华，出行蛮方便的', '短评打分': 5}
{'短评内容': '双早、双中餐均较简单，服务质量一般。网速太慢。地理位置较偏，出行不方便。\r\n窗外汉江风景不错。', '短评打分': 1}
