{'descr': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', 'star': 5}
{'descr': '真的很不错，睡着很舒服！这是第二次去住宿了', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', 'star': 5}
{'descr': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉，干净卫生，明亮宽敞，廊灯和房灯一应俱全，大床很宽1.8米的大床，松软舒适。非常不错', 'star': 5}
{'descr': '挺好的。', 'star': 5}
{'descr': '加不了床啊，整体挺干净的，交通方便', 'star': 5}
{'descr': '价格可以，。。。@。', 'star': 5}
{'descr': '还不错吧，也挺干净的', 'star': 5}
{'descr': '满意，性价比还不错，我觉得可以，一个人出差住住，很不错', 'star': 5}
{'descr': '前5年入住时，卫生还好。至今再次入住，房子一下变得很破，水杯器具都没洗干净，杯套没有及时更换。', 'star': 1}
{'descr': '暂时住，帮朋友订的。太晚了回来。总体可以。', 'star': 4}
{'descr': '大堂和前台工作人员很有礼貌。房间干净整洁，也比较大，布置得很温馨，很舒服，位置非常棒。酒店设施总体上还是可以的。非常非常满意的一次入住体验。  ', 'star': 5}
{'descr': '还行，卫生条件差了一点。', 'star': 3}
{'descr': '挺好的 地点好找  每次出差都去', 'star': 5}
{'descr': '到火车站很方便，比较实惠，酒店比较老，设备都比较旧，初了窗户玻璃很脏，整体环境还可以', 'star': 4}
{'descr': '适合出差人士，房间比较小，性价比可以', 'star': 3}
{'descr': '卫生有点差！', 'star': 3}
{'descr': '还不错。。。就是那时住的房间没窗户。。。很安静', 'star': 5}
{'descr': '环境不错，价格合理', 'star': 3}
{'descr': '隔音特别差，隔壁说话都能听清！环境一般般', 'star': 1}
{'descr': '价格没有一点优势，倒是服务够说上一顿的。去前台办理入住手续，一说网上订的，很不情愿的样子开始翻便签本上登记的名字，一边找还一边说“我这里房间都不够住，你还是网上订的”。没找到，就质问我预定的谁的名字，再找，就找到了。晕啊！网上订的怎么了，挂牌价跟网上订的价格一样，为什么还要歧视我们网友，晕啊！打死也不再来了。', 'star': 1}
{'descr': '不错啊。环境还行。离车站近。饮食方便。房价优惠', 'star': 5}
{'descr': '屋内气味重，隔音差，走道里太吵。不过，服务态度很好。', 'star': 3}
{'descr': '环境很好，价格也合理，不错。', 'star': 3}
{'descr': '酒店条件尚可，房间隔音差，交通较方便', 'star': 3}
{'descr': '交易便利··周边生活设施完善··很安静··美中不足的是房间有点小，房间隔音一般··不过值这个价了···还不错···', 'star': 5}
