{'短评内容': '没有早餐', '短评打分': 4}
{'短评内容': '酒店还行，交通方便，吃喝方便，卫生方面稍差一些，需要改进一下；将就住了一晚，总体来说值得推荐给大家。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '一般，不建议', '短评打分': 3}
{'短评内容': '无早餐，交通还算方便，网络信号一般，如果入住注意别临街，灰常吵。马桶等设施很一般，盖还是坏的。性价比还行吧。', '短评打分': 3}
{'短评内容': '提前预定的，信用卡担保，到了居然说没房，还好刚好有人退房，不然没地方住了，态度很不好啊！', '短评打分': 3}
{'短评内容': '虽然设施方面不够好，但贵在工作人员服务不错，价格也相对很便宜，反正就是晚上睡觉，干净整洁就好，这一点酒店做得不错。而且离曹家堡城市候机楼非常近，赶飞机的同志可以考虑选择。', '短评打分': 4}
{'短评内容': '不敢恭维', '短评打分': 3}
{'短评内容': '酒店离民航大巴终点站很近，这是最大的优势，因为西宁的出租车确实太难打了，半个小时等不到车很正常。酒店的设施一般，和那些快捷酒店都差不多，感觉价位上有点高了。但是屋内有电脑，可以上网，还提供免费一次性的面巾，质量还不错。阳面房子是临街的，晚上过车有点吵。哦，对了，退房时间是中午一点。', '短评打分': 5}
{'短评内容': '住的还可以，就是酒店的位置稍微偏一点，因为酒店知名度不高，有点难找。', '短评打分': 5}
