{'descr': '不错不错不错', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '还可以哦！价格还不贵', 'star': 5}
{'descr': '酒店交通便利 停车很方便', 'star': 3}
{'descr': '订了家庭房  小床上面有个挡板 需要放下来 不然睡觉极容易碰伤 还有门锁突然么电了 无法开门  打电话通知前台 需要处理一下  结果上来的师傅 说这个挡板不会弄  门锁么电 维修师傅下班了  偶们只好去前台协调 给了一把钥匙  挡板回来自己研究  不过酒店停车还是蛮方便的 旁边就有停车场 一个小时内免费  超过时间 可以去前台拿停车劵   希望酒店能安排好维修人员  下次来住 能提供更好的服务', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '很不错的客房', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '经济实惠 比较干净', 'star': 5}
{'descr': '出差首选的酒店', 'star': 4}
{'descr': '常住的酒店 服务挺好的', 'star': 4}
{'descr': '家人觉得性价比还是可以的', 'star': 5}
{'descr': '经常住 房间虽小单挺温馨。 就是没有吹风机 。每次都要去问前台很多时候都没有', 'star': 4}
{'descr': '各方面都还不错，就是网速有点慢了', 'star': 5}
{'descr': '挺干净，就是房间太小，房间里也没有吃的东西', 'star': 5}
{'descr': '房间不是很大，但是屋内装修还不错，整体满意，就是希望价格能多多搞活动，便宜一些~', 'star': 5}
{'descr': '只是因为离车站近，无奈又去住了一次，网速慢也就算了，早餐实在太寒酸，30元人民币哦，不能想吃太多东西，至少也要有点东西吃吧。晚上八点多到酒店，餐厅工人在吃晚餐，住客想吃东西还得到外面去找。', 'star': 1}
{'descr': '很干净，隔音有点不好但是不算很大，卫生间没有小灯晚上太亮了，热水壶倒水会侧漏这个需要改进，', 'star': 5}
{'descr': '房间硬件还不错。。。价格也适中。。。只是上网有问题晚上21：:00就无人值班处理了。。。期待加强', 'star': 5}
{'descr': '缺毛巾', 'star': 3}
{'descr': '酒店环境和安保都不错，最起码晚上没有按摩XJ打电话，没有小毛巾，这个有点不方便，我住的8层，隔音效果不是很好，不过总体来说还可以', 'star': 5}
{'descr': '经济型酒店,感觉还好,就是隔音不行,隔壁客人手机振动,闹得我都睡不着.', 'star': 1}
{'descr': '还可以吧，环境不错，离虞山很近。', 'star': 3}
{'descr': '酒店属于商务连锁酒店，类似国内的如家等，总体还可以！', 'star': 5}
{'descr': '很干净，很好', 'star': 3}
{'descr': '房间小巧很温馨，挺干净的，价格也不是很贵', 'star': 5}
{'descr': '卫生干净，价格合理，服务周到,下次出差还是住宜必思', 'star': 3}
{'descr': '典型的欧式风格，简单舒适。', 'star': 3}
{'descr': '除了离我家近点   其它无任何优势   除了大堂其它哪都不干净！！！特别是房间里的毛巾', 'star': 1}
{'descr': '还好O干净，交通也还方便，就是房间顶上有奇怪的污渍，让人心里別扭', 'star': 5}
{'descr': '很满意，装修现代简约大方、整洁干净卫生，安全电梯刷卡！', 'star': 5}
{'descr': '酒店环境很好，很安静舒服，就是早餐太失败，还不如莫泰和汉庭的早餐！', 'star': 5}
{'descr': '房间很干净，不足是新装修的酒店，味道比较大', 'star': 5}
{'descr': '设施差，房间小，卫生不好，蚊子多，服务态度极其糟糕，有一种上当受骗的感觉。', 'star': 1}
{'descr': '酒店不提供梳子、小毛巾等物品，主要是不提供梳子很麻烦。早餐要20块，有点贵了，其他还好，进房间不用插房卡取电。', 'star': 1}
{'descr': '酒店比较小 感觉不错 应该是美国的连锁 还有就是十一期间人太多了', 'star': 5}
{'descr': '交通比较方便，附近也有吃饭娱乐消费的地方。单人来住还是比较好。不过听说标准间的床位比较小，第二天，我帮朋友预定了标准间，当2个朋友来住时，由于床位较小所以没有入住。', 'star': 5}
