{'短评内容': '床单没换，浴巾没换！', '短评打分': 2}
{'短评内容': '位置很好，交通方便，打车很好打，楼下就有开到三点的小型超市，很方便的，感觉适合一家人来旅行，而且房价优惠', '短评打分': 5}
{'短评内容': '干净整洁卫生，老板人也很Nice。很开心的一次入住。', '短评打分': 5}
{'短评内容': '太棒了', '短评打分': 5}
{'短评内容': '特别棒', '短评打分': 5}
{'短评内容': '挺好的挺好的~挺好的挺好的~挺好的挺好的~挺好的挺好的~挺好的挺好的~', '短评打分': 5}
{'短评内容': '太棒，太温馨，太浪漫了。老板和阿姨态度超好，麻烦了好几次都没有怨言，就跟家一样。晚上观看夜景，那个感觉，真是没谁了。物超所值', '短评打分': 5}
{'短评内容': '虽然条件一般，但是还是很温馨。这个价格值了。', '短评打分': 3}
{'短评内容': '环境不错睡觉不错，洗澡水热', '短评打分': 5}
{'短评内容': '卫生干净！服务一流，有家的感觉', '短评打分': 5}
{'短评内容': '环境很好，楼层很高，夜景很美~好评', '短评打分': 5}
{'短评内容': '一迸门就有点后悔了，入住手续挺麻烦的。房间还好，有点小旧，就装修有点怪，空调不给力。插头少不方便充电，若有送水就好了。', '短评打分': 3}
{'短评内容': '非常给力，性价比超高，出差的朋友首选', '短评打分': 5}
{'短评内容': '出差住的！很不错的房间！', '短评打分': 5}
{'短评内容': '房间环境好，适合长期居住。', '短评打分': 5}
{'短评内容': '比周围的快捷酒店好太多，太多', '短评打分': 5}
{'短评内容': '很好，住了好长时间。', '短评打分': 5}
