{'短评内容': '离火车站不算远，挺安静，干净，房子宽敞', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境非常好，很安静，旁边是小区和居民区，很适合休息。酒店设施齐备，干净整洁，网速快，前台服务周到，热情大方，下次还会选择这家酒店', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '挺好的，帮朋友订的，很好反馈', '短评打分': 5}
{'短评内容': '酒店位置非常好，出行比较便捷，前台的美女们服务超级好，新装修的房间，房间也很干净卫生，下次还会继续入住！', '短评打分': 5}
{'短评内容': '感觉和以前差不多 住过很好次了', '短评打分': 5}
{'短评内容': '房间还是可以的，但是网速太慢，欢乐颂2都看不了！', '短评打分': 5}
{'短评内容': '还可以吧，有点不太好找，其它还行', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '越来越不如从前了，这个价格不值得，', '短评打分': 2}
{'短评内容': '酒店最近正在装修，前台工作人员一点不热情，没有以前好了，房间冷，空调不好用，无限网络信号也非常差，太让我失望了，', '短评打分': 5}
{'短评内容': '好啊!', '短评打分': 5}
{'短评内容': '整体还可以', '短评打分': 5}
{'短评内容': '还可以，环境很好', '短评打分': 5}
{'短评内容': '还可以吧一般', '短评打分': 4}
{'短评内容': '怎么说呢 地点位置有点偏  但是服务态度很好  有问题打电话到前台  很快就来帮我们收拾了', '短评打分': 4}
{'短评内容': '服务态度好！环境干净，空间不错，很适合朋友出行', '短评打分': 5}
{'短评内容': '服务态度好！环境干净，空间不错，很适合朋友出行', '短评打分': 5}
{'短评内容': '位置还可以，就是酒店稍微有点旧，其他都还不错。', '短评打分': 5}
{'短评内容': '酒店的供暖和淋浴太次了！花洒就3个眼好用！', '短评打分': 4}
{'短评内容': '蛮不错的a', '短评打分': 5}
{'短评内容': '不错的酒店。里面卫生很好、服务态度也不错、总体还不错、下次还会去住。', '短评打分': 5}
{'短评内容': '在刚下火车时，打电话到酒店问路，接电话的是一位女生，说了一遍位置我没听明白，她马上就不耐烦了，语气马上僵硬起来，让人觉得不大爽，但没有因为她一个人而影响我的心情。总体感觉不错，在我未到时一位男士就主动与我联系，确认我是否入住，几点入住，接待我们的值班人是这位男士，非常有礼貌，给我的印象非常好，房间干净整洁，早餐也挺丰盛，我儿子喜欢吃，最大的缺点就是没有电脑不方便。', '短评打分': 5}
