{'descr': '给朋友订的，地点略难找，靠近老外街&hellip;以上', 'star': 1}
{'descr': '有点脏', 'star': 2}
{'descr': '不错，不过开车进去没有優惠停车，很贵最低30', 'star': 5}
{'descr': '地点比较方便，服务周到，前台服务员非常可爱，下次到湛江还要住这里', 'star': 5}
{'descr': '日本客人住的，挺好', 'star': 5}
{'descr': '名不副实，洗漱用水也没有', 'star': 1}
{'descr': '房间很安静 就是里面房间比较绕 其他都还行', 'star': 5}
{'descr': '服务很好', 'star': 5}
{'descr': '除了京东的确认短信不可信之外，其他基本满意', 'star': 4}
{'descr': '和朋友一起住，很好的感觉', 'star': 5}
{'descr': '有装修的味道，空调不好用，换了两次房间', 'star': 5}
{'descr': '环境幽静，出行便捷。', 'star': 5}
{'descr': '没有电梯非常不方便', 'star': 4}
{'descr': '有点难找。。快捷酒店就那样了。。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': 'WIFI真的很差劲，经常断线，连不上！停车说免费，却没有完全免费', 'star': 3}
{'descr': '环境安静舒适', 'star': 4}
{'descr': '还蛮好的', 'star': 5}
{'descr': '服务比较差.要求的房型没有给我做更换.', 'star': 4}
{'descr': '很好', 'star': 4}
{'descr': '垃圾桶就放在酒店外，只不过在市区就卖得比北上广要贵', 'star': 4}
{'descr': '在城市中有这样一块安静的地方已属不易，除去设施有些老旧，其他都好，推荐！', 'star': 3}
{'descr': '干净，整洁，环境优雅，安静，值得推荐，价格公道。值得推荐。', 'star': 5}
{'descr': '帮朋友预定的，朋友入住后感觉还挺好的，我们定的是高级大床房', 'star': 5}
{'descr': '经济型酒店，也就那样吧，周边环境一般，去机场方便。', 'star': 5}
{'descr': '房间挺大，大床房的床非常大，也挺干净的。酒店的建筑和园林有点特色，交通也很方便。', 'star': 5}
{'descr': '很好的酒店，徽商会馆的菜很香！下次经过虹桥机场还会选择这里。', 'star': 5}
{'descr': '还可以，交通比较方便。环境安静。\n房间还可以', 'star': 5}
{'descr': '非常安静，好打车，早餐不错。旁边徽商饭店的饭菜很不错。下次去上海还会考虑这里。', 'star': 5}
{'descr': '很好，很温馨，服务好，环境整洁！下回还来！', 'star': 5}
{'descr': '干净...小而不紧凑...舒适///\n早餐煎饺很好吃', 'star': 5}
{'descr': '总体不错，唯一不足就是：虽然离火车线有段距离，但难得有几辆火车经过，还是能轻微听到点响声！', 'star': 5}
{'descr': '房间还好，就是太吵，外边有 施工的晚上七八点还机器轰鸣', 'star': 5}
{'descr': '酒店位置不错，离虹桥机场很紧。到地铁站也很近。徽菜馆的菜真地很好吃。', 'star': 5}
{'descr': '挺好了，除了入住时知道是三晚，前台让交了四百押金，然后第三晚很晚又打电话让我去交房费！怎可以这样？', 'star': 3}
{'descr': '很安静 大床房空间很大 不局促 蛮干净的 设施比汉庭快捷好\n很满意 \n下次坐飞机还住这里 ：）', 'star': 5}
{'descr': '酒店安静 交通方便\n\n酒店就在虹桥万豪酒店的后面，打车可以到万豪酒店门口去，出租车很多。\n从酒店步行到10号线地铁站大概7-8分钟，如果乘坐地铁去虹桥T2航站楼\n的话，从酒店到航站楼不到30分钟。推荐！\n', 'star': 5}
{'descr': '酒店外面看上去还不错，里面设施一般，就是旁边马路太吵，其他还可以', 'star': 5}
{'descr': '服务太差 网速太差  性价比很低  真的让人有点失望', 'star': 5}
{'descr': '离南京站不远，到桥北去坐公交方便，门口就是车站，锦江一直是很干净的，但好像上海的锦江卫生更突出', 'star': 5}
{'descr': '酒店不错，非常温馨。干净整洁。值得推荐的一个酒店', 'star': 5}
{'descr': '房间好大，电视小了点', 'star': 3}
{'descr': '已经几次去住锦江之星（南京火车站一店）（原中央门店），感觉挺温馨的，还不错！', 'star': 5}
{'descr': '已入住，酒店还行，只是外面有些吵，', 'star': 3}
{'descr': '就是隔音不好  房间和房间直接应该是用的板隔的', 'star': 5}
{'descr': '房间很干净，交通很好。就是现在外面在施工，好像在做房子打地基，吵死了。靠马路的房间都不好。我早上6点多就被吵醒了，郁闷。', 'star': 1}
