{'短评内容': '酒店干净卫生，安静', '短评打分': 5}
{'短评内容': '地理位置很方便，房间也很干净，然后早餐可以在附近找到很好吃，前台服务很贴心，如果是出差或者旅行都可以试试看这家酒店', '短评打分': 4}
{'短评内容': '交通方便，吃饭也方便', '短评打分': 5}
{'短评内容': '一般般，就是旁边单位的招待所。', '短评打分': 3}
{'短评内容': '就是单位的招待所，只能说一般般吧，一般快捷酒店。', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '房间订的是3楼以上的。给我的却是2楼的老房间。电视遥控器上都是白色脏东西。刚去的时候说没有团购房间了。为了住好点的房间特意拍的170元的。给的却是最差的。早餐特别一般。去的朋友慎住', '短评打分': 3}
{'短评内容': '性价比比较高，我们是一家子去开房洗澡的，热水不错。', '短评打分': 3}
{'短评内容': '好！！！！', '短评打分': 4}
{'短评内容': '挺好的，各方面都非常满意，希望以后还能这样。', '短评打分': 5}
{'短评内容': '不错，干净，洗澡水大', '短评打分': 5}
{'短评内容': '洗澡水很足，洗澡很方便，床干净，睡着舒服！', '短评打分': 5}
{'短评内容': '出差经常来这，有无线，房间还可以', '短评打分': 5}
{'短评内容': '酒店不错，挺干净的。', '短评打分': 3}
{'短评内容': '房間佈置精巧整體環境佳離鬧區很近搭三輪車6元即可、斜對角即是有名的小胖子餛飩。\n早餐無法提升我的食慾尤其牛奶不香濃感覺加了水。', '短评打分': 5}
{'短评内容': '环境不错，下次肯定还会再来。', '短评打分': 3}
{'短评内容': '干净，舒适', '短评打分': 3}
{'短评内容': '房间还不错，性价比高，离市中心有点距离，靠路边，有点吵。', '短评打分': 5}
{'短评内容': '很普通的假日酒店，中规中矩。新开一年多，所以各项设施还比较新。\n早饭东西比较少。停车场够大。', '短评打分': 5}
{'短评内容': '酒店相当好！卫生和床都是新的！早餐供应也好，房间电视电脑都是液晶的！', '短评打分': 5}
{'短评内容': '新装修的商务酒店， 很好， 下次继续住那里', '短评打分': 5}
{'短评内容': '总体来说，还是不错，就是千万不要住临街的一面，晚上太吵，影响睡觉。早餐订起来有点麻烦，只有10元的选择，完全可以考虑自助，也贵不了多少。', '短评打分': 5}
{'短评内容': '房间装修比较新，也比较干净。但注意的是，绝不能住靠路边的一面，晚上的车开过去太吵了。窗户密封性不好。基本一个晚上没有睡好。', '短评打分': 5}
{'短评内容': '房间大，停车方便，在洪波路上比其它酒店好多了，唯一不舒服的早餐，定价供应，第一次碰到，希望能改掉这样的规定', '短评打分': 5}
{'短评内容': '酒店房间很大，床也很舒服，停车场很大恨方便，洗浴设施也很新。唯一的缺点就是网速相当慢。希望有所改进！', '短评打分': 5}
