{'短评内容': '瑞安的酒店就这么差劲吗', '短评打分': 2}
{'短评内容': '早餐不咋地，网络超级差！', '短评打分': 3}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '环境很好服务到位、房间卫生搞得非常干净、服务员很有礼貌。餐厅很多菜品很可口、希望下次旅行还住这边！谢谢！', '短评打分': 5}
{'短评内容': '一般般没有评价那么好', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错 返点不知道怎么弄', '短评打分': 5}
{'短评内容': '还不错，便宜', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 5}
{'短评内容': '只是一个商务酒店，都很差，下次不来了', '短评打分': 2}
{'短评内容': '酒店性价比高，推荐入住，交通方便。', '短评打分': 4}
{'短评内容': '客房味道大', '短评打分': 3}
{'短评内容': '服务态度好，环境一般', '短评打分': 4}
{'短评内容': '价廉物美', '短评打分': 5}
{'短评内容': '隔音不好啊', '短评打分': 5}
{'短评内容': '酒店不错 瑞安也就几家还行', '短评打分': 5}
{'短评内容': '位置比较偏，停车位比较紧张，房间比较脏，总体感觉不太令人满意。', '短评打分': 1}
{'短评内容': '.这个酒店不错.就是隔音不太好.其它很好.', '短评打分': 3}
{'短评内容': '真心的不好，，不过瑞安这个地方，，，不说啥了。。。真是脑子坏忒了才会住那里去，，，，，，，，，', '短评打分': 1}
{'短评内容': '住的是豪华大床房，里面设施和服务都还不错，前台态度也还行，总得来说还是不错的，只是可惜那天有事没有去看下早餐如何', '短评打分': 5}
