{'短评内容': '破的不是一点，连小招待所都不如', '短评打分': 1}
{'短评内容': '很一般，就是图个近，距离学校比较近，附近吃饭的话得走远一点。设施很老，卫生也很一般，和衣睡一晚就凑合了', '短评打分': 3}
{'短评内容': '晚上吵，服务一般，东西基本坏完了！', '短评打分': 4}
{'短评内容': '很好，希望以后有机会还去。', '短评打分': 5}
{'短评内容': '服务真的是超好', '短评打分': 5}
{'短评内容': '估计要关门了吧，4号150的房间，跟外面40块钱的宾馆一样。马桶奇迹般的里面还有烟头，地板脏的一塌糊涂，桌子上一层灰。', '短评打分': 1}
{'短评内容': '非常适合秋冬', '短评打分': 5}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '房间小一点，其他挺不错的，99元的房间么', '短评打分': 3}
{'短评内容': '有点冷', '短评打分': 5}
{'短评内容': '差，无空调', '短评打分': 1}
{'短评内容': '地址是错的，好偏僻，环境好差，差评', '短评打分': 3}
{'短评内容': '离考点近…', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '因为考试，选择了这里，离学校很近，凑合吧！', '短评打分': 1}
{'短评内容': '服务不是很好，环境很一般  就是郭杜附近为数不多的酒店，性价比很低', '短评打分': 1}
{'短评内容': '总体还是不错的，比较安静，可以免费停车。                   ', '短评打分': 5}
{'短评内容': '房间靠近马路，有点吵，设施稍显陈旧。性价比一般吧。', '短评打分': 3}
{'短评内容': '酒店发霉味道太重，设施一般。卫生条件不好', '短评打分': 1}
{'短评内容': '很烂，很潮湿，没有说得早点！骗人，晚上很吵！！！！！很吵！！街道全是拉图车！！！', '短评打分': 1}
{'短评内容': '总体感觉还不错，就是稍微偏了一点，不过也对得起这个价格了。。。', '短评打分': 5}
{'短评内容': '位置很少偏，酒店设施和网上描述的有差距', '短评打分': 3}
{'短评内容': '一般的酒店，管理一般，服务态度还可以，不太挑剔的话，性价比还可以啦。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还好，比想象的离市中心的距离还近一些，门口就是公交，吃饭不是很方便', '短评打分': 3}
{'短评内容': '酒店基本没服务员，房间潮湿狭小，千万别买其餐票！说实话根本不应该被放网上预定，纯粹骗钱的！', '短评打分': 3}
{'短评内容': '房间很潮湿，条件一般，早餐厨师态度很好！', '短评打分': 3}
