{'短评内容': '住的舒适，很温馨，特价房非常值得入住，走廊摆设比较好', '短评打分': 5}
{'短评内容': '下面的KTV有点吵，客房感觉有点旧', '短评打分': 3}
{'短评内容': '感觉一般. 房间装饰陈旧.  服务还可以. ', '短评打分': 3}
{'短评内容': '设备比较设备陈旧，还算干净，房间大、床大，还可以', '短评打分': 5}
{'短评内容': '酒店旧，冷气不冻，设备老化。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '宾馆的设施太残旧了，墙面很多发霉的痕迹，电话、空调要调房子才能换到好一些的房间，其实到市桥需要转座的士才能到达目的地，不是很便利！但是世昌酒楼的饮食比较方便和好吃的！我建议不要再去那里住宿，可以在那里饮食。', '短评打分': 1}
{'短评内容': '这个还可以，就是设备有点陈旧，服务态度也是很好的，值得选择！！', '短评打分': 5}
{'短评内容': '酒店位置好，交通还算便利，推荐酒店的早茶，很好吃~', '短评打分': 5}
{'短评内容': '世昌宾馆太差,房间及设施太旧,房价240还不如160左右的如家等快捷酒店.', '短评打分': 5}
{'短评内容': '离地铁站挺近的，出行还是比较方便的。', '短评打分': 5}
{'短评内容': '房间挺大，挺干净，还是不错的。', '短评打分': 5}
{'短评内容': '房间挺大的，收拾的挺干净，服务也不错，整体感觉性价比还可以。', '短评打分': 5}
{'短评内容': '服务很到位，房间整洁舒适，这家酒店值得推荐一下。', '短评打分': 5}
{'短评内容': '设施太旧了，性价比不好', '短评打分': 3}
{'短评内容': '设施太旧了，性价比不好', '短评打分': 3}
{'短评内容': '宾馆很干净，整体感觉较舒适，很喜欢。', '短评打分': 5}
{'短评内容': '不错  房间大', '短评打分': 3}
{'短评内容': '不错 走不远就是地铁了 房间很大', '短评打分': 5}
{'短评内容': '整体整洁舒适，服务到位，接待人员很热情，感觉挺受重视的，不错。', '短评打分': 5}
{'短评内容': '老酒店了，设施很陈旧，硬件不成，软件：服务人员态度，卫生条件都一般化，这个档次的酒店，感觉价格偏高，而且床睡着很不舒服，下次不会选择入住了。', '短评打分': 1}
{'短评内容': '酒店设施太旧。', '短评打分': 1}
{'短评内容': '比较乱', '短评打分': 1}
{'短评内容': '很糟糕的酒店，酒店里的地毯太脏了，淋浴房破旧不堪，门都关不起来。酒店整天都有楼下的鱼腥味，不推荐', '短评打分': 1}
