{'descr': '老板及弟弟热情，周到。服务极佳。环境特别。有古城之味道', 'star': 5}
{'descr': '酒店位置不错，小院也很有味道，但床上用品陈旧，卫生一般，如果这个跟上那就……', 'star': 4}
{'descr': '一般般吧，国庆节去的，价格有点小贵，设施有点落后，电视没几个台', 'star': 4}
{'descr': '古色古香！价格适中！', 'star': 5}
{'descr': '不给早餐', 'star': 1}
{'descr': '酒店还好，本来团了两天的，可是结果又增加一天老板收的现金也没有要加价（毕竟是中秋节呢）。第二天的时候遇到洗澡没有水的情况，略不爽，毕竟才二楼，不应该吧。不过总体还是不错的，四星吧', 'star': 4}
{'descr': '老板服务很热情!整体感觉还不错。', 'star': 5}
{'descr': '老板服务很贴心!总体感觉还是不错的', 'star': 5}
{'descr': '古城里的酒店都差不多，很有古城风韵，不过住的体验就一般了', 'star': 4}
{'descr': '首先赞一下他们的服务，虽然是黄金周到的，但一给店家打电话他们就找人来接我们，蛮感动的。黄金周价格就不说了是平时的N倍，所有的景区肯定都是这样，无所谓了。客栈位置是城隍庙街，离各个景点都很近，出去游览特别方便。我们住的是二楼，房间倒也干净整洁，虽然小，基本设施都有。还赠送了早餐，小米馒头白菜北瓜，是喜欢的清淡舒服的早餐，总之旅行还算满意', 'star': 5}
{'descr': '一般吧 没停车位置', 'star': 3}
{'descr': ' 住宿条件较差,房间有异味,不过确实是老宅子,外观不错,值得参观!', 'star': 3}
{'descr': '土色土香，环境还不错，地理位置也好~就是早上八点就有人来敲门叫吃早饭了~~~总体很好~~', 'star': 5}
{'descr': '属于古城里面离火车站比较远的一家，感觉不是很方便。住宿条件一般般，热水很小，洗澡不是很方便；没有有线网络，无线网络信号很弱，很难连上，连上了没几分钟也会断。店家对客人的态度极其一般。', 'star': 1}
{'descr': '交通便利，周围有很多商场，而且总体来说比较干净。', 'star': 5}
{'descr': '卫生条件一般，价格不便宜，上网还得打电话问前台上网密码，退房慢，当时手机上网订的，没怎么看，以后一定要慎重。', 'star': 1}
{'descr': '酒店地理位置不错 是个比较老一点的宾馆 卫生状况一般化 对面吃饭比较方便 到刘公岛的交通很便捷', 'star': 5}
{'descr': '房间还不错，早餐也还不错，地点一般，如果价格还可以低点就好了~~', 'star': 5}
{'descr': '房间小就不说了，卫生一般，连张写字台都没有，网速奇慢，带电脑旅游的朋友不推荐。最让人受不了的是一到晚上有浓烈的煤烟味，老板说是烧锅炉造成的，煤烟味熏的连眼睛都刺痛，建议驴友找住处要考虑这一点。', 'star': 1}
{'descr': '酒店位置不错，就在汽车站、火车站南100米，非常方便做长途汽车；房间设施还不错，就是被子有点薄，10月2日住还用的夏天的清凉被，冻得够呛！\n早餐看着一般，没吃！附近就有肯德基、彤德莱，吃着还不错！\n价格可能是黄金周的缘故，有点贵，住汉庭同样的条件平时也就160元！', 'star': 5}
{'descr': '威海金福感觉不错,地理位置,舒适方便度都可,以后可以再来', 'star': 3}
{'descr': '客栈不错，很有古典特色，本身就是个景点，老板人也挺好。', 'star': 3}
{'descr': '服务很好，设施很新，早餐不错，下次还会选择这间酒店\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '因为抵达宾馆较晚，没浏览宾馆全貌，不过地理位置较好，离火车站很近，而且服务员态度很好，办理入住，退房都很快，房间干净卫生，就是宾馆有点旧了。', 'star': 5}
{'descr': '有早餐，房间大，一家三口住不错。服务也不错，有宽带。', 'star': 5}
{'descr': '价格相对有点高，卫生一般，优点是离火车站汽车站比较近！', 'star': 5}
{'descr': '周围的购物环境很好，紧邻家家悦、佳世客、乐天新玛特等，距离火车站和汽车站都很近，适合出行。房间卫生一日一打扫，安全，就是临路有噪音。', 'star': 5}
{'descr': '还算可以，就是服务有点不如人意', 'star': 3}
{'descr': '靠近火车站、汽车站，酒店环境还不错。值得入住。', 'star': 5}
{'descr': '该酒店卫生条件好，服务员服务态度好，包括老板对顾客都很热情，酒店还能到高速路口接你带路，并且不收费。环境也好，我们还有其他很多顾客都在院子里面照相。', 'star': 5}
{'descr': '感觉很好，干净，安静，有停车场，服务热情，强力推荐', 'star': 3}
{'descr': '客栈古色古香，但房间阴冷潮湿，前台经常没人', 'star': 3}
{'descr': '地理位置好，在平遥古城内，很方便。卫生条件好，老板和服务员服务态度好，吃饭都很好，还能上网。价格实惠。下高速前打电话问从哪个城门进，没想到老板说到高速路口接我们，去平遥前在网上看，网上评论说平遥有好多骗人的事，我们怕他们接后再多要钱，实际上没有多要钱。很满意', 'star': 5}
