{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第二次选择他家了 真的很实惠', '短评打分': 5}
{'短评内容': '这地理环境 酒店配置 算是非常合适了 不错', '短评打分': 5}
{'短评内容': '环境还行，挺干净。', '短评打分': 4}
{'短评内容': '距地铁5号线灯市口站8、900米，交通较便利。这个价格总体上马马虎虎！', '短评打分': 5}
{'短评内容': '一直信赖京东，这次也不错，在这订酒店了。', '短评打分': 5}
{'短评内容': '住的小！给退了！问这客服问题迷迷糊糊', '短评打分': 3}
{'短评内容': '卫生，舒适，干净！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好干净，好棒', '短评打分': 5}
{'短评内容': '房间空间小，酒店服务差，态度很不好，就好像你欠他一千几百万一样，酒店卫生也不是很好，不过这样的连锁酒店管理也就这样水平', '短评打分': 1}
{'短评内容': '房间空间小，酒店服务差，态度很不好，就好像你欠他一千几百万一样，酒店卫生也不是很好，不过这样的连锁酒店管理也就这样水平', '短评打分': 1}
{'短评内容': '性价比很高，位置好，交通方便', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '比较了附近几家宾馆，觉得这家布丁宾馆性价比较高', '短评打分': 4}
{'短评内容': '每次出差都会住这家，房间很小，主要是离客户近。', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '交通方面，吃饭方便。', '短评打分': 5}
{'短评内容': '地理位置不错，距离王府井很近。吃饭也方便。', '短评打分': 5}
