{'短评内容': '都还不错', '短评打分': 5}
{'短评内容': '综合考虑挺好', '短评打分': 4}
{'短评内容': '服务及房型不错', '短评打分': 5}
{'短评内容': '综合考虑 优', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '服务态度不错，环境还可以。隔音效果有些低，周围有吃早餐的地方，有三楼和四楼，其他还可以。如果去继续光顾了。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '周边有重低音放音乐，一直放到晚上1点多，真是受不了了', '短评打分': 1}
{'短评内容': '酒店环境一般般！古城很不错！值得一去！最好是晚上去！离着古城太近了！', '短评打分': 3}
{'短评内容': '旅游快乐哦！', '短评打分': 5}
{'短评内容': '非常不错非常不错非常不错', '短评打分': 5}
{'短评内容': '好的下次出差还去哪里住', '短评打分': 3}
{'短评内容': '隔音一般 其他都好 洗头发的质量太烂了吧', '短评打分': 3}
{'短评内容': 'Vrey  good.gogogo', '短评打分': 3}
{'短评内容': '靠近一个古镇好像，设施比较旧了', '短评打分': 3}
{'短评内容': '房间很清爽，', '短评打分': 3}
{'短评内容': '位置挺好找的，临街，室内环境也不错，有网线，就是稍微有点慢，可以理解。说会员价就比网上便宜四块钱，服务态度也不错，很干净', '短评打分': 5}
{'短评内容': '环境设施不错.大床睡着也舒服.卫生间台盆水龙头没有固定晃动.', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
