{'短评内容': '干净卫生，服务好', '短评打分': 5}
{'短评内容': '好，不错。比店里便宜', '短评打分': 5}
{'短评内容': '干净整洁，服务好', '短评打分': 5}
{'短评内容': '出差来住的酒店，还可以，每天有两瓶水，住宿环境很好，对面就是大商场，就是可能阳面更好些！！！！！！！', '短评打分': 5}
{'短评内容': '一般的快捷酒店而已，对于170元的价格，不要期望太多', '短评打分': 3}
{'短评内容': '交通方便，吃饭也方便，酒店干净简单', '短评打分': 5}
{'短评内容': '提前一个月订的，安排一楼靠路边的，这就是最差的房间了，一直轰隆隆的吵死了', '短评打分': 3}
{'短评内容': '很好很好，非常满意', '短评打分': 5}
{'短评内容': '交通方便，设施一般。', '短评打分': 4}
{'短评内容': '出差居住还是不错，环境还是不错。干净卫生', '短评打分': 5}
{'短评内容': '☺☺☺☺☺挺好的', '短评打分': 5}
{'短评内容': '酒店卫生好，值', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '没有暖气，全凭空调，脚底下有点凉；如果能把这个问题解决掉，在经济型快捷酒店当中应该可以算的上是性价比较高的了', '短评打分': 4}
{'短评内容': '环境不错，很方便', '短评打分': 5}
{'短评内容': '什么都不太好，房间小，家具较旧，下次不来了', '短评打分': 3}
{'短评内容': '价钱合适。环境可以。', '短评打分': 3}
