{'短评内容': '挺好的，老板都尽量满足', '短评打分': 5}
{'短评内容': '好评 很好  ', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '很不错哦，前台接待小姐姐特别好 高鼻梁的 对待我们前面的聋哑人也特别的有耐心有爱心！到我们这也特别热情', '短评打分': 5}
{'短评内容': '还行吧，挺好的', '短评打分': 5}
{'短评内容': '挺好的。考试来定的还不错', '短评打分': 5}
{'短评内容': '干净整洁服务到位。而且现在不是节假日的时候还能给升级带窗户房间，很棒。周围交通便利。很好找！！！！！', '短评打分': 5}
{'短评内容': '地理位置非常好，特方便，但环境一般', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '房间干净 交通便利', '短评打分': 5}
{'短评内容': '环境还可以。服务也到位', '短评打分': 4}
{'短评内容': '枕套发黄。。。。环境还可以', '短评打分': 4}
{'短评内容': '房间太小', '短评打分': 4}
{'短评内容': '很不错的宾馆，接待人非常热情', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '听说红旗街要修路了，希望店家生意兴隆。去长春几次都住那里，挺好的。', '短评打分': 5}
{'短评内容': '环境太差了，地板都是翘起来的，床单是湿的，还有感觉房间还有点味', '短评打分': 1}
{'短评内容': '酒店一般·房间不大 ，设施陈旧。在网上订的132元的单人房间是部分无窗，结果就一个房间有窗户，我还没住上', '短评打分': 1}
{'短评内容': '酒店服务不错但是隔音不大好。', '短评打分': 3}
{'短评内容': '6666666666666666666666666666666666666666666666666', '短评打分': 5}
