{'短评内容': '好的好的', '短评打分': 4}
{'短评内容': '我是从网上订的，到店取消了，没住店为什么扣费215元。', '短评打分': 2}
{'短评内容': '地方可以，有停车位，房间一般吧，价格有点高。', '短评打分': 5}
{'短评内容': '不好，也就比小旅店强点', '短评打分': 2}
{'短评内容': '图片与现实不符，差距太大了，情侣房只能放下一张床', '短评打分': 2}
{'短评内容': '还可以，，就只周围太荒凉', '短评打分': 5}
{'短评内容': '酒店的位置总体来说还是比较好的，正在开发中的红岛高新区与城阳区、主城区中间，由青岛北站打车出了环湾路就到，晚上才花21元，不过司机一般不愿去，理由是路不熟，实际是拉不着回头客，因为这地儿实在是偏，偏到早饭都无处去吃。前台小哥挺帅，早上7点退房时还在熟睡中，实在另人不好意思唤醒。住宿客人太少，让我以为全客店只有我一个客人和一位前台帅哥，只可惜我不是熟女也非男同。房间宽敝，设施老旧，卫生做得不彻底，烟', '短评打分': 2}
{'短评内容': '还行吧，就是到达的时候有人烧纸钱，慌兮兮的', '短评打分': 5}
{'短评内容': '不错的处所，宽敞', '短评打分': 5}
{'短评内容': '很好，还行，附近也就这个还好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间很大，设施齐全，交通方便，性价比尤其高', '短评打分': 3}
{'短评内容': '总体不错，价格合适。', '短评打分': 4}
{'短评内容': '不推荐住，要不是没有连锁酒店，我才不去，最基本的发票都不能分开开。', '短评打分': 3}
{'短评内容': '挺好的。 这个价格很值得。', '短评打分': 5}
