{'短评内容': '可以…………', '短评打分': 4}
{'短评内容': '酒店在市中心，离人民医院一步之遥，离海边，汽车总站，步行街都不远，交通也很方便，卫生一般，设施一般，服务态度好，因房间门打不开，还让我选了其他房间，很热情人性。酒店沒有餐厅，但周边吃东西的地方很多，不远有地下超市，总体觉性价比好，对不想花大价钱，又想较舒适并近海者，推荐入住。听说要进一步装修，期待会更好。', '短评打分': 4}
{'短评内容': '环境比较旧', '短评打分': 3}
{'短评内容': '不错，离超市近', '短评打分': 5}
{'短评内容': '这酒店住的真舒服，环境很好，服务也好，离三亚湾也很近，吃完饭去海边散散步超爽！', '短评打分': 5}
{'短评内容': '酒店是市中心  交通方便  卫生干净   服务态度很好', '短评打分': 5}
{'短评内容': '美女服务很好，很干净', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好好好啊好傲娇', '短评打分': 5}
{'短评内容': '还不错 价格实惠', '短评打分': 3}
{'短评内容': '出差去的，床还是挺舒服的', '短评打分': 4}
{'短评内容': '价格合适，环境也不错，总体来说还可以！', '短评打分': 5}
{'短评内容': '酒店的位置非常好，远望可见海边的船，地理位置便利，紧邻一家自助海鲜火锅，味道不错，而且服务也很好。赶上淡季，房间性价比高，房间很大，设施齐全，楼下就有直达景区的公交，打车尤其方便。值得推荐！', '短评打分': 5}
{'短评内容': '总体来说不错', '短评打分': 4}
{'短评内容': '总体来说不错', '短评打分': 5}
{'短评内容': '环境好，交通方便，WiFi信号差', '短评打分': 3}
{'短评内容': '在市中心，交通方便出差的好选择', '短评打分': 4}
