{'短评内容': '不错的酒店，狮子头好吃', '短评打分': 4}
{'短评内容': '不错，干净卫生，很安静', '短评打分': 5}
{'短评内容': '除了部分房间没有窗户（缺点），吃饭、交通都十分便捷。下次还会入住。', '短评打分': 5}
{'短评内容': '就是吃饭方便点', '短评打分': 5}
{'短评内容': '卫生环境不错', '短评打分': 4}
{'短评内容': '服务太差，卧槽', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错物美价廉', '短评打分': 5}
{'短评内容': '很不错的酒店，下次还会入住的酒店，很好的酒店，不错的酒店，非常好的酒店，非常不错的酒店，下次来扬州还来住', '短评打分': 5}
{'短评内容': '位置不错。', '短评打分': 4}
{'短评内容': '地段不错，性价比也高，住过几次了', '短评打分': 4}
{'短评内容': '房间比较小，吃的比较贵，做的一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 1}
{'短评内容': '建议设备更新，电视剧太老了。空调制暖效果差。', '短评打分': 3}
{'短评内容': '不错的选择是不是对方因为你们我的小时候吵闹的声音就知道自己', '短评打分': 5}
{'短评内容': '用餐不错，设施一般', '短评打分': 5}
{'短评内容': '所有方面都还可以，不满意地方有几处，一个是整个酒店烟熏火燎的味道，还有无线网络信号很差，还有马桶真心不给力，昨天大大一次，今天早上都冲不干净，真心无语了！', '短评打分': 4}
{'短评内容': '比起住宿，这里更出色的是食物，早餐简单，但味道yiban，更要试试2楼3楼的中晚餐，味道确实不错。一直住的小房间，没什么特别。', '短评打分': 5}
{'短评内容': '服务一般，餐饮酒店，饮食哈不错。周边有大型超市，交通方便。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这家酒店的饭菜是一流的扬州菜，很有名。但是酒店房间太小了，下次来会选择房间大的入住。位置也有些偏。', '短评打分': 1}
{'短评内容': '房间还凑合，挺干净的，采光较差；餐厅很不错，中、晚餐可选择性很大，可惜早餐太差。', '短评打分': 5}
{'短评内容': '酒店很是一般，我住的是靠近马路边房间， 有点吵， 但这边请客吃饭很方便！', '短评打分': 5}
{'短评内容': '之前一切都好，这次入住遇到了意外。房间的网络不好居然修不好，害得我两个晚上上不了网......没话说', '短评打分': 5}
{'短评内容': '酒店床单干净比较舒服，唯一的缺点就是房间太小，卫生间玻璃是透明的有些不习惯。其他都不错。', '短评打分': 5}
{'短评内容': '还可以。\n吃饭也很方便。\n离市区很近。\n推荐一个。房间有点小', '短评打分': 5}
{'短评内容': '酒店很漂亮，装修不错，还是家淮扬菜性价比很高的店，不过无窗的房还是有些气闷，不过饭真的很好', '短评打分': 5}
{'短评内容': '酒店安静，高档！交通便利，就是所住的房间有点小，总体还是很可以的哦！', '短评打分': 5}
{'短评内容': '单人间有点小，但环境很好，配套了吹风机，周围交通便利，离市中心很近！值得推荐！', '短评打分': 5}
{'短评内容': '酒店地理位置开阔，内部装修看着很高档，走廊敞亮，房间内部精致，不过稍微有点小，呵呵，不错', '短评打分': 5}
{'短评内容': '酒店的通道让人感觉很舒服，房间虽然有点小，但是非常的精致，干净，温馨，还有早餐，味道不错，前台服务也赞一个', '短评打分': 5}
{'短评内容': '酒店本身还不错，就是房间小了点。离瘦西湖景区也不算太远。', '短评打分': 5}
{'短评内容': '还   不  错  就  是  价  格  高  些', '短评打分': 5}
{'短评内容': '蛮好的，就是地方小', '短评打分': 3}
{'短评内容': '不錯的一間,只有一句話:好好好好好好好好好好好~~大力推薦', '短评打分': 5}
{'短评内容': '酒店还不错，位置中心，早餐也还可以。已经住过几次了', '短评打分': 5}
{'短评内容': '酒店非常实惠,虽然房间不大,但对得起这个价格.而且下面的餐厅非常有名,不少人远道慕名而来,住在上面就占了地利.', '短评打分': 5}
{'短评内容': '条件很好，三十晚上入住还送了瓜子奶糖橘子。服务很好。但是卫生间跟房间的隔断简直是透明的！！别的地方至少磨砂，这儿虽然也算是磨砂但是几乎就是透明，一家人呢住着都很尴尬', '短评打分': 5}
{'短评内容': '位置好  性价比高 楼下餐饮不错 就是房间小些了', '短评打分': 5}
{'短评内容': '酒店位置不错,前台服务态度很热情.餐厅为之添色不少,好象要给人有民以食为天的感觉.', '短评打分': 5}
