{'短评内容': '还可以，卫生有待提高，发现小强一枚。', '短评打分': 4}
{'短评内容': '挺好的.干净也卫生.', '短评打分': 5}
{'短评内容': '地理位置好，隔音。。。，这一晚上，隔壁一夜激情6次，我都tm服了，真是不服不行。', '短评打分': 4}
{'短评内容': '挺好。位置不错', '短评打分': 5}
{'短评内容': '酒店地理位置很好，去哪都方便。性价比很高！', '短评打分': 5}
{'短评内容': '服务态度很好环境不错地址好找', '短评打分': 5}
{'短评内容': '网页上房间图不完整，希望有房间全景图。', '短评打分': 5}
{'短评内容': '离医院近，挺好的。房间干净，但是没有电梯，有老人和孩子出行，建议住二楼。性价比高，很喜欢，价格美丽。', '短评打分': 5}
{'短评内容': '离医院近，挺好的。房间干净，但是没有电梯，有老人和孩子出行，建议住二楼。性价比高，很喜欢，价格美丽。', '短评打分': 5}
{'短评内容': '门口在装修', '短评打分': 5}
{'短评内容': '离医院近，挺好的。房间干净，但是没有电梯，有老人和孩子出行，建议住二楼。性价比高，很喜欢，价格美丽。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '交通方便、安静、经济行酒店可以！', '短评打分': 5}
{'短评内容': '差强人意，勉强勉强勉强勉强勉强勉强没勉强勉强没勉强', '短评打分': 5}
{'短评内容': '房间小了点 热水少了点 价格贵了点 没有拖鞋的', '短评打分': 3}
{'短评内容': '整体感觉挺好的，值得。\n电视信号不好，这也没什么。', '短评打分': 5}
{'短评内容': '酒店不错哦，住的很开心酒店不错哦，住的很开心酒店不错哦，住的很开心', '短评打分': 5}
{'短评内容': '挺好，外面走廊上说话太吵。其他的都挺好的。', '短评打分': 5}
{'短评内容': '我所入住的是大床房，在网上订购确实比店面便宜很多。在火车站坐公交还是不叫难找的。首先他们的服务态度非常好，进入房间比想象中小洗手间也是，其小的毛巾根本没法用，一看就是旧的，直接现买的毛巾。床单砂砂的很磨皮肤，都红了。因为入住期短，没有反应柜台。', '短评打分': 1}
{'短评内容': '还行吧，冬天挺暖和的，空间也还能接受，最大的不足就是隔音效果相当不好~', '短评打分': 5}
{'短评内容': '挺好的，房间很温馨，很干净，卫生间也很干净，值得入住', '短评打分': 3}
{'短评内容': '我住的是丽阁房，房间超小。进屋有个小走廊，然后就直接上床，整个房间加上卫生间大约有两张双人床大小。面盆位置的设计相当不合理。服务还可以。而且没有电梯。原来订了两天的房间，后来看到这样的环境直接把第二天的退了，换了家酒店。原本对星月评价很高的，但这样的房间我不想在去了。', '短评打分': 1}
{'短评内容': '一进门，让我惊喜的不仅是房间酷毕了，天花板的大把美元大钞，床头的红绿灯设计，喜欢得不得了，后悔提早订了返程票，真想多住几天。\n', '短评打分': 5}
{'短评内容': '服务还不错，设施也很好。而且周围的交通很便利，附近就有商业圈。就是一次性的用品要到前台购买，若不想购买就需自备洗漱用品，不过价格还不算太贵，可以承受。', '短评打分': 5}
{'短评内容': '环境不错，地理位置也可以，床是榻榻米的，很舒服~~~~~~但是我不小心把房卡弄丢了，补一张花了39太贵了！！！！', '短评打分': 5}
{'短评内容': '这家酒店非常干净而且很时尚，很喜欢榻榻米，感觉像是在度假，酒店的配套设施还是很齐全的，以后如果还来长春，我还会选择这家酒店的。', '短评打分': 5}
{'短评内容': '挺好的，网速很快，洗澡的水也很大，挺干净的', '短评打分': 5}
{'短评内容': '还不错\u3000价钱和位置都行\u3000\u3000床很舒服\u3000推荐', '短评打分': 5}
{'短评内容': '环境一般，而且服务也一般，总之还可以吧！！！！', '短评打分': 5}
{'短评内容': '不错，挺合理,经济实惠，这个价格算是挺公道的了。', '短评打分': 5}
{'短评内容': '总体还算不错，这个价格，在这个地点，性价比还是可以的', '短评打分': 5}
{'短评内容': '不错住的挺温馨就是走廊深夜吵些', '短评打分': 3}
{'短评内容': '酒店位置还不错，就在人民大街旁边，离火车站也很近，出行方便。酒店里面环境也还不错，但是热水放一会就变凉了~~~', '短评打分': 5}
{'短评内容': '商务房不错，地理位置也挺好的。出门很方便。就是早上打扫卫生的时候有点吵。', '短评打分': 5}
{'短评内容': '条件一般，服务还可以！！！条件一般，服务还可以！！！条件一般，服务还可以！！！', '短评打分': 5}
{'短评内容': '有点冷 电视太破旧 空调不好使 其余方面还可以', '短评打分': 5}
{'短评内容': '很好，就是屋子有点冷', '短评打分': 3}
{'短评内容': '电视只有十个台，其中还有没声的。没有调遥控，得给前台打电话索要，调完后服务员还得拿走。热水洗了五分钟就没了。但床和室内环境不错。', '短评打分': 3}
{'短评内容': '酒店的交通位置非常方便 环境也很不错 价格合理 下次还会去住 极力推荐', '短评打分': 3}
{'短评内容': '服务员很热心的告诉我们路线，房间收拾的也很干净！就是热水最高只有70度，洗一会水就变成30度了，挺凉的，冲个凉还好，长头发的洗个头就没热水了。不知道什么原因。其它都还好。', '短评打分': 5}
{'短评内容': '地点和服务还可以，就是太多的日常用品不能用了。希望改进！', '短评打分': 5}
