{'短评内容': '很温馨', '短评打分': 5}
{'短评内容': '很好，孩子很喜欢！', '短评打分': 5}
{'短评内容': '还凑合吧', '短评打分': 5}
{'短评内容': '这个旅馆很温馨，房间也很干净，不错的选择', '短评打分': 5}
{'短评内容': '总体比较满意', '短评打分': 5}
{'短评内容': '哈喽', '短评打分': 5}
{'短评内容': '从来没有这么想吐槽一个酒店，快捷酒店建在桑拿下面？毛巾毯不洗，装潢脱落，睡觉的床不干净！等级居然只有C,携程客服真的是非常差，反反复复推荐了又发现没有，浪费了我们的时间，最后这个酒店太差！真的是，原先定的迟迟不给回复，188这个房间简直是一塌糊涂，非常糟糕，再也不会用携程了！！！', '短评打分': 1}
{'短评内容': '在小区内的，你懂得。', '短评打分': 3}
{'短评内容': '整体不是很好', '短评打分': 5}
{'短评内容': '还不错，位置比较好', '短评打分': 4}
{'短评内容': '还行吧。发票还打不了水单…', '短评打分': 5}
{'短评内容': '离面试地点很近不错 下次还来', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '酒店交通便利，服务态度好，价格合理', '短评打分': 5}
{'短评内容': '性价比太差了  房间很小  隔音不好 还比较旧', '短评打分': 3}
{'短评内容': '服务态度不错误。', '短评打分': 3}
