{'短评内容': '哦咯咯咯啦', '短评打分': 5}
{'短评内容': '酒店干净卫生，周围环境优美！', '短评打分': 5}
{'短评内容': '卫生不好，恭桶及浴帘赃。电话不通，第二天连托鞋都没有，只能下楼去找服务台要。除了距景区近这个优点，三百元的价格绝对是不值。', '短评打分': 4}
{'短评内容': '灰常恶劣的条件，结账时欠我两块 要我等会计来了再给我 说出这种话的服务人员所在酒店好不到哪里去', '短评打分': 2}
{'短评内容': '这是我住过的最差的酒店，去的时候正好承德刚刚下过雨，酒店门口和大堂湿漉漉的漏雨严重，满地的盆在接雨，心情受到影响，但考虑是提前预定的，住吧，房间不漏就行，可是房间脏的不敢恭维，地毯太脏，而且到处是蚂蚁，棚顶发霉掉皮，卫生间卫生令人堪忧，不会再选择这里了。这样的环境根本休息不好，而且价位不低啊。', '短评打分': 2}
{'短评内容': '总体还可以，位置比较佳', '短评打分': 3}
{'短评内容': '房间挺舒适就在避暑山庄德汇门旁很近旁边就有一条餐饮街很方便我是带着家人一起过来的不错的一次住宿.', '短评打分': 3}
{'短评内容': '挺舒适的而且交通也很方便哦.离避暑山庄也很近后面还有个小市场.我们是一家大小出游订在那里的感觉不错服务员也很随和值得推荐.', '短评打分': 3}
{'短评内容': '酒店地理位置很好，离避暑山庄只有5分钟步行的路程，免费停车，环境还可以！', '短评打分': 3}
{'短评内容': '住宿条件一般，卫生间洗浴条件差，汽车位紧张。优点是距离承德避暑山庄很近，走路10分钟。', '短评打分': 3}
{'短评内容': '东西很旧态度还行', '短评打分': 3}
{'短评内容': '总体不错，服务热情，价格偏高。', '短评打分': 3}
{'短评内容': '位置很好，房间很普通，价钱符合旅游城市的特点。适合带老人玩一天入住。', '短评打分': 5}
{'短评内容': '在承德算性价比不高的，虽然离避暑山庄近，但别的性价比高的有很多。外观看着还挺好，但内部设施陈旧，客房内地毯脏，墙壁脏，壁纸脱落。客房须知上明明写着早点到8点30，但8点下去就没了，即便有，种类也少得可怜，就4样小菜。服务员还一直说就早上7点到8点有早餐', '短评打分': 1}
{'短评内容': '刚到酒店,服务很好, 很千净. 离避暑山庄极近.', '短评打分': 3}
{'短评内容': '设施有些陈旧， 不过地点很方便， 就在德汇门旁边。 很安静， 停车免费。', '短评打分': 5}
{'短评内容': '住房很不错,标间很大,大概是因为我们去的时候不是旺季所以挺干净的,有电视有热水,可以说是比较适合旅游的人好好休息,交通很方便,嗯推荐', '短评打分': 3}
{'短评内容': '酒店离景区近,很方便。晚上很安静。可惜那晚正遇热水管故障，没能洗上热水澡。但酒店旁的消费也较高，特别是一家杂粮面馆，又贵又差，吃过大呼上当，宰得太凶了。', '短评打分': 5}
{'短评内容': '去山庄非常方便，可免费停车。房间比较大，无异味，设施比较陈旧了，总之还行吧', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '我是8月下旬入住的，住的是一楼三人间，房间比较旧，潮湿略有霉味，早餐简单，唯粥尚可，性价比很一般，谁让承德旅游旺季酒店紧张呢', '短评打分': 1}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '硬件设施条件很一般，不过位置很还算不错！如果只是要方便，而不讲究住宿享受的话，可以考虑，只不过早餐供应时间似乎有点早，睡个懒觉就没的吃了。承德的住宿，真不是一般的贵啊。。。', '短评打分': 5}
{'短评内容': '酒店非常好找，就在避暑山庄西边，而且去其他的景点不管是坐车还是打车都非常方便。酒店服务我觉得是很好的，我带两位老人去的，服务员主动安排一层怕老人上下楼不方便，而且主动为我们介绍和解答我们的问题，很耐心。房间的卫生算是不错，只是被子没有被罩，这确实不卫生。酒店可以免费停车，可以刷卡，不想我之前看评论里面说的那么差。总体来讲我觉得这个酒店值得推荐！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '位置不错 条件一般  旅游城市房价就是高', '短评打分': 3}
{'短评内容': '早饭很差，不能用信用卡，觉得很不方便。卫生条件还可以，交通很方便，离避暑山庄的大门很近。', '短评打分': 5}
{'短评内容': '酒店的位置相当好，停车位很充足，可以步行到避暑山庄，也就5分钟的路程吧，酒店对面吃饭也很方便，虽然酒店的设施有点偏老，但总体感觉不错，如果再去的话，我还要入住的。', '短评打分': 5}
{'短评内容': '作为季节行旅游城市，本酒店基本可以，价格有点高，但距避暑山庄非常近，走里5分钟到正面，24小时热水，太方便了。可以免费停车。总体还可以。', '短评打分': 5}
{'短评内容': '太贵，环境太差，各方面都很差，唯一的优点是离避暑山庄比较近。以后绝对不住这家酒店。估计以后不会再去承德了。', '短评打分': 1}
{'短评内容': '设施比较旧,服务水准有待提高.态度不错.离避暑山庄很近.', '短评打分': 5}
{'短评内容': '总体感觉房间不够干净，服务态度较差。唯一的优势是离避暑山庄较近，比较方便。', '短评打分': 1}
{'短评内容': '已入住承德德汇门大酒店，地理位置较好，但硬件较陈旧。', '短评打分': 3}
{'短评内容': '该酒店位置不错，因为我们住在一楼，感觉床和被子有些潮。酒店早餐过于简单！', '短评打分': 5}
{'短评内容': '很好的。', '短评打分': 3}
{'短评内容': '总体来说很不错，房间干净宽敞，很好。缺点是服务员没有特别热情，不过那种什么事都热脸贴上来的也蛮吓人的。综合来看很好了！！！', '短评打分': 5}
{'短评内容': '酒店位置很不错，离承德避暑山庄丽正门步行三分钟，距山庄德汇门仅两分钟距离，就是前台服务不到位，其余不错，还有免费早餐供应', '短评打分': 3}
{'短评内容': '离山庄超近,服务尚可，车灯晚上忘关，停车场保安打电话到房间提醒，表扬一下。', '短评打分': 5}
{'短评内容': '＋房间不错，面积比我大，比想象中好～', '短评打分': 3}
{'短评内容': '已入住德汇门酒店：服务、房间卫生很不错，交通方便。', '短评打分': 3}
{'短评内容': '三人间很宽敞，性价比很高，不错', '短评打分': 3}
{'短评内容': '总体感觉不错，离山庄非常紧。不过空调有些陈旧，勉强能用。', '短评打分': 5}
{'短评内容': '离景点很近，交通便利！房间很干净！好！', '短评打分': 3}
{'短评内容': '酒店服务挺好!离景点近。', '短评打分': 3}
{'短评内容': '总体来说酒店还不错，离避暑山庄特别近，吃饭也方便。店内设施还可以，陈旧一些，但还可以，除了地毯比较脏，其余还挺干净，早餐也还可以，10多个品种，吃的挺好。', '短评打分': 5}
