{'短评内容': '酒店比较旧，住3楼，2楼是ktv，晚上睡觉真是酸爽，反正我是开着电视才睡着的', '短评打分': 2}
{'短评内容': '还行吧……………………………………………………………………………………………………………………………………', '短评打分': 3}
{'短评内容': '看到有点失望，在三楼，晚上有人蹦迪，蹦到三点，隔音差，房间里三面都是镜子，只有一张小桌子，电视机用不了，wifi开不了，厕所没门！！！', '短评打分': 3}
{'短评内容': '空调机太响，隔音不好，KTV唱歌的吵', '短评打分': 3}
{'短评内容': '新装修了一下，房间烟味有点浓。', '短评打分': 5}
{'短评内容': '京东快递就是给力，相信京东自营的品质！', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '收不到订单 我要退订', '短评打分': 5}
{'短评内容': '呵呵⋯⋯⋯⋯', '短评打分': 2}
{'短评内容': '差评，***免押金,更优惠', '短评打分': 5}
{'短评内容': '空调很给力', '短评打分': 5}
{'短评内容': '环境还好、宾馆内还行、就是交通不便、服务员态度差点！', '短评打分': 1}
{'短评内容': '还可以，价格合理，相对于周边的酒店还是不错的', '短评打分': 5}
{'短评内容': '噪音太大 房间整体一般', '短评打分': 5}
{'短评内容': '可以，下次还来。很不错，价格实惠', '短评打分': 5}
{'短评内容': '酒店还可以。很不错', '短评打分': 5}
{'短评内容': '酒店看着还可以，但是内部设施很差，尤其卫生差', '短评打分': 3}
{'短评内容': '什么国际店里还那么差？噪音大，一个晚上都是听车声……', '短评打分': 3}
{'短评内容': '酒店还不错，就是打车不太方便', '短评打分': 4}
{'短评内容': '安静，清洁', '短评打分': 5}
{'短评内容': '安静，清洁', '短评打分': 5}
{'短评内容': '房间隔音不是很好，有团体入住，楼道很吵，设施不错，性价比高。', '短评打分': 4}
{'短评内容': '不错的酒店，干净卫生，交通也挺方便，下次还会选择这里.', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境，卫生都还不错。', '短评打分': 5}
{'短评内容': '挺好的，交通方便，价格适中，我是比较喜欢。已经住了很多次了，过来广西出差我就会过来住，出酒店就有吃的。', '短评打分': 5}
{'短评内容': '酒店环境还可以，设施一般', '短评打分': 4}
{'短评内容': '热水不热。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务好，蛮干净的，就是觉得有点小贵，这个价钱在有些其他的酒店就有电脑用了可惜这里没有，有点小遗憾。还有就是卫生间有点异味。洗澡的水时冷时热，好在是夏天。希望店家能改进。', '短评打分': 5}
{'短评内容': '酒店比较新,设施齐全,不错。', '短评打分': 3}
{'短评内容': '性价比可以，或许环境太好吧    有蚊子', '短评打分': 5}
{'短评内容': '一般的酒店，南宁比这好的有的是，价格不怎么有吸引，这种酒店还不如住连锁的，性价比好点', '短评打分': 1}
{'短评内容': '酒店感觉旧了一些，但房间还是蛮大的，价格不算贵。但是这酒店居然连水都不送，服务感觉也一般般。但相比价格，还凑合。', '短评打分': 5}
