{'短评内容': '环境不错，之前就在这住过，服务态度特别好，特别周到', '短评打分': 5}
{'短评内容': '环境安静，不错', '短评打分': 4}
{'短评内容': '服务员服务态度真是不错的，酒店离开火车站很近，所以上火车也是很方便的，房间虽然不大但是像个星级酒店的标准，对得起这个价格，总体来说还是非常不错的，服务员还送小实吃，挺好吃的。', '短评打分': 5}
{'短评内容': '宾馆房间床头没有插座充电不方便，吹风机好像没有，水龙头放热水时水很小，其他还好，早餐一般般，位置离火车站比较近，园内还可以停车', '短评打分': 4}
{'短评内容': '地理位置好，其他的还可以。', '短评打分': 5}
{'短评内容': '房间超级冷 不干净设施老旧 实在对不起这个价格', '短评打分': 1}
{'短评内容': '价格实惠，位置方便', '短评打分': 5}
{'短评内容': '常住', '短评打分': 3}
{'短评内容': '交通方便，卫生清洁，房间性价比高。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '服务周到！', '短评打分': 5}
{'短评内容': '干净，不错', '短评打分': 4}
{'短评内容': '停车收费10元在新乡很多酒店不常见。', '短评打分': 4}
{'短评内容': '交通方便，服务好', '短评打分': 3}
{'短评内容': '交通便利，服务好', '短评打分': 3}
{'短评内容': '服务好、环境优、早餐丰富、离火车站近，下次还要住。赞！', '短评打分': 3}
