{'短评内容': '挺好的，酒店位置很好，紧邻公园，打车方便', '短评打分': 5}
{'短评内容': '第五中学新校区没在这，隔音效果不好，玻璃锈迹斑斑。服务态度不错，暖气挺热', '短评打分': 4}
{'短评内容': '酒店环境挺好～', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常不错，就是早餐不是很丰盛', '短评打分': 5}
{'短评内容': '挺好的，还会去', '短评打分': 5}
{'短评内容': '不错的酒店   环境不错   嘿嘿', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '周围环境好，而且方便停车', '短评打分': 5}
{'短评内容': '还不错，价格也还合适，很少去酒店，就那么回事吧，可以住，也不是特别高端，暖气还好，不过也要开空调，还不错', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '太小，太陈旧了……………………………………………………', '短评打分': 3}
{'短评内容': '很一般，除了服务员挺好说话的，其他都不如之前住过的汉庭，感觉只是占了离公园近的地理优势。', '短评打分': 3}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '隔音真心差', '短评打分': 4}
{'短评内容': 'WiFi信号不好，估计在修，服务态度很好，挺满意的', '短评打分': 5}
{'短评内容': '各方面都挺好，性价比超高，只是有蚊子', '短评打分': 5}
{'短评内容': '行程变更没去住，取消险很麻烦，钱也没退。', '短评打分': 5}
{'短评内容': '免费都不在住', '短评打分': 1}
{'短评内容': '房间很干净，感觉不错，又多住了一晚，以后会经常光顾的', '短评打分': 5}
