{'短评内容': '我经常带客户入住', '短评打分': 5}
{'短评内容': '太老的酒店，设施太差了', '短评打分': 3}
{'短评内容': '挂牌4星感觉一般。而且早餐的东西也不多。', '短评打分': 3}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '还挂牌四星酒店，确实各方面老化', '短评打分': 3}
{'短评内容': '给朋友开的房间，朋友反馈说里面非常不错以后还会继续光顾', '短评打分': 5}
{'短评内容': '房间可以不错', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '去过邯郸几次，第一次在这个酒店住，临近火车站，周边有点乱。酒店内部设备有些老化了。早餐还可以，基本商务出行，也就凑合了。', '短评打分': 4}
{'短评内容': '不错，值得一住，交通便利！', '短评打分': 4}
{'短评内容': '老酒店了，什么都不行了，离得近才住的', '短评打分': 3}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '这是个老宾馆了，价格合理，设施也不错，服务也好，就是赶上雾霾天，心情不好了。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '各方面只能说一般般吧 各方面只能说一般般吧 各方面只能说一般般吧', '短评打分': 4}
{'短评内容': '在邯郸算是不错的酒店了，大堂很宽敞，房间还好有送西红柿，黄瓜呵呵。', '短评打分': 5}
{'短评内容': '挂牌四星级，但根本达不到，也就三星标准吧，早餐品种还不少，但餐具器皿太没感啦，而且吃饭时还有拍卖会，对面的燕赵之星虽然是快捷酒店，但绝对比赵王好。\n', '短评打分': 5}
{'短评内容': '赵王宾馆入住条件还可以', '短评打分': 3}
{'短评内容': '酒店是老字号了，位置方便，设施也不错。火车站也就400米，到邯钢也很近的。就是灰太大，酒店房间里不能开窗，不然就一层灰。', '短评打分': 5}
{'短评内容': '宾馆比较老，服务也一般。 离火车站近，晚上睡觉常常听到汽笛声', '短评打分': 1}
{'短评内容': '酒店设施有一点点老，倒是算干净，不错。服务很好。', '短评打分': 5}
{'短评内容': '挂牌四星级，但根本达不到，也就三星标准吧，早餐品种还不少，但餐具器皿太没感啦，而且吃饭时还有拍卖会，对面的燕赵之星虽然是快捷酒店，但绝对比赵王好。', '短评打分': 1}
{'短评内容': '该宾馆十几年来服务质量上乘，是我来邯入住的首选！', '短评打分': 3}
{'短评内容': '酒店各方面还是不错的，数码间是电脑电视一体的，由于是挂在墙壁上，得歪着脑袋看，有些不便。', '短评打分': 5}
{'短评内容': '方便倒是挺方便，但酒店周围卫生状况实在太差，而且房间很小，根本就不能称之为4星级。', '短评打分': 1}
{'短评内容': '宾馆一楼就有火车票代售点，比较方便，而且宾馆离火车站很近很近。', '短评打分': 5}
{'短评内容': '卫生可以,数码标间显示器需扭头看,不舒服。\n', '短评打分': 3}
{'短评内容': '交通方便，服务非常好！\n早点需要改进体提高！', '短评打分': 5}
{'短评内容': '服务周到，房间配置一般，房价有点贵，总体感觉还凑合', '短评打分': 5}
{'短评内容': '赵王是同事推荐的,地理位置好,到的时候很晚了前台也挺热情的,房间也不错,挺满意的', '短评打分': 3}
{'短评内容': ' 我现在路上，十二点零五分到邯郸火车站，直接去宾馆，估计在十二点多到宾馆，怎么用优惠卷？', '短评打分': 3}
{'短评内容': '\r好', '短评打分': 3}
{'短评内容': '从外面看很气派，很有王者风范，具体到房间，里面空间比较小，特别是床，感觉不敢翻身，最要命的是，停车，过夜要停在他们自己的酒店停车场，而且还要收10元，停车场里面什么东西都有，能停车的车位很少。感觉不值', '短评打分': 5}
{'短评内容': '酒店价格很合理，服务还不错，免费早餐比较差，其他没意见', '短评打分': 5}
{'短评内容': '总体还可以，酒店设施有点旧了，在邯郸的酒店这样的水准已经不错了。', '短评打分': 5}
{'短评内容': '说是四星，但是酒店的规模不够，停车不便利，房间小的可以与价格不符！', '短评打分': 1}
{'短评内容': '服务环境都不错哦，推荐呢！', '短评打分': 3}
{'短评内容': '环境还可以，就是早餐有点凉，吃了不舒服。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '赵王宾馆服务好，态度好，就是周边环境差。', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '挺不错的，环境也挺好，住宿条件卫生干净，下次去还会住这家。', '短评打分': 5}
{'短评内容': '非常不错。房间宽敞，干净。早点非常丰富。我喜欢。', '短评打分': 5}
{'短评内容': '几年前住过，那时候还是老楼，后来盖了新楼，整体上比原来好点。不过北方的酒店服务真的就那水平，放低要求就好了。', '短评打分': 5}
{'短评内容': '离火车站近，地理位置很好，繁华地段，办事方便，下次还住这里。', '短评打分': 5}
{'短评内容': '地理位置很好，繁华地段，办事方便，下次还住这里。', '短评打分': 5}
{'短评内容': '第三次入住，先订的房间说宽带口怀了，后来不得已换了房间。', '短评打分': 3}
{'短评内容': '如果自己带了电脑，就不要数码房间了，浪费钱。总体不错，主要是离火车站很近，可以直接走过来就5分钟，打的士的话因为太近了，都不愿意去。', '短评打分': 5}
{'短评内容': '酒店还可以，就是装修较旧了，尤其是外大门。早餐虽然品种很多，但是，说心里话，可口的，少之又少！', '短评打分': 5}
{'短评内容': '位置好,交通方便，干净卫生，早餐有点凉，噪音有点大。', '短评打分': 5}
{'短评内容': '酒店房间不错，下次还去。', '短评打分': 3}
{'短评内容': '性价比不错，就是设施陈旧了些，如果能够翻新旧好了。', '短评打分': 5}
{'短评内容': '环境很好，位置不错，收费合理，离火车站近，干净卫生。', '短评打分': 5}
{'短评内容': '就是房间有点小,冲凉房也小不过可以免费上网', '短评打分': 5}
{'短评内容': '位置很不错,驱寒岗办事很方便,新兴铸管的下属单位.\n房间稍旧.', '短评打分': 5}
{'短评内容': ' 已经入住邯郸赵王宾馆.谢谢帮助!', '短评打分': 3}
{'短评内容': '床太小，太硬。实在是不值啊。地段也不好，周围比较脏。早餐很一般。', '短评打分': 1}
{'短评内容': '好好好好好好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '性价比比高，床小，床太硬，设施有点老了。周围比较乱脏。', '短评打分': 1}
{'短评内容': '我入住的是普通标准间，早餐一般，其他还凑合，房间比较小。', '短评打分': 5}
{'短评内容': '酒店总的来说还是不错，就是早餐有点太不好了。', '短评打分': 3}
{'短评内容': '酒店不错，出门方便。离火车站也就6到7元。到邯钢10元就可到。', '短评打分': 5}
{'短评内容': '赵王宾馆房间还可以，就是早上吃饭时不知吃点什么好。', '短评打分': 5}
{'短评内容': '酒店不错，我来过好几次邯郸，出差邯钢，都入住赵王。', '短评打分': 3}
{'短评内容': '赵王宾馆很实惠的一个宾馆，环境还可以，就网速有点慢，不太方便。', '短评打分': 5}
{'短评内容': '赵王宾馆地理位置不是很好，但出门还是很方便，有机看看还是不错的。', '短评打分': 5}
{'短评内容': '酒店环境都不错，时间长了感觉还可以，服务态度也不错', '短评打分': 5}
{'短评内容': '260价钱还比较实惠，酒店内也比较干净，就是离邯钢太近，出门感觉灰蒙蒙的。', '短评打分': 1}
{'短评内容': '酒店位置到邯郸钢及出门都很方便，但早餐不好.', '短评打分': 3}
{'短评内容': '我晚8点刚到，感觉房间一般。但出门及生活比较方便。', '短评打分': 3}
{'短评内容': '好多卫生间外面墙纸烂了，不能算是标准四星', '短评打分': 3}
{'短评内容': '住过2次，感觉性价比还可以。 去闹市区,需要打车.', '短评打分': 5}
{'短评内容': '酒店离邯钢比较近，性价比非常好，下次还会住这里 \n', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '住过2次，设施一般，短住还好。性价比还可以。', '短评打分': 5}
{'短评内容': '+还可以，就是旧了点！', '短评打分': 5}
{'短评内容': '+还不错！', '短评打分': 3}
{'短评内容': '+还不错！就是早餐差一点', '短评打分': 5}
{'短评内容': '酒店距离火车站是很近的，打的也比较方便。房间还可以，就是早餐感觉没啥可吃的，不知是不是去的晚的缘故，馒头花卷都是硬邦邦的。', '短评打分': 1}
{'短评内容': '服务态度很好！自助早餐不错！', '短评打分': 5}
{'短评内容': '酒店还不错，也还挺干净的。', '短评打分': 5}
{'短评内容': '早餐很好床也不错位置也好离火车站很近很值得去', '短评打分': 5}
{'短评内容': '有以下几点说明：1。房间里没有台灯，后面叫了服务员才送过来了。\r\n                2。餐厅里茶水胡乱要钱，不管喝白水或者茶水都收1元，且不告之，很郁闷。\r\n                3。早餐很差，甜食很多。\r\n\r\n总体来说不推荐入住', '短评打分': 1}
{'短评内容': '服务软件不足，离市中心有一点距离，离邯郸钢铁近', '短评打分': 5}
{'短评内容': '还可以，西餐厅的牛排还行，但配的蔬菜沙拉太难吃，没吃过这么硬的紫柑莰，想练牙口的可以试试', '短评打分': 5}
{'短评内容': '地点离火车站比较近，早餐不错，推荐。地点离火车站比较近，早餐不错，推荐。', '短评打分': 3}
{'短评内容': '位置不错，早餐很好。设施有点陈旧。推荐一下，性价比比较高', '短评打分': 5}
{'短评内容': '+酒店尚可，早点不错！', '短评打分': 5}
{'短评内容': '位置离商务区有一点距离.', '短评打分': 1}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '绝对值得推荐。理由如下：1.服务很好。本人忘了带身份证，酒店大堂当值的哥们主动带我去派出所开证明，热心（当天是7月1日，领导要好好表扬）。2.早餐丰富。花样很多，有40种之多。\r\n唯一的缺点就是住酒店要收停车费，不过这，可能是北方酒店的通病。其实为这10元钱有可能给住客带来不愉快，实在不值得。', '短评打分': 5}
{'短评内容': '设施比较差', '短评打分': 1}
{'短评内容': '位置很好，有停车场，自驾办事入住很方便。性价比很好。', '短评打分': 5}
{'短评内容': '早餐很差，没有任何热的熟食，只有凉菜和一堆面包，蛋糕，价格比较贵，如果有邯郸钢铁公司的协议价格会便宜很多很多', '短评打分': 5}
{'短评内容': '一般可能是酒店旧的关系，不过一楼餐厅到是菜好吃。', '短评打分': 5}
{'短评内容': '商务洽谈的最佳酒店', '短评打分': 3}
{'短评内容': '吃住行购物都好酒店', '短评打分': 5}
{'短评内容': '距离火车站近', '短评打分': 1}
{'短评内容': '离火车站很近，交通便利。房间设施一般，比商务酒店好些。如果初次到邯郸，住在这里还是不错的。就是性价比稍低。', '短评打分': 5}
{'短评内容': '酒店性价比不高，不过房间卫生程度在邯郸这个城市也还算可以了，别的酒店真没法住。', '短评打分': 1}
{'短评内容': '酒店不错，就是价格高了点', '短评打分': 1}
{'短评内容': '前几天住的是380一晚标准间，感觉很一般。赵王宾馆的位置是在老城区，环境杂乱，交通不便；房间里床很小，枕头太软不舒服；早餐很奇怪，面点种类不少，面包蛋糕挺多的，咖啡沏好放在玻璃壶内，味道很差，玉米没煮熟，也没有炒菜，但是却有几种笼蒸？感觉该宾馆的配餐思路有问题，北方酒店搞什么笼蒸，弄那种花哨的东西干什么，不伦不类的，不如老老实实把基本菜品做精，种类做齐，都什么年月了，连牛奶都没！！晚间房间送水果也', '短评打分': 1}
{'短评内容': '性价比一般，隔音很差，比较吵，房间卫生还可以，设施不太好 ', '短评打分': 5}
{'短评内容': '酒店就是提供的早餐不太好,没有热菜,其他方面都还可以,服务还是比较热情的,价格也还可以接受.', '短评打分': 5}
{'短评内容': '酒店的卫生条件比较一般，但是设施还是可以，我觉得酒店还是比较新的，所以感觉还可以，位置上来说也还不错。', '短评打分': 5}
{'短评内容': '酒店的整体不错的，服务不是很周到的，卫生和设施都很好的，酒店的位置以及交通很方便的，价格海可以接受的', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错位置出行交通方便，价格合理适中，算是邯郸城中心的位置卫生服务也非常达标的，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '因为紧挨着马路，比较炒，而且靠近邯钢集团，所以晚上大车多，叮叮当当的很吵。最让人不能容忍的就是，后院停车竟然还收费，一晚上十块，比北京还贵。下次不到赵王宾馆住了。', '短评打分': 1}
{'短评内容': '酒店的位置非常方便但是硬件设施配套都非常的旧了,环境硬件设施老旧了.价格有些偏高.', '短评打分': 5}
{'短评内容': '房间临街，只有单层玻璃，早晨吵死了，5点多就不能再安枕了', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
