{'短评内容': '地段距离地铁站很近很方便 价格能下调就好了 停车服务不好', '短评打分': 5}
{'短评内容': '前台小许好', '短评打分': 5}
{'短评内容': '房间清扫人员很贴心，看到我桌子上放着药，还多放了两瓶矿泉水，很贴心', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '十分满意', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '毕竟是老酒店了，来之前还有点担心，结果到了感觉一切都好，从前台的热情微笑开始，升级了房间，房间不小，电视略显小了点。热水好，每天都有果盘。总之，对于千元的房价，还是值得的。', '短评打分': 5}
{'短评内容': 'zizi 服务很好', '短评打分': 5}
{'短评内容': '八几年的四星酒店 确实是比较老旧了 感觉该做的能做的已经尽力了 位置好交通便利', '短评打分': 5}
{'短评内容': '很好不错不错很赞很好京东第一很好', '短评打分': 5}
{'短评内容': '东西不错，如果有问题我会详加评价。', '短评打分': 5}
{'短评内容': '舒适，交通便利。', '短评打分': 5}
{'短评内容': '经常住这家酒店的，还是很好的', '短评打分': 5}
{'短评内容': '很赞的酒店?????', '短评打分': 5}
{'短评内容': '挺好的挺好的挺好的挺好的', '短评打分': 5}
{'短评内容': '不错不错，还不错还不错&hellip;&hellip;', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.好好', '短评打分': 5}
{'短评内容': '酒店位置好，方便商务之旅！', '短评打分': 5}
{'短评内容': '非常好，后面一定再来', '短评打分': 5}
{'短评内容': '酒店设施比较新，地铁口很近，周边环境很好，也很热闹，购物，休闲，饮食，玩乐都很方便，虽然周末价格稍贵点也能接受，毕竟也四星级，推荐', '短评打分': 5}
{'短评内容': '非常方便，旁边就是九方和世纪汇购物广场，吃住行都能满足要求，房间很大，床也舒服，只是稍感软。距华强北地铁口l只二三百米，性价比不错，推荐', '短评打分': 5}
{'短评内容': '离地铁近，地理位置也好。和朋友公干住两晚。', '短评打分': 4}
{'短评内容': '感觉还满意', '短评打分': 5}
{'短评内容': '不错很方便，装修后很干净，下次有机会是会去，价格有点高，再便宜一点就好了。', '短评打分': 5}
{'短评内容': '12月8号入住该酒店，晚上十一点洗澡后，用热水刷牙时发现热水深黄接近红色，并有浑浊物，关键是我已经用热水洗完澡了，就像吃完饭发现碗底有个苍蝇一样。我也不清楚当晚该酒店有多少住客用了这样的水。把酒店人员喊过来，他们坚称水没问题，还当场接了一杯热水喝了。我也是被搞醉了。扯到凌晨一点多，给换了个房间，换之前他们讲水没问题，进去后一放热水还是黄色的，卫生间异味非常大。我要求酒店要把留的存样到有关部门做检测', '短评打分': 3}
{'短评内容': '高性价比的酒店，要尽早订房，不然就没房间了', '短评打分': 4}
{'短评内容': '高性价比的酒店，经常都爆满', '短评打分': 4}
{'短评内容': '还可以吧 价格', '短评打分': 5}
{'短评内容': '早餐不错，服务很好，但是卫生间的纸巾有味道，下次还会入住', '短评打分': 5}
{'短评内容': '第一天订4xx，第二天客户退房了，晚上又想住，再订￥576了，问他们要不要换。说不换了。看来还是认可了。', '短评打分': 5}
{'短评内容': '房间好小，没图片好，楼上装修，吵死了，升级房间还没不升级的好！', '短评打分': 5}
{'短评内容': '这家酒店无论从交通还是环境来讲性价比都很高.我很喜欢这里.下次来还住这里.', '短评打分': 5}
{'短评内容': '酒店位置好，接待服务热情。房间装修一般，可以达到四星水平。卫生间偏小，早餐食物品种偏少。', '短评打分': 3}
{'短评内容': '酒店性价比还可以。楼上spa就简直不能去。霸王条款收小费！且很多穿着暴露的。。最后没按就走了。让我对这家酒店印象大打折扣', '短评打分': 5}
{'短评内容': '重新装修过了，房间干净整洁，稍微小了一点。428订到大床和标双各一间不含早，算这家较罕见的价格。平时都在500以上。不过，觉得应该在500以内比较合乎酒店的档次。总体满意。', '短评打分': 5}
{'短评内容': '房间比较好，服务也可以，就是价格有点偏高\n', '短评打分': 5}
{'短评内容': ' 非常不错，装修过，有无线上网，很方便。', '短评打分': 3}
{'短评内容': '总体来说还算可以，出差入住的，最主要离开我办事的地方比较近。', '短评打分': 5}
{'短评内容': ' 非常满意，房间干净服务好。就是毛巾旧了点。', '短评打分': 3}
{'短评内容': '此酒店还不算可以，在市区，交通方便，离德国大使馆比较近，酒店卫生条件还可以，服务生服务态度也不错', '短评打分': 5}
{'短评内容': '还是很不错的。', '短评打分': 3}
{'短评内容': '此酒店卫生条件不错，周边购物方便，有一个大的电子市场，很不错。酒店服务生服务态度不错，', '短评打分': 5}
{'短评内容': '房间比较好，服务也可以，就是价格有点偏高', '短评打分': 5}
{'短评内容': '非常好的酒店，房间宽敞，设施新，干净，值得入住。', '短评打分': 3}
{'短评内容': '住宿环境很好，服务一流，但床太软，睡醒腰有点痛。', '短评打分': 3}
{'短评内容': '交通很方便，酒店服务也很好。', '短评打分': 3}
{'短评内容': '优点：总台妹妹服务态度好，引导客人到电梯间；礼宾部服务好，主动帮客人拿行李。\n缺点：比较老的酒店，虽然重新装修过。', '短评打分': 5}
{'短评内容': '总体感觉还不错。不过酒店有点老，价格上性价比不算高。', '短评打分': 5}
{'短评内容': '酒店内部环境不错，硬件设施都很好，很安静。但是门口打车不是很方便，靠近中航天桥。', '短评打分': 5}
{'短评内容': '位置很方便，交通很便利，就是价格有点高。要是再优惠些就好了。', '短评打分': 5}
{'短评内容': '酒店的价位和品质比较让人满意，但是深圳本身就混乱，建议到深圳的人都要注意一下自身安全。', '短评打分': 5}
{'短评内容': '不错的酒店，值得推荐。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '停车方便，中西餐厅味道都不错，入住还有消费券送。房间空间够大，干净明亮，上次介绍客户住，客户都很满意，还说下次还住这酒店。离华强北很近，购买电子产品很方便。靠近繁华地段，晚上灯光夜景不错。华强路地铁站就在旁边。', '短评打分': 5}
{'短评内容': '房间比较干净，服务很好，交通便利，早餐品种少了一点。', '短评打分': 5}
{'短评内容': '去深圳经常入住该酒店，性价比较高，交通也便利。', '短评打分': 5}
{'短评内容': '每次来深圳就会选择这家酒店，一方面比较熟悉，习惯了；另一方面出入也比较方便。', '短评打分': 5}
{'短评内容': '888元的行政楼大床房性价比无敌了！要是还有早餐就更好了，虽然已经有些显老，但还是四星级的品质。', '短评打分': 5}
{'短评内容': ' 性价比相当不错，位置好，服务态度也好，房间很干净，推荐。', '短评打分': 3}
{'短评内容': '订单编号：32185499  \n酒店名称：深圳格兰云天（中航城）大酒店  \n酒店地址：深圳市福田区深南中路3024号（地铁华强路站）  \n酒店电话：0755-83689999  \n入离日期：2011-10-13至2011-10-14  \n到店时间：14:00-18:00 \n房型名称：行政大床房(含单早)  \n特殊要求：变更；  \n房间数量：1间  \n住客姓名：\n订单总价：RMB891.00 (前台', '短评打分': 5}
{'短评内容': 'service不錯，有舒服的感覺，但我個人自己不喜歡地毯', '短评打分': 5}
{'短评内容': '地理位置好，出门地铁非常方便。中间去香港一天，又回来住了一天，又给升级房间了。房间也很不错。', '短评打分': 5}
