{'短评内容': '离车站近，方便', '短评打分': 5}
{'短评内容': '酒店离火车站很近，吃饭很方便，交通便利，房间设施一般，比较陈旧，卫生还可以，没有寄存行李的地方，这个不方便，其他酒店都能暂存行李，希望能改进。', '短评打分': 4}
{'短评内容': '没早餐，不能加床，不适合带孩子。因为没有开车，停车场情况不详。', '短评打分': 3}
{'短评内容': '位置有点偏僻，一晚上空调就没热过，服务员态度恶劣，设施陈旧', '短评打分': 1}
{'短评内容': '就谨慎入主，不要不清不楚，清楚了也要谨慎不清楚，不然就推说自己员工不懂事，太恶心！可恶', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务态度好，房间干净', '短评打分': 5}
{'短评内容': '在老城区阿里饭店小巷，有停车场但很小', '短评打分': 4}
{'短评内容': '床垫薄，磕背，周边安静', '短评打分': 3}
{'短评内容': '第二次住宿了，就是周围环境有点吵，但是吃饭出行都非常方便。', '短评打分': 5}
{'短评内容': '整体来说还是不错的，离火车站还是比较近，走路可以到，就是白天住临街房间太吵.', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生，离火车站很近，楼下是小吃街', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
