{'descr': '隔音效果不怎么样 不过这个价钱马马虎虎了  不要期望太高', 'star': 3}
{'descr': '酒店设施老，电器插座少，酒店周围吃饭比较方便，饭店多，地铁口也很近', 'star': 1}
{'descr': '\n房间很老，有霉味，浴巾洗脸巾是破旧的，但是价格便宜，距地铁很近\n\n', 'star': 1}
{'descr': '位于水西门大街茶南商业街上，临近莫愁湖公园、南京大屠杀遇难同胞纪念馆、夫子庙等。酒店周围交通便利商务繁华，靠近万达广场商业圈。', 'star': 5}
{'descr': '距离地铁很近方便', 'star': 3}
{'descr': '房间有霉味，浴巾破的，但是价格便宜服务挺好', 'star': 1}
{'descr': '1.第一天晚上去住，洗澡的时候热水比较小，等很长时间才出点热水。\n2.热空调不能用，本来那天下了点小雨，有点冷，想开热空调，结果没这功能，不知道是店家故意这样设定的，还是为了节约电费。\n总之还是蛮好的，附近吃东西的店很多，交通方便。', 'star': 5}
{'descr': '这私密性。太“佳”了吧也。这设施，也太“好”了吧。要不是看在位置的份上，再看在旁边那个经济酒店没房了的份上，唉唉唉唉唉唉', 'star': 1}
{'descr': '不错', 'star': 3}
{'descr': '云锦3号口出来，朝锦江之星的方向走就能看到东保龙，每天中午12点之后要重新刷房卡，否则门打不开，这个不方便', 'star': 5}
{'descr': '房间插卡比较不灵敏。       设施比较陈旧。         总的来说还可以吧。', 'star': 5}
{'descr': '挺干净，就是靠窗房间有点吵。', 'star': 3}
{'descr': '不错哦', 'star': 3}
{'descr': '酒店环境还是一般，设施比较简单，价格相对设施来看还是有些偏高，出行还是比较方便离地铁站比较近， 服务态度还是一般。', 'star': 1}
{'descr': '还可以 较干净', 'star': 3}
{'descr': '性价比很高的酒店，酒店对面就是地铁，出行方便，房间舒适度还行，卫生和服务很好，硬件一般', 'star': 5}
{'descr': '服务很好，房间干净整洁，就是硬件设施有些地方简陋些，酒店位置还行，交通出行方便', 'star': 5}
{'descr': '绝对的物有所值  下次一定还去这家酒店\n干净  离地铁还很近  出了地铁就能看到', 'star': 5}
{'descr': '室内的环境及卫生条件比较一般，装修风格也不是很好.整体给我感觉一般化.', 'star': 3}
{'descr': '给我安排个最高的，最角落的，设备还算可以，楼层高，用热水需要等，晚上吵，不适于考生。我一开窗户，乖乖，烟花来了，正好在我面前爆炸，楼下酒店放的。', 'star': 5}
{'descr': '交通便利,挺好', 'star': 3}
{'descr': '交通很方便，出来就是地铁站~~\n环境不错，周围的小吃啊什么的也很多，很好吃呢~~\n总的来说很好哈，推荐~~', 'star': 5}
{'descr': '优点：交通便利，地铁二号号云锦路站下车即到。缺点：卫生一般，设施较差，房间小，床很窄，睡觉总感觉要滚到床下一样。早餐15元一人，有点贵。', 'star': 1}
{'descr': ' 交通方便，设施清爽，价格适中，总体感觉不错', 'star': 3}
