{'短评内容': '酒店位置很好，前台小王小何态度很好', '短评打分': 5}
{'短评内容': '酒店性价比超高 升级新的房间 小普小车服务热情 酒店位置较好', '短评打分': 5}
{'短评内容': '酒店位置很好 房间干净整洁 前台小李 小殷很热情 还免费升级了高级标间', '短评打分': 5}
{'短评内容': '酒店位置很好 离动车站几分钟路程 房间整洁干净 前台小李 小殷很热情', '短评打分': 5}
{'短评内容': '酒店位置很好 前台小李 小殷很热情 早餐很丰富', '短评打分': 5}
{'短评内容': '挺好，升级了', '短评打分': 5}
{'短评内容': '房间非常好，干净舒适，早餐也很好。推荐下次还住在这里。', '短评打分': 5}
{'短评内容': '好，不错，很喜欢', '短评打分': 5}
{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '很好，帮朋友定的 ，早餐里面的面条味道不错的。入住首日，酒店准备了一个小礼物，还是很贴心的，停车方便，卫生不错，这个价格有点偏高了，虽然星级4星 但是总体感觉有点老旧，谢谢携程，能把该酒店价格定低一点就更好了', '短评打分': 5}
{'短评内容': '差劲，服务质量很差，环境一点也不好', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '总体情况不错', '短评打分': 5}
{'短评内容': '赞了半年，好几十家酒店评论今天要写，也不是件容易的事情呀。就不一一做评论了，总之在携程订的都还不错，要不俺也不肯能半年时间在携程从普通会员升级成土豪砖石。谢谢携程', '短评打分': 4}
{'短评内容': '虽然酒店有一段历史了不过设施维护还不错，另外夜床服务让人很舒心', '短评打分': 3}
{'短评内容': '非常好的酒店，早餐也很可口，服务生也很热情。', '短评打分': 3}
{'短评内容': '总体还可以，但是早餐一般吧，不是很丰盛\n总体还可以，但是早餐一般吧，不是很丰盛', '短评打分': 5}
{'短评内容': '418的房间居然没有窗户。', '短评打分': 3}
{'短评内容': '床还舒服，洗澡水一般。早餐惨不忍睹。TCL的电视太土了。夜间有骚扰电话。晚上想睡觉就得拔电话线。', '短评打分': 5}
{'短评内容': '整体感觉还不错 房间 早餐还可以 \n 不过酒店到了晚上十点的样子就 我同事说被隔壁房客吵死了 那种声音~', '短评打分': 5}
{'短评内容': '服务不错，装修不错，性价比高，值得推荐！', '短评打分': 5}
{'短评内容': 'old hotel, good location, price a bit expensive for such small town.', '短评打分': 5}
{'短评内容': '整体还行，就是早餐要改善，房间偏暗，有点不隔音', '短评打分': 5}
{'短评内容': '在火车站对面  很方便  房间挺大的  不过距离市中心有一点距离', '短评打分': 5}
{'短评内容': '替同事订的。 据他们反映，房间很大且服务很快。值得称赞。交通好挺方便，尤其是去开发区。价格也能接受。', '短评打分': 5}
{'短评内容': '地方不干净， 特别是厕所很臭，无法忍受，不会再住', '短评打分': 1}
{'短评内容': '靠近火车站，服务不错，交通便利。下次还会入住。', '短评打分': 5}
{'短评内容': '价格还行，床很舒服，就是装潢比较就xfdsgsgehyuet', '短评打分': 5}
{'短评内容': '离火车站很近，很方便。房间干净不错，早餐也还可以，就是晚上淋浴时的热水不是很热。还有就是没开空调也还是听到轰轰的声音，不知道是哪里发出的。', '短评打分': 5}
{'短评内容': '住宿环境尚可，卫生尚可，二楼菜肴味道尚可', '短评打分': 5}
{'短评内容': '房间还不错，离火车站也近。就是价格稍微高了些。', '短评打分': 5}
{'短评内容': '位置非常好，火车站步行就到，早餐有点简单，总体很满意。', '短评打分': 5}
{'短评内容': '    很好', '短评打分': 3}
{'短评内容': '酒店为单栋建筑，楼层不算高，平面面积较大，设施还算可以。火车站、眼镜市场步行就能到。', '短评打分': 5}
{'短评内容': '商务大床房床为圆形，房间空间还可以，其他还算可以。', '短评打分': 5}
{'短评内容': '价格有点高，其他都很不错。地理位置很好，交通很方便。', '短评打分': 5}
{'短评内容': '感觉一般，跟四星有差距！', '短评打分': 3}
{'短评内容': '富丽豪华的外表下掩饰不了服务的缺陷，吃饭不能挂账，入住居然没有把房卡刷卡就给我', '短评打分': 1}
{'短评内容': '环境一般，房间有股味道通气效果不怎么好。服务比较热情', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还可以的，干净，清洁，卫生，住丹阳的朋友可以尝试一下。', '短评打分': 5}
{'短评内容': '还不错...................', '短评打分': 5}
{'短评内容': '我司安排客户都是这个酒店，不管从价格、卫生、服务等，还可以吧。', '短评打分': 5}
{'短评内容': '各方面都不错\\睡觉很安静,但就是有骚扰电话', '短评打分': 5}
{'短评内容': '这酒店真的很棒，就是个别服务员素质还得提高，早餐马马虎虎。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '如此高性价比的酒店，热情周到的服务，值得推荐。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，房间很干净，设施完善，服务周到热情，下次出行还会住的。', '短评打分': 5}
{'短评内容': '如果是买眼镜，这里是个好选择；否则，不建议入住该酒店，离市区较远，不太方便。', '短评打分': 1}
{'短评内容': '不错的酒店值得推荐', '短评打分': 5}
{'短评内容': '很不错的酒店 ，一直都住它', '短评打分': 3}
{'短评内容': '在财政局旁边，修得像白宫，在丹阳算性价比不错的酒店了', '短评打分': 3}
{'短评内容': '住过好多次了，还不错，各方面都对得起这个房价。', '短评打分': 5}
