{'短评内容': '不错不错，小朋友也喜欢', '短评打分': 5}
{'短评内容': '已经多次入住了，外观一般，里面环境不错，服务很到位', '短评打分': 5}
{'短评内容': '位置交通便利，住宿寂静', '短评打分': 4}
{'短评内容': '如果送早餐更好', '短评打分': 5}
{'短评内容': '没有早餐…然后感觉…地理位置不是很好 打车…都挺难找到的 挺偏僻的…个人觉得  走廊味道挺大 还有哪个电梯 房间还是不错的 ', '短评打分': 5}
{'短评内容': '还行吧 房间有股味道 暗暗的 卫生也有待提高', '短评打分': 5}
{'短评内容': '一进门就有一只蟑螂在墙上 厕所居然也没有冲?震惊阿阿阿', '短评打分': 1}
{'短评内容': '房间比较大 住五楼 晚上和早上都挺干净 听不到外面的声音 可能是住不是对着马路那边吧 淋浴和卫生间是分开的 干湿分离挺好的 洗漱用品还有剃须刀 挺贴心 价钱也不贵 离城门头不远 离祖庙地铁站也就不到一公里的路程 ', '短评打分': 4}
{'短评内容': '酒店厕所和走廊有味道，前台连发票都不会开，开发票要加税点。', '短评打分': 3}
{'短评内容': '酒店厕所和走廊有味道，前台连发票都不会开，开发票要加税点。', '短评打分': 3}
{'短评内容': '酒店厕所和走廊有味道，前台连发票都不会开，开发票要加税点。', '短评打分': 3}
{'短评内容': '酒店厕所和走廊有味道，前台连发票都不会开，开发票要加税点。', '短评打分': 3}
{'短评内容': '地点方便，房间够大，房间卫生一般，床子不舒服', '短评打分': 3}
{'短评内容': '环境一流，服务很好，推荐入住', '短评打分': 5}
{'短评内容': '优质点评将获得100积分', '短评打分': 3}
{'短评内容': '房间很差很旧，水还要另外付款，味道很重!', '短评打分': 3}
{'短评内容': '房间比较旧，我住的是汗蒸房，不过，汗蒸设备不能用', '短评打分': 3}
