{'短评内容': '干净整洁，价格实惠', '短评打分': 4}
{'短评内容': '酒店地理位置好，在东西南北大街的中央。出门就是钟楼，过马路钟鼓楼广场，不走几步就是回民街。美中不足的是房间有点小了，感觉有点拥挤。', '短评打分': 4}
{'短评内容': '酒店地理位置没得说，新装修的也很干净整洁。看广告说洗澡水是地下温泉水，没跟前台确认过，不过确实有硫磺味道哈哈哈哈。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '很好 很满意', '短评打分': 5}
{'短评内容': '到门口感觉小小的，里面设施也不算新，但是服务挺好的，还有行李寄存服务，出去就是钟鼓楼！还是不错的！', '短评打分': 5}
{'短评内容': '嗯不错就是空调不暖', '短评打分': 5}
{'短评内容': '对环境很不满意 这根本就不是什么青年旅社????不满意了', '短评打分': 3}
{'短评内容': '景观房玻璃很脏，但是考虑到西安的环境，可以理解。有一个阳台通向外面，阳台没有什么景观，只是放置了空调，但是门竟然是从外面锁上的，而且当时锁坏了，报修也没有修。将就了两天，惊心胆颤的。另外一件标准大床房淋浴头水量不足，有一个梳妆镜挂在墙上正对着床，很不舒服，拿围巾盖上了。厕所的灯太昏暗。  旧有旧的味道，文保并不是环境软装的一个理由，还可以，但可以做的更好', '短评打分': 3}
{'短评内容': '酒店不错！服务好！', '短评打分': 5}
{'短评内容': '周边刚好碰到手机店搞宣传活动，有点吵，没法睡懒觉…其他都还好', '短评打分': 4}
{'短评内容': '入住好几次了，房间设施略有陈旧，但是很舒服干净。位置很方便。', '短评打分': 5}
{'短评内容': '在闹区，可以住，比较方便，但没电梯，行李多的就不方便了。', '短评打分': 5}
{'短评内容': '挺干净，主要是在闹区，方便游玩。设施还是太旧了。', '短评打分': 5}
{'短评内容': '方位极好，里面很有文艺范哦，干净清爽，开窗有钟楼，步行5分钟是鼓楼回民街，楼下就是邮政，买完特产直接邮走！^_^', '短评打分': 5}
{'短评内容': '明明打电话预定好了要的什么房型，到了那里居然说没有了，大半夜的，让人来气、第二天七八点的时候，服务员居然拿他们自己的房卡开我们的门，事后投诉完全没有解释，态度很差，不要去这家酒店，就是很普通的青年旅舍，价格还那么高，第一天到西安就这个印象，糟糕透了', '短评打分': 1}
{'短评内容': '总体来说很不错哦，在市中心，透过窗户就能看到钟楼，回民街，到哪都很方便，唯一不足的就是酒店没有电梯，对于我们女孩子来说有些吃力了，箱子，行李都要自己搬上搬下，希望酒店有所改进', '短评打分': 5}
{'短评内容': '挺干净整洁的。', '短评打分': 3}
{'短评内容': '酒店服务很好！卫生很好，不错下次还会继续合作！', '短评打分': 5}
{'短评内容': '宾馆环境还好，交通也很方便，就是装修有点久了－－最让人头痛的是外国人只有带护照才能入住，一点不通融', '短评打分': 3}
{'短评内容': '酒店位置很好，就在鼓楼旁边，服务态度好，交通方便', '短评打分': 3}
{'短评内容': '交通很方便 到回民小吃街步行西羊市十五分钟 门口不远处人民剧场就有世园四号线', '短评打分': 3}
{'短评内容': '房间里么有网上， 服务态度也不是很好。  除了地理位置好，一无所长了。。  ', '短评打分': 1}
{'短评内容': '酒店其实很小，没有电梯，房间也比较简陋。优点就是离钟楼近，交通便利，周围景点多，价格便宜，早上赶飞机 也是相当方便啊 性价比低', '短评打分': 5}
{'短评内容': '酒店其实就是个青年旅社。很小，没有电梯，房间也比较简陋。唯一的优点就是离钟楼近，但是还是不推荐。性价比低', '短评打分': 1}
{'短评内容': '服务还不错，距钟楼很近，到回民街也很方便，到西安各景点旅行公交很方便。但酒店装修有点旧。', '短评打分': 5}
{'短评内容': '地段好，能够很好的欣赏风景，离火车站挺近，还可以方便的搭乘机场大巴', '短评打分': 5}
{'短评内容': '位置很好，离钟楼很近。卫生较差、设施陈旧，房间内不能上网。前台特别是一个女生态度相当冷淡，和国营店的大妈差不多，对老外就比较热情。说是酒店，其实就是一个青年旅舍，勉强住了两天还是换地方了。相当不推荐。', '短评打分': 1}
{'短评内容': '地理位置相当便利，住宿条件有点陈旧，晚上洗澡水很小还忽冷忽热的，总体还算勉强满意吧', '短评打分': 3}
{'短评内容': '外国人太多，不知道为什么', '短评打分': 3}
{'短评内容': '干净，卫生', '短评打分': 3}
{'短评内容': '房间设施陈旧，水质量很差，水很黏，颜色还发黄，没电梯，离钟楼近但是晚上睡觉车辆太吵。', '短评打分': 1}
{'短评内容': '不推荐的理由：不是什么酒店，叫 钟楼青年旅舍 ，这个名称如实反映了“酒店”情况。\n1）电梯坏了。楼道又脏又乱。箱子要一层一层搬上去。重箱子就悲剧了。\n2）房间里卫生很差。洗手间外面的垫子已经不在是原来的黄色了，上面大块大块油污，还有不知道什么时候落上去的白屑，就没有人抖掉么？更别说电视呀，烧水壶呀，能明显看到一层灰尘。\n3）隔音很差。本来快睡着了被隔壁的女声给吵醒了，不用仔细听都能听清楚她在说什么', '短评打分': 1}
{'短评内容': '条,件,还，好，环，境，一，般，交，通，比，较，，方，便\n', '短评打分': 5}
{'短评内容': '地理位置优越啊 我们晚上去回民街 吃小吃 很爽的一说 \n早上赶飞机 也是相当方便啊 \n整洁 卫生  条件还不错啊 我们学生住很合适了 \n还是赞一个 下次应该还会住这里', '短评打分': 5}
{'短评内容': '  首先要说的是地理优势，这个酒店离西安钟楼很近很近，我住的423房间就是景观房，晚上拍钟楼夜景很棒。同时购物也很方便，酒店就在购物一条街上，如果以酒店为中心，那么四周都是购物区，小吃、步行街、等！\n   其次，楼下是同一个老板开的青年旅社，进去氛围很棒，墙上有涂鸦，大厅里有桌球，还有小型酒吧。\n   然后住房也还行，有暖气，也有空调，热水水量也挺大。\n\n最后不足之处，酒店有点老了，装修跟不上，其', '短评打分': 5}
{'短评内容': '位置很好，要是赶早飞机住着离机场大巴很近\n去回民街逛也方便\n酒店设施比较陈旧，厕所洗澡间很老式感觉很容易滑倒', '短评打分': 5}
{'短评内容': '地理位置很不错，打开窗户就能看到钟楼尽在咫尺，不足之处在于房间过于简单了些。', '短评打分': 5}
{'短评内容': '位置便利，交通方便，房间比较大，不过设备有点旧，没有电梯，二楼可以免费上网和打台球。能碰见外国人，总体来说，比较实惠。', '短评打分': 5}
{'短评内容': '位置好的没有办法，但是就是楼差了点，床有点窄，硬件一般，不过照价格而言，还不错。', '短评打分': 5}
{'短评内容': '设施有些沉旧.条件很一般', '短评打分': 3}
{'短评内容': '酒店设施陈旧，就是位置还好。说是酒店其实就是青年客栈。', '短评打分': 1}
{'短评内容': '外部坏境比较差，没有电梯，地理位置很好，离钟楼近', '短评打分': 1}
