{'短评内容': '真不咋地房间脏早上没热水网上定好的房间入住突然加10元', '短评打分': 1}
{'短评内容': '一般情况吧不是连锁酒店所以可能稍微差一些，带孩子的话就不要考虑了。特价房挺潮湿的，屋子里还有麻将桌…灯插上插座才能亮，电线悬空在屋子里。', '短评打分': 3}
{'短评内容': '房间差的一笔，脏乱，电视没信号，洗澡没热水还漏水，，楼道没灯，窗帘坏的，还有什么内线服务，就是那～态度还不好，总之差的不行不行的', '短评打分': 1}
{'短评内容': '酒店设施老化，酒店床上用品脏，房间地上有垃圾，卫生间味太大，晚上21.00到23.00之间，半小时有人敲一次门，一会小姐，一会老板，一会服务员，服务非常差，一点安全感都没有～～～', '短评打分': 2}
{'短评内容': '不错的', '短评打分': 4}
{'短评内容': '设施可以，就是电灯有点暗，有时候有点蚊子骚扰。', '短评打分': 4}
{'短评内容': '一般般吧，有点味儿，房间里面有点潮，睡得不舒服', '短评打分': 3}
{'短评内容': '很无语，大热天不让用空调，要用须再交10元空调费，网线信号时有时无，房间内有异味', '短评打分': 2}
{'短评内容': '靠近火车站，不是高铁站，公交车很方便，房间卫生一般吧，洗澡间的淋雨头有问题，挂不住，放上去就掉了，洗澡间洗完澡会有下水管道的臭味，建议改进，有机会再过去吧', '短评打分': 3}
{'短评内容': '真心不推荐，感觉像个黑旅馆，睡觉还害怕呢，贵十块去佳驿不错', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '和预订的不太符合，也还可以了', '短评打分': 3}
{'短评内容': '木有早餐木有电脑只有户外车流伴随火车声响；128俩人住还合算点，哈哈', '短评打分': 3}
{'短评内容': '房间打扫的卫生设施还不错，位置也很方便，价格还是比较合适。', '短评打分': 5}
