{'短评内容': '简单，整洁', '短评打分': 4}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '有早餐。。', '短评打分': 4}
{'短评内容': '遗憾的是没吃到早餐，住得舒服，电视差点', '短评打分': 5}
{'短评内容': '附近修路，交通不便，吃饭方便，装修较老，定的房间没有窗户，因为潮，换了向南的房间，前台服务称赞，附近性价比较高的酒店。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '整体很不错！在这里住了好几次了！现在还有早餐了，服务员也很不错，态度很好，离我办事的地方也比较方便来的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '上次来就住在这里，整体是不错的，离办事的地方也不是很远来的，就是现在的价格比上次来高了一些，应该是加了早餐来的吧！', '短评打分': 5}
{'短评内容': '非常好！价格便宜！里面设施都是新的！非常好！以后还会继续来这家', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '地段好，设施有点老旧，其它没问题，价格实惠！', '短评打分': 3}
{'短评内容': '不错，还是可以的', '短评打分': 5}
{'短评内容': '房间太普通了，不太好', '短评打分': 3}
{'短评内容': '除了床不干净，其他都很满意', '短评打分': 5}
{'短评内容': '价格便宜实惠，房间大，舒服', '短评打分': 5}
{'短评内容': '很实惠，环境不错的', '短评打分': 5}
{'短评内容': '还不错的酒店~~', '短评打分': 5}
{'短评内容': '很好很干净，而且环境也很好，房间大，舒服', '短评打分': 5}
{'短评内容': '装修不错，蛮新的，空调很给力，就是隔音效果不怎么好，晚上有点吵，而且房间没有吹风机!', '短评打分': 5}
{'短评内容': '性价比不错，早餐就不恭维了，离火车站打车也近', '短评打分': 3}
{'短评内容': '环境还行 定的是标准间 就是电脑太小 电视台少了  就是地方有点不好找', '短评打分': 5}
{'短评内容': '物超所值                               值得推荐\n', '短评打分': 5}
{'短评内容': '装潢还可以 性价比高  就是电视节目太少', '短评打分': 5}
{'短评内容': '宾馆位置真心不太好，像是城中村。交通不便，到哪都要走。其他都还不错，服务很好', '短评打分': 5}
{'短评内容': '嗯感觉还不错，房间很干净，空调制冷效果特好，对得起这个价格。', '短评打分': 5}
{'短评内容': '价格合理，不错，地址不好找，地址应该强调在合家福对面那条马路尽头。', '短评打分': 5}
