{'短评内容': '还不错，还不错，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，还不错，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，还不错，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务态度不好，接了单，不给住', '短评打分': 5}
{'短评内容': '干净 安全 不错', '短评打分': 5}
{'短评内容': '服务态度很好，周围环境一般', '短评打分': 5}
{'短评内容': '很干净的呀', '短评打分': 5}
{'短评内容': '不错，卫生，性价比高', '短评打分': 5}
{'短评内容': '很晚才入住，前台姑娘的服务也很好，地理位置也很容易找到', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '多次入住，挺好的。', '短评打分': 5}
{'短评内容': '住过多次，还行。', '短评打分': 5}
{'短评内容': '地理位置还不错，室内比较简单，温馨的粉色被子额······', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很方便 吃东西出门就有 房间稍微小了点  其他都还不错 价格也便宜', '短评打分': 5}
{'短评内容': '房间很干净，位置距市中心打车5分钟，不足是电视频道较少', '短评打分': 3}
{'短评内容': '服务态度很好，服务员见到了客人也会打招呼，可能不好意思所以声音好小。从屋里出去时见到才扔的垃圾也是随手就带走了，就是两张床拼在一起有点咯得慌', '短评打分': 5}
{'短评内容': '还不错就是早上汽车喇叭吵人。不过感觉服务态度还不错的、', '短评打分': 5}
{'短评内容': '连锁酒店住起来就是放心些 ，不过标间床位有些小', '短评打分': 5}
{'短评内容': '环境很好，离市区也很近。', '短评打分': 3}
{'短评内容': '还不错，停车不是很方便，边上的院子里只能停3、4辆车，酒店本身还行，晚上靠街的一面有点噪音，吃饭是比较方便的', '短评打分': 5}
{'短评内容': '各方面都还不错，应该是一家加盟店.大床房就是两张1.2米的床拼起来的,只能睡一边，其他都还不错，下次还住.', '短评打分': 5}
{'短评内容': '环境还不错，但是市话和长途要另收费，不理解。', '短评打分': 3}
{'短评内容': '酒店在市中心，环境很不错，绝对超值。房间标准很好。下次一定还会去住，感觉超值。', '短评打分': 5}
{'短评内容': '不错，房间干净，离美食街——北正街近，离市中心近。', '短评打分': 5}
{'短评内容': '就是小了点', '短评打分': 3}
{'短评内容': '＋房间不错，距离市中心很近。', '短评打分': 3}
{'短评内容': '住的是标间，感觉还可以，就是电视太老了', '短评打分': 3}
{'短评内容': '很好的酒店，服务也比较好，就是地点有点偏，不好找', '短评打分': 5}
{'短评内容': '酒店不错，价格合理，不过安庆这地方真是脏。', '短评打分': 5}
{'短评内容': '还行吧，前台有一个戴了美瞳的妹妹我挺喜欢的，有问必答，热情，爱笑。', '短评打分': 5}
{'短评内容': '环境还可以就是房间的隔音效果不理想', '短评打分': 3}
{'短评内容': '中央气象台继续发布高温暴雨蓝色预警\n\n\n\n\n\n\n\n\n中央气象台继续发布高温暴雨蓝色预警', '短评打分': 5}
{'短评内容': '经常住了，还可以，离市中心走路十五分钟。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格怎么老在变动啊\n忽高忽低\n显得很不稳定啊\n\n\n', '短评打分': 5}
{'短评内容': '卫生各方面做的比较好,价格也算公道。', '短评打分': 3}
{'短评内容': '已经住了好几次了，如家房间挺大，服务态度也好，附近小吃也挺多的。', '短评打分': 5}
{'短评内容': '房间很干净噢，虽然有点小，但还是很不错的～', '短评打分': 3}
{'短评内容': '订的是大床房，但怎么感觉面积没有17²，最多15吧。其它和如家都一样，还不错；但是只有一楼大厅有无线网络，貌似是直营店？关键是便宜！位置也很好，安庆最繁华的小吃街边上，公交出租都方便。', '短评打分': 5}
{'短评内容': '经济实惠，房间还算干净。离市中心也不远，步行也就10分钟。', '短评打分': 5}
{'短评内容': '帮姐姐预定的。她很满意。安静卫生！下次还会住这里！', '短评打分': 5}
{'短评内容': '这家店来过很多次，但这次很失望，先电话 预订说没有房间，会员也没优惠，网上预订显示有，但没房型，过了几个小时才确定下来，入住时前台服务很不好，房间内电视遥控没效，坼开浴帽居然有水，饮用水也不知道是多少天的了，床灯很碍事，不注意就碰头了，总之太差了，很失望。', '短评打分': 1}
{'短评内容': '酒店很不错价钱值了', '短评打分': 3}
{'短评内容': '酒店位置很好，吃饭蛮方便的，交通也方便，是个很好的酒店', '短评打分': 5}
{'短评内容': '酒店还不错，房间比较小，态度比较好，还挺满意的，毕竟就一百多点的房费，离市中心挺近的，逛街很方便', '短评打分': 3}
{'短评内容': '今天换个房间，很好不吵了，房间挺大，设施和其他如家一样不错。', '短评打分': 5}
{'短评内容': '今天住的房间的房型不好，房间是不规则的，走路不方便，而且靠马路有点吵。', '短评打分': 1}
{'短评内容': '还不错，卫生很好。大床房是两张小床拼一起的，房间有点挤，不过我们没有什么行李还好啦。本来定的是两间大床房，但是有一间的床有点不稳，就换了128的标间。附近饭店很多，吃饭不是问题。总体来说还不错，值得推荐。', '短评打分': 5}
{'短评内容': '服务态度很好，早上5点多到的酒店，按道理是要到6点才可以入住的，服务员关切着安排安排我们入住，小感动了一把', '短评打分': 5}
{'短评内容': '还不错，但服务员态度没以前好。同事的被套让换一换都催了好几次', '短评打分': 5}
{'短评内容': '宾馆网速太慢了！！！基本网页都上不了！郁闷！', '短评打分': 1}
{'短评内容': '在安庆每次都住如家，感觉很不错的，服务员态度也蛮好的', '短评打分': 5}
