{'短评内容': '环境好 服务好。总之很满意 哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店装修很现代 酒店也非常新 各方面都很好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '酒店位置很不错，前台服务很好，不过屋子里有股味道，不知道是装修的味道，还是空气清新剂得到味道。总体来说很不错', '短评打分': 5}
{'短评内容': '到店时顶好的房型没有了，免费升级为豪华房。离火车站很近，周边交通挺方便，房间挺干净，隔音不错，在火车站附近一点都不吵', '短评打分': 5}
{'短评内容': '很好，位置很方便，南广场出来就是', '短评打分': 5}
{'短评内容': '酒店环境很好，闹中取静，服务很好，点赞，下次到上海还会选择这里', '短评打分': 5}
{'短评内容': '66666666不错很好', '短评打分': 5}
{'短评内容': '入住便捷，交通便利。', '短评打分': 5}
{'短评内容': '入住便捷，交通便利。', '短评打分': 5}
{'短评内容': '性价比超高，很干净很舒服，出行位置俱佳', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '印象中老旧的酒店……', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通便利、价格实惠、挨着上海站、早餐丰富，房间干净整洁，', '短评打分': 5}
{'短评内容': '交通便利、价格实惠、挨着上海站、卫生设施都相当好.', '短评打分': 5}
{'短评内容': '在上海经常住这里，很好', '短评打分': 5}
{'短评内容': '还可以，出差商务型', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '出行方便，酒店的设施和服务都不错，性价比高。', '短评打分': 5}
{'短评内容': '距离签证中心很近，高架一下右边便是酒店，酒店设施较为陈旧，差旅还是不错的', '短评打分': 3}
