{'短评内容': '暖和，不吵，温馨', '短评打分': 5}
{'短评内容': '房间小', '短评打分': 5}
{'短评内容': '很安静很卫生', '短评打分': 5}
{'短评内容': '酒店挺好的。就是携程网是优惠30，不知道这30是怎么优惠的？我给酒店交的是原价，网上预定的付款也是原价，不知道这30元的优惠怎么和我算？', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '非常干净，舒适，交通，商圈都非常便利。', '短评打分': 5}
{'短评内容': '每次都在这家住，交通吃饭都非常方便。', '短评打分': 5}
{'短评内容': '每次都在这家住，交通吃饭都非常方便。', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '干净卫生。', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好啊', '短评打分': 5}
{'短评内容': '环境不错，服务态度也很好，就是隔音效果不是很好，早上起来有点吵。', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '很贴心雾霾严重还送口罩', '短评打分': 5}
{'短评内容': '很贴心，雾霾严重还送口罩', '短评打分': 5}
{'短评内容': '挺不错的，很好', '短评打分': 5}
{'短评内容': '热水等于冰水，冻死了。酒店也没修好', '短评打分': 4}
{'短评内容': '不错很好不错很好不错很好不错很好不错很好', '短评打分': 5}
{'短评内容': '服务热情。但是噪音大，楼下是便宜房烤鸭，门外是大马路。。。。。。七楼是员工宿舍，住六楼要谨慎！', '短评打分': 4}
{'短评内容': '和全国如家一个样！不过这家楼下有个便宜坊烤鸭店。。。京东预定送积分很给力，但是不能和如家会员优惠同时享受！', '短评打分': 4}
{'短评内容': '地理位置好，交通特别方便，店内人员服务意识挺好，热情', '短评打分': 5}
{'短评内容': '很不错，地理位置很好，我要办事的地方都很方便，服务也好，就是吃的地方稍稍远点，楼下的小吃都是成都小吃那水平的，但是喜欢遛弯就可以去北国商城附近，吃的比较多，我是一个人，所以不愿意走远。', '短评打分': 5}
{'短评内容': '房间设备陈旧，淋浴喷水不舒服，水温不稳定。灯光偏暗。', '短评打分': 1}
{'短评内容': '在西美大厦出差办事，距离近，方便，酒店设施一般。', '短评打分': 5}
{'短评内容': '离市中心挺近的！环境很干净！这里的服务还是挺到位的', '短评打分': 5}
{'短评内容': '在附近出差办事，距离还是较方便，酒店设施和服务一般，图近。\n', '短评打分': 5}
{'短评内容': '停车不方便，其他还可以。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '订的是大床房,卫生间比以前住的小很多,很挤.房间临街,很吵.服务态度还行吧,不过和以前住的比起来稍微有点不足.住进第一天电梯就坏了,有几位旅客被困在里面,听说是打电话给前台都不通,最后没办法报了警,还好最后警察给救出来了,庆幸当时自己没在里面,那几个人出来时一位中年男人被吓的一屁股坐地上了...', '短评打分': 1}
{'短评内容': '挺旧的，通风不好，在住过的全国如家里面是比较差的。', '短评打分': 1}
{'短评内容': '酒店位置不错，离市中心近，卫生情况可以，服务速度慢点', '短评打分': 5}
{'短评内容': '0性价比不高', '短评打分': 3}
{'短评内容': '还行吧，和两个同事一块去的，在附近办事，还比较方便', '短评打分': 5}
{'短评内容': '整体还行，有点味道，白天很吵，我是6楼。', '短评打分': 3}
{'短评内容': '服务还是不错的 就是酒店临街 晚上有些吵', '短评打分': 5}
{'短评内容': '不错的位置。就是房间比其他如家略小，旁边马路太吵。', '短评打分': 5}
{'短评内容': '交通方便，但是住在每层的2号房附近会有油烟。服务员态度很好，及时调整了房间', '短评打分': 5}
{'短评内容': '502号房间油烟味很重，经过协调已经换了房间，服务态度很好', '短评打分': 3}
{'短评内容': '这个酒店502号房间靠近下面的西餐厅，油烟味很重', '短评打分': 5}
{'短评内容': '还不错的连锁酒店，没什么特别之处，适合于商务出差', '短评打分': 5}
{'短评内容': '多次入住这家酒店了，主要是离工作地点近些，方便', '短评打分': 5}
{'短评内容': '我觉得应该如实写出 企业会员 家宾会员 以及网上预订的折扣区别 我这次去定房间就是三种任意选择 结果选了最贵的 多花了几十块', '短评打分': 5}
{'短评内容': '帮人订的，反馈说还可以吧，因为离他工作的地方较近', '短评打分': 3}
{'短评内容': '代人预订的，住的人说这个店的地点比较合适他工作的地方', '短评打分': 5}
{'短评内容': '屋里有蚊子,还算干净,位置不错,电视旧了些,卫生间不错', '短评打分': 5}
{'短评内容': '我住的是大床房，都是临街的，晚上汽车的声音非常吵。房卡一天内几次不好用往返楼上楼下跑。服务还是很好的，但是建议硬件设施要增强。', '短评打分': 1}
{'短评内容': '位置不错，但是周边环境太差，1，2楼在改造，房间隔音极差，晚上可以听到马路上的车声！', '短评打分': 1}
{'短评内容': '地理位置很好，服务应该更快捷些', '短评打分': 5}
{'短评内容': '总体来说还不错.', '短评打分': 5}
{'短评内容': '在装修，太吵', '短评打分': 1}
{'短评内容': '酒店位于石家庄市的繁华地段，地理位置不错，但同时也不能保证环境的安静。服务热情，是如家的一贯风格。酒店自身没有停车场，自驾的朋友可以把车停放在旁边的西美大厦（还是美西大厦，记不大清楚了。）过夜，收费10元左右，还算方便。唯一不太满意的是价格，将近200元的价格在石家庄略显高了。', '短评打分': 5}
{'短评内容': '我觉得酒店环境一般，因为临街，比较吵，位置还可以', '短评打分': 3}
{'短评内容': '酒店服务还不错，那里的服务员让人感到很亲切。', '短评打分': 3}
{'短评内容': '住了好多次了，地理位置好，不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '住过2次，还算可以', '短评打分': 5}
{'短评内容': '住过一次，还不错，服务挺好的很热情', '短评打分': 3}
{'短评内容': '方便，但临街面的房子很吵', '短评打分': 5}
{'短评内容': '设施过于陈旧，尤其是毛巾等物件', '短评打分': 1}
{'短评内容': '一如既往的秉承如家的风格，服务非常周到。周边环境很繁华，下次出差还选这家。\r\n不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '房间换可以，就是临街晚上噪音很大', '短评打分': 5}
{'短评内容': '住的大床房的窗子隔音太差了，晚上的车声经常把人从美梦中惊醒。。。', '短评打分': 5}
{'短评内容': '在石家庄来说价格稍高一点，其他的么，一如既往的如家品质', '短评打分': 5}
{'短评内容': '酒店床不是很舒服，价格相对有点高，服务还可以，如果没有其他选择的话，住这也还凑合了。', '短评打分': 1}
{'短评内容': '酒店在石家庄的市中心地带，环境设施都很好、很方便、很干净酒店的入住率还是很高的.', '短评打分': 5}
{'短评内容': '在全国如家的众多酒店中,这一家酒店的总体感觉低于我对如家的平均值,主要是他的服务,很一般,与如家宣传:如家的感觉&quot;不符.&quot;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;和其他如家一样的设施，但是房间隔音太差，外面马路的汽车和走廊服务员的声音清晰可听，难以入睡，私密性差，建议有朋友预定一定要订不要靠建设大街那边的房间，至少不用听马路的声音了。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '酒店不错，新开张的，服务不错，但由于是新开张的，房间里还有油漆的味道。', '短评打分': 5}
