{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '房间大小合适，设计的合理，周边环境好', '短评打分': 5}
{'短评内容': '一般般，房间小', '短评打分': 4}
{'短评内容': '还可以了，没有窗户的房间；交通及其它还可以接收', '短评打分': 5}
{'短评内容': '不错不错   离海边也很近', '短评打分': 5}
{'短评内容': '环还行，交通方便，服务尚可境', '短评打分': 4}
{'短评内容': '交通还算方便，就在汽车站对面，离火车站也比较近，楼下就有很多饭店和小摊，就是房间小了点，整体还可以。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 1}
{'短评内容': '还行吧', '短评打分': 1}
{'短评内容': '因为临时来到烟台，对周围环境缺乏安全感，从机场乘大巴抵达烟台车总站时间是临晨2点钟，如家快捷酒店被信赖，入住放心。', '短评打分': 5}
{'短评内容': '性价比不错，我很满意。', '短评打分': 4}
{'短评内容': '很好，住着挺舒服的', '短评打分': 5}
{'短评内容': '很安静，适合出差、旅行入住。', '短评打分': 4}
{'短评内容': '前台服务挺好！    房间小点但挺干净的，淋浴头管子坏了，一直漏水，酒店周边挺热闹的，小吃也很全，总的来说还不错吧！     设施还得好好检查一下！', '短评打分': 5}
{'短评内容': '位置好，价格经济实惠，买东西，坐车，都非常方便。', '短评打分': 5}
{'短评内容': '挺好的，就是去的时候2楼装修，给安排的装修旁边的屋子，吵死了，让前台换了个屋子就好了', '短评打分': 5}
{'短评内容': '距离火车站（800m）,汽车站(100m)都比较近(离烟台港2公里，走过去用了半个小时,让生病的女朋友受累了[极度内疚]),吃饭也比较方便(楼下就有各种小吃店---东北菜/鲁菜/川菜/湖北菜...)', '短评打分': 5}
{'短评内容': '还不错 位置不错 比其他家贵点。 早餐不如开发区的那家好。。一般啦 比7天的早餐好多了 恩恩  还行 还行 还行 前台态度比开发区那家好很多 恩恩', '短评打分': 5}
{'短评内容': '酒店在胡同里，不是很好找，胡同里停满了车，走路都不方便，但地处商业区，交通、购物、就餐都十分方便。还有一点不足就是房间小、楼道也窄。', '短评打分': 3}
{'短评内容': '怎么说呢，酒店的地理位置很好，离长途汽车站、火车站、大润发都很近，周边还有很多吃饭的地方，但是酒店的房间很小，应该是住过的如家中最小的了，最重要的是，隔音效果实在太差，外面的脚步声、说话声听得一清二楚。有利有弊吧。', '短评打分': 5}
{'短评内容': '房间不大但是非常干净，服务反映很快，交通便利就在长途汽车站附近，楼下吃饭也很方便。', '短评打分': 5}
{'短评内容': '给朋友订的，很满意，也很方便，下次我来旅游也住这', '短评打分': 5}
{'短评内容': '很好，购物方便，临近三站，大润发，百盛，而且工作人员的服务很好', '短评打分': 5}
{'短评内容': '挺好，很干净，设施齐全、很人性的设置。', '短评打分': 3}
{'短评内容': '挺好的，建议及时维修里面的损坏的设施吧。还有就是强烈要求把海亚旅行社的那些名片下架，本来去挺好的心情，就是被这破旅行社给搞的很郁闷。就跟皮包公司似的，签合同之后就把你倒卖出去了，态度还不好，总之就是忽悠。原本觉得如家挺正规的，推荐的旅行社也应该不错，没想到是这种情况。希望朋友们能以此为戒吧。', '短评打分': 5}
{'短评内容': '比较干净，但是感觉不如以前，望进一步改善，做的更好。', '短评打分': 5}
{'短评内容': '挺方便的！一大早坐了机场大巴去机场。', '短评打分': 3}
{'短评内容': '我们结账时当时拿着牙具要去返积分，前台的女服务员把牙具拿走后说我们是通过中介定的，不能返还积分，然后牙具也不还我们，打算私下收了，真是汗颜……前台态度挺不好的，对人爱理不理的，结账完也不跟我们说一下。', '短评打分': 1}
{'短评内容': '酒店不错啊，而且服务态度很好，真有种到家的感觉。', '短评打分': 3}
{'短评内容': '交通方便，服务态度较好，但是没有热水，电话也不好使', '短评打分': 5}
{'短评内容': '虽然在附近当中应该说是比较贵的，但是感觉很温馨。', '短评打分': 5}
{'短评内容': '住过很多次了，交通非常便利而且附近小吃商场很多，服务很好。室内环境也非常不错。好评！', '短评打分': 3}
{'短评内容': '交通很方便，还是很不错的。到哪里都很方便快捷', '短评打分': 5}
{'短评内容': '空调不好，设施有点陈旧', '短评打分': 3}
{'短评内容': '只能说是  缩水的如家，隔音效果差，洗手间排水设施  也出了点问题。。。。', '短评打分': 1}
{'短评内容': '房间较小，和观海路的那家如家差别太大。最后一天电梯竟然坏掉了，郁闷。周围坏境较差', '短评打分': 1}
{'短评内容': '位置不错，出行方便，房间也挺干净，当然了，这个价格的房间是很小了，哈哈', '短评打分': 5}
{'短评内容': '地方很好。临近商业街。周围有小吃。有KFC，永和豆浆，德克士。旁边就是三站批发市场。与汽车总站也自由一个马路之隔。。总之，衣食住行非常的方便，主要是环境好。设施齐全，住着舒适。很干净。。下次还来。总台的美女素质也很高。', '短评打分': 5}
{'短评内容': '位置好，坐车方便，周围吃饭的地方很多，很不错', '短评打分': 5}
{'短评内容': '房间很干净，服务也很好，感觉挺不错的，下次还会入住', '短评打分': 5}
{'短评内容': '汽车站旁边  很方便出行，还有很多餐馆，离海边也近', '短评打分': 5}
{'短评内容': '车站旁边  很方便，旁边还有很多吃饭的地儿。', '短评打分': 5}
{'短评内容': '在市中心离火车站和汽车站近,出行方便,周围热闹,有地方去玩.', '短评打分': 5}
{'短评内容': '居然停水，郁闷！', '短评打分': 3}
{'短评内容': '酒店很不错，很方便', '短评打分': 3}
{'短评内容': '已经入住品质还是那么好！', '短评打分': 3}
{'短评内容': '前台服务态度很好，房间各方面都不错，环境干净，卫生。', '短评打分': 5}
{'短评内容': '位置较佳，吃和出行都很方便，设施就不用说了，如家全国一样的。', '短评打分': 5}
{'短评内容': '这里离烟台汽车站走路10分钟就到了，一走出车站就可以望到如家的牌子。前台的服务速度比较慢，不过房间还不错，干净宽敞，隔音也还行。可惜打开窗户看不到什么风景。', '短评打分': 5}
{'短评内容': '服务挺好。但是房间小了点。空调老是调不好。对着吹有点凉。服务挺好。但是房间小了点。空调老是调不好。对着吹有点凉。', '短评打分': 5}
{'短评内容': '交通位置方便，服务周到，条件不错，如果下次再去还会入住。', '短评打分': 5}
{'短评内容': '如家酒店房间小了些，但还算干净卫生，还可以接受。', '短评打分': 5}
{'短评内容': '还干净，位置也不错。但是，酒店旁边环境卫生不太好', '短评打分': 5}
{'短评内容': '酒店不错，订的是标准间7楼，感觉面积很大，就是缺少午餐和晚餐，不过出门就有德克士和一家面馆。', '短评打分': 5}
{'短评内容': '酒店位置不错，很干净，很方便，周围不远就是夜市！', '短评打分': 5}
{'短评内容': '酒店服务质量比较统一，床具很舒适,酒店位置不错，就是有些吵', '短评打分': 5}
{'短评内容': '房间干净，就是有点小', '短评打分': 3}
{'短评内容': '总体感觉很好。离车站近，乘车方便。下次还会住这里', '短评打分': 5}
{'短评内容': '我们鼓励入住客人，如果您入住该酒店，不错。\n', '短评打分': 5}
