{'短评内容': '这个居然是四星级，感觉三星都没有，早餐也很差，房间也很旧。这个价格也不便宜啊。', '短评打分': 2}
{'短评内容': '位置在市区，交通方便。', '短评打分': 5}
{'短评内容': '还行，方便', '短评打分': 4}
{'短评内容': '环境不错，就是设施旧了点', '短评打分': 4}
{'短评内容': '还好。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间很大也很干净，服务态度很好！睡觉房间空调温度也比较舒适，很不错的入住体验。总之，酒店非常棒，值得入住!', '短评打分': 5}
{'短评内容': '酒店服务还可以。就是房间里有味道，门上连个安全栓都没有，感觉很不安全', '短评打分': 3}
{'短评内容': '整体一般，服务态度更是一般', '短评打分': 3}
{'短评内容': '整体一般，服务态度尤其一般。', '短评打分': 3}
{'短评内容': '布草实在是太旧了，旧就对卫生不放心，穿着所有衣服睡的觉。  酒店应该要换换布草了，多数人都对布草很敏感。  下次去凯里需要认真选好一点的酒店。', '短评打分': 4}
{'短评内容': '还不错 蛮干净的宾馆 价格合适', '短评打分': 3}
{'短评内容': '位置一般，房间一般，反正也就是个落脚的地方', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '可以！', '短评打分': 5}
