{'短评内容': '整体还不错', '短评打分': 4}
{'短评内容': '希望装修以后会好', '短评打分': 5}
{'短评内容': '超级差！又脏又旧！厕所门都关不上！很旧', '短评打分': 1}
{'短评内容': '没话，无语', '短评打分': 2}
{'短评内容': '没早餐，床挺舒服的，酒店环境一般，有点潮，开空调要干燥模式', '短评打分': 4}
{'短评内容': '服务态度超差，里面太破=', '短评打分': 1}
{'短评内容': '老酒店，房间不太好', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体不错', '短评打分': 3}
{'短评内容': '太差', '短评打分': 3}
{'短评内容': '因为离办事地点近，以后不会再住了，实在不想说什么，', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施有点老，服务可以 第一次住的豪华双床房有茶几和椅子，上次和这次的没有', '短评打分': 3}
