{'短评内容': '每次都过来，不错！', '短评打分': 4}
{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '挺好，不贵', '短评打分': 5}
{'短评内容': '方便、干净，卫生，交通便利。', '短评打分': 5}
{'短评内容': '朋友推荐的，非常好！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '卫生环境都不错，不过给我同事升级了房间没给我升级，希望下次好运照顾我', '短评打分': 5}
{'短评内容': '不错1', '短评打分': 5}
{'短评内容': '酒店不错，多次入住了，门口保安会帮忙指挥停车，进入大厅礼宾员会主动问好，帮忙拿行李，房间也不错，干净，舒适，前台小妹都很和善。穿着红色的衣服，喜庆又漂亮，上次退房看见我拿着行李比较多，还会关心要不要帮忙叫出租车，酒店叫的都是正规出租车，不像机场的出租车经常不打表乱收费。', '短评打分': 5}
{'短评内容': '热水器的问题让人无法原谅。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '丰富的早晚餐菜品，房间干净，服务主动热情。唯一的小不足是网络不稳定导致网络电视经常卡顿。', '短评打分': 4}
{'短评内容': '房间不错，早餐', '短评打分': 5}
{'短评内容': '环境不错，服务满意，干净卫生，设施齐备，网络预定价格实惠！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '不错，很值，在太原算性价比很 高的酒店了！', '短评打分': 5}
{'短评内容': '携程预订得注意酒店不给开发票，需要携程开。让开水单也不给开，说找携程开，结果致电携程表示没有开水单的业务，无语.', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '各方面都不错', '短评打分': 5}
