{'短评内容': '房间很大，床很舒服', '短评打分': 5}
{'短评内容': '房间很大，床很舒适', '短评打分': 5}
{'短评内容': '好号', '短评打分': 5}
{'短评内容': '也没想象中那么差', '短评打分': 5}
{'短评内容': '早餐不是很丰富不过可以吃饱 带孩子来的话是还不错的 位置很好一出门就有各种各样的小吃 星期六晚上还会有个小夜市', '短评打分': 5}
{'短评内容': '还可以。。。。', '短评打分': 5}
{'短评内容': '给力，总体感觉服务还行的', '短评打分': 5}
{'短评内容': '还是很不错的。就是个别服务人员态度一般', '短评打分': 5}
{'短评内容': '还不错的', '短评打分': 4}
{'短评内容': '很不错，繁华，住着也舒适', '短评打分': 5}
{'短评内容': '很好的酒店，干净卫生，以后还会来入住，很开心有这样一段旅行，感谢酒店服务人员，继续努力，以后还会选择这里', '短评打分': 5}
{'短评内容': '很好的酒店，干净卫生，以后还会来入住，很开心有这样一段旅行，感谢酒店服务人员，继续努力，以后还会选择这里', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间设施干净、整洁，地理位置好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住了两次了！浴袍毛巾都很干净！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '非常不错，性价比高，市中心，方便，赞一个', '短评打分': 3}
{'短评内容': '比较一般，貌似住了个圆床房吧，装修不是很精致，床比较低档 硬', '短评打分': 5}
{'短评内容': '还不错哦~\n不是第一次去了、\n还是很喜欢的、\n位置也不错、\n周围就是商业街、', '短评打分': 5}
{'短评内容': '酒店装修不错 挺舒适的 都很不错 唯一差的就是早饭，实在是有点太简陋了 品种少', '短评打分': 5}
{'短评内容': '性价比不错，就是隔音稍差一点。', '短评打分': 3}
{'短评内容': '环境不好很脏，早饭很差，建议大家多再看看别的酒店。', '短评打分': 3}
{'短评内容': '1,位于金华江南繁华的商业街\n2，对面KFC\n3，记得不要靠近KTV楼层的房间\n4，环境ok\n5,进去后无法上网，打前台电话2次，半个小时未果\n  后讲到，如果你们没有人会修网络，直接帮我换房间就简单了啊\n  维修的估计是外面来的，呵呵，可以理解\n6，早餐没有试，起来晚了\n环境OK', '短评打分': 5}
{'短评内容': '房间的床不错够大，但是装修有点陈旧了，水龙头也会掉下来了。', '短评打分': 3}
{'短评内容': '位于金华夜街中心地段，周边环境可以，活动丰富！', '短评打分': 5}
{'短评内容': '设施有点差，其他的倒是还好，方位不错哦....', '短评打分': 1}
{'短评内容': '挺不错的，推荐豪华圆床房，带浴缸的，酒店环境也不错，楼下还有家KTV，不过强烈建议不要去，比较烂', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '此酒店比较有特色，装潢艳丽，美中不足的是早餐所用的盘子没有经过消毒，让人有点遗憾。', '短评打分': 5}
{'短评内容': '酒店房间超温馨的~~环境也不错 地理位置也很好', '短评打分': 5}
{'短评内容': '这里很温暖、', '短评打分': 3}
{'短评内容': '酒店不错，有点情趣！推荐下…下次有机会还来…', '短评打分': 5}
{'短评内容': '还不错,总体还是挺干净的，就是有些细节的东西考虑的还不是很清楚，少了衣柜', '短评打分': 5}
{'短评内容': ' 酒店的特色房間是豪華圓床房，很舒服，還有一個浴缸，可以洗泡泡浴。圓床也特別的大非常適合我們這些年輕時尚的大學生小情侶入住。至於酒店的自助早餐還算湊合。總類不多，比較簡單，不過6分數還有，可以填飽肚子，但是里面員工專的業素質也不是很好，包括後面上來的一個貌似還是管理人員刁的香煙說話有點大聲。應該是和員工討論當天工作安排。總的來說酒店軟件設施不着麼樣，建議總經理給你們的員工多多培訓培訓，更一步提高員', '短评打分': 5}
{'短评内容': '我朋友说酒店很不错哦。很干净。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错的酒店，推荐，就是房间小了点    1111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '很不错的酒店，性价格比很高，房间也很温馨，设施都很新，下次有机会还会选择这家酒店', '短评打分': 5}
{'短评内容': '老房子，新改建的酒店。\n服务不是很到位。\n房间打扫不是很干净，茶杯有污迹，床头便签都写得脏脏的，还留着……\n房间装修有点特色，但居然没有任何挂衣服的地方……\n早餐质量差就算了，盘子、筷子都是带水的，严重怀疑有没有洗干净消毒过……\n结账很慢，要15分钟……\n希望改进吧\n', '短评打分': 1}
{'短评内容': '酒店环境客服2都很不错 就是我这次住了三天 第二天她们打扫房间等我回来后发现门竟然没关 希望下次能注意点 ', '短评打分': 5}
{'短评内容': '地理位置不错，就是市区中心边，对面就是百货公司；\n新装修，感觉有个性，但房间实在太小了；\n感觉还是脱离不了经济型酒店实质；\n前台服务小姐很热情对我问的问题都一一耐心解答；\n', '短评打分': 5}
{'短评内容': '金华的酒店价格还是很合适的，装修也不错，主要是周边游还吃得小吃。。。。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '很有特色的一家酒店，装修很有特点，不错，下次还会考虑的，就是房间感觉有点小了，还有就是早餐不是很满意', '短评打分': 5}
{'短评内容': '位置不错，但如下几点急需改进：\n1。早餐服务很糟糕，餐盘和碗筷不能及时供应\n2。高峰时间，热水不热\n3。门廊内的控制灯会无缘无故的点亮，让人无法安睡。', '短评打分': 5}
{'短评内容': '确实和图片上一样.入住后感觉不错.环境也很安静.性价比还蛮高的.地段也可以.就在江南第一百货对面.就是灯光开关有点分散.哈哈.', '短评打分': 3}
{'短评内容': '和图片一模一样！是非常实惠的酒店！如果床铺的面料更好一点的话，就更满意了！', '短评打分': 5}
{'短评内容': '都不错，就是空调冷气不大，热死我了，情何以堪啊', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '＋还不错', '短评打分': 3}
