{'短评内容': '位置还可以', '短评打分': 2}
{'短评内容': '满意 干净卫生', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '有个和其他娱乐场所共用的院子停车，靠马路不开窗还好，不是很吵，主要是设施比较老旧，淋浴房实在太小了，国庆性价比太低了。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店一般', '短评打分': 4}
{'短评内容': '还可以，但墙上有发霉', '短评打分': 4}
{'短评内容': '位置好，设施陈旧', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '干净层度真的很一般！床单还有几个洞！酒店位置还不错，周边吃饭比较方便，有蛮多店的。', '短评打分': 4}
{'短评内容': '干净层度真的很一般！床单还有几个洞！酒店位置还不错，周边吃饭比较方便，有蛮多店的。', '短评打分': 4}
{'短评内容': '很好，方便', '短评打分': 5}
{'短评内容': '干净，宽敞，比如家，汉庭设施却好些，就是洗澡间是浴缸不好，水下的很慢！', '短评打分': 5}
