{'descr': '环境太差，电视效果不行，不如别的酒店。在野不住了。', 'star': 1}
{'descr': '挺好的，设施齐全，环境整洁，哪都挺好的。挺好的，设施齐全，环境整洁，哪都挺好的。挺好的，设施齐全，环境整洁，哪都挺好的。', 'star': 5}
{'descr': '挺不错的，价格优惠，条件也很不错！强烈推荐！！！！', 'star': 5}
{'descr': '对于那些希望十全十美的住客来说，您还是不要选了吧。。。。住的是大床房，2楼、某一间。没有热水，对于我这种一天洗两天澡的人，实在受不了。浴室还少了一扇门。厕所下水真心慢。不过其他的都还挺干净 。。。', 'star': 5}
{'descr': '这个酒店我经常住，每次出差都来这边，周边交通比较方便，就是吃饭的地方不是特别多，顶', 'star': 5}
{'descr': '酒店服务人员态度不错，网速比较好，就是周边吃饭不是特别方便', 'star': 5}
{'descr': '很满意，这个价位在天津来说物超所值，下次来还住', 'star': 5}
{'descr': '好评。地方好找，房间住着蛮宽敞舒服，附近买东西吃饭也方便，交通在天津看来算方便的。值得一提的是天津去机场的大巴很不给力，一小时一趟，只有两条线路，打车很容易被黑。', 'star': 3}
{'descr': '刚去时前台服务不好，地板总响，空调不好，清洁人员也太差，居然让我自己洗毛巾', 'star': 1}
{'descr': '感觉住的很舒适，服务态度也很好，附近吃的很方便的', 'star': 5}
{'descr': '性价比不错，房间也挺宽敞！\n附近吃的东西也挺多的！\n电梯有些不好', 'star': 5}
{'descr': '挺好的 价格不贵 房间挺大挺干净的 热水也很好', 'star': 5}
{'descr': '感觉不错 价格合理 内部设施齐全 态度也不错 到了天津站后直接乘666 或者827公交到天津工业大学站再前行一段距离就到 比较方便 ', 'star': 5}
{'descr': '房间不错', 'star': 3}
{'descr': '很方便。在工业大学附近。还有个小超市跟市场。买点生活用品更是方便了。走到万达广场也不远。还挺干净的。', 'star': 5}
{'descr': '酒店不错，就是空调声音太大', 'star': 3}
{'descr': '整体很满意，周边也很方便，下次还会来！', 'star': 3}
{'descr': '房间比较旧 淋浴的坏掉了 房间比较老 下次不再去住了', 'star': 1}
{'descr': '环境比较脏，不够卫生，也不舒服，设备比较陈旧。', 'star': 1}
{'descr': '第四次住了，还行吧，价格一般，地理位置不错~~~~~~~~', 'star': 5}
{'descr': '设备太老，房间里面居然有异味，环境一般，', 'star': 3}
{'descr': '在网上预订是120，离火车站是不远，走路10多分钟，不过酒店没有性价比，不值这个价钱，房间很旧，如果是自己旅行可以考虑下，在它附近有很多旅馆，除了7天及如家，其他的应该比这个有性价比，', 'star': 1}
{'descr': '地理位置还不错，房间整洁，空调是新的', 'star': 3}
{'descr': '地段和服务都还可以，环境和设施比较简陋，洗澡的水龙头还是坏的，早餐也很一般~', 'star': 1}
{'descr': '第三次入住，交通方便，价格还行~~~~~~~', 'star': 5}
{'descr': '整体感觉还不错 房间清爽 价格便宜 开始以为和汉庭之类的经济酒店差不多 但感觉还是差些 不过想想毕竟价格要便宜那么多 也没什么好说的了', 'star': 5}
{'descr': '还不错  性价比合理  环境也不错  而且住过的人都留下了痕迹  呵呵', 'star': 5}
{'descr': '距离火车站很近，步行大概十五分钟。设施一般，直观感觉半旧不新。', 'star': 5}
{'descr': '第二次住，还不错，交通方便，也不贵~~~~', 'star': 5}
{'descr': '酒店位置不好找，房间里面都是烟味，很重的，洗浴室没有帘子，水放了很久才热', 'star': 1}
{'descr': '酒店还不错离火车站近，网速很快啊...IPIV电视很有特色', 'star': 5}
{'descr': '环境很差，硬件设施也不好，就是价格便宜，但是以后决不会去这家了。', 'star': 1}
{'descr': '卫生一般，床很软，软的垫的腰疼。总体来讲纯属一般，对得起价格。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店很脏，很差，厕所非常脏，用了宾馆的毛巾。回来就得了阴虱！我擦！！', 'star': 1}
{'descr': '很差', 'star': 3}
{'descr': '总得来说还不错 再来还住！', 'star': 3}
{'descr': '离火车站很近，位置不错，就是卫生间感觉差了点', 'star': 5}
{'descr': '本人是浅睡型的人，可惜贵旅店隔音实在需要加强，我住了一夜，竟被吵醒三四次。先不说有些人没素质，半夜三更还把门弄得哐哐作响，但你旅店有义务告知入住旅客，注意不要影响到他人休息吧，诚然，你是24小时旅店，但该说的还是要说。还有卫生间的设施有待改善，漏水湿嗒嗒的，让人难受。还有，贵旅店是电梯，快捷方便，我很喜欢，但我为何没被告知安全通道在哪，也未看到指示牌什么的，虽然你们有说有事可打XXXX，但有些事是', 'star': 5}
{'descr': '房间不是太干净，设施还是蛮完备的。淋浴房是坏的，也没有毛巾挂钩，凳子比较脏，墙上有脚印。。。其实一些小的细节就反映出酒店的品质，虽然价格便宜，但提升这些品质应该不会太难吧，建议向对面的7天学习下。优点是： 早餐不错的，网速很快，有IPTV。。。还是希望一点点好起来！', 'star': 1}
{'descr': '比想象中的号，设施很齐全，不错，有机会还会来的~~', 'star': 5}
{'descr': '酒店其实挺好挺有创意的，就是设施陈旧了些，房间太小了，不过性价比还是算高的了', 'star': 5}
{'descr': '挺舒心的，位置也不错，就是房间有点小', 'star': 3}
{'descr': '不错，性价比高，早餐较好，位置好，服务不错', 'star': 5}
{'descr': '电话免费打。。。', 'star': 5}
{'descr': '不错，房子很干净，就是我住的房间太吵了，房间隔音不是很好！！', 'star': 5}
{'descr': 'bucuo', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '有点破', 'star': 3}
{'descr': '设施很旧。床铺很冷。被子很薄。后来跟服务多要了两床被子。服务还不错。电话长途市话免费打。', 'star': 5}
{'descr': '垃圾', 'star': 1}
{'descr': '还好，房间蛮大的，服务也不错', 'star': 5}
{'descr': '价格便宜，性价比较高，地点位置不错。但设施简陋，空调不制暖，服务较差。以后订酒店不能仅看有没有早餐，方不方便，这样的价格肯定要影响舒适度的。', 'star': 1}
{'descr': '可免费打电话', 'star': 5}
