{'短评内容': '垃圾。不想说话', '短评打分': 1}
{'短评内容': '房间很温馨', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '周六去大梅沙玩，所以普遍都是这个价格，能够接受，离海边不算远，还不错啦，而且一定要提前订房，不然价格更高又没有房子，玩了还得去找房，就真的是好累的事，总之体验还不错啦。', '短评打分': 4}
{'短评内容': '还是有点差吧，首先进房间就一股廉价宾馆的感觉上来了，特别是卫生间门还是破的，床单上面还有油渍，桌子柜子上面灰尘很多，加油就是柜台的人把我认错以为有人进我房间把房间给锁了，我自己被锁在自己房间几分钟，很尴尬，不知道怎么回事，WiFi信号差，速度慢，用的很难受，不是很舒服，只能给差评了', '短评打分': 2}
{'短评内容': '房间在一楼，没有窗户看外面。其他也还可以！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '没有独立卫生间', '短评打分': 3}
{'短评内容': '酒店不错，价格便宜，卫生很好！', '短评打分': 5}
{'短评内容': '这片算是经济实惠的了，而且离东部华侨城很近，去大梅沙海滨公园也很近。', '短评打分': 5}
{'短评内容': '总体来说还是不错的', '短评打分': 5}
{'短评内容': '非常差，不会再去', '短评打分': 1}
{'短评内容': '很不好！非常不满意！', '短评打分': 3}
{'短评内容': '特价房没有窗户和独立卫生间哦、不过地理位置很好、到东部华侨城和海边都方便.', '短评打分': 5}
{'短评内容': '很差，没有独立卫浴，房间里基本什么都没有，图片与实物相差太多，欺骗消费者', '短评打分': 2}
