{'短评内容': '很好', '短评打分': 5}
{'短评内容': '对位置没有太多感觉，都是车来车往，前台服务太机械，一句系统问题无法解决就把责任推走。要我写入住清单，她来盖章，我是酒店服务员吗？', '短评打分': 4}
{'短评内容': '环境不错，打车方便', '短评打分': 5}
{'短评内容': '环境不错，打车方便', '短评打分': 5}
{'短评内容': '家人住，反应很一般', '短评打分': 3}
{'短评内容': '押金少很方便', '短评打分': 5}
{'短评内容': '押金少方便', '短评打分': 5}
{'短评内容': '真的很好，服务好，卫生条件真的很好，停车也不收费，管理的特别到位，美中不足的就是没有早餐，值得推荐给朋友', '短评打分': 5}
{'短评内容': '好的。', '短评打分': 5}
{'短评内容': '好的。', '短评打分': 5}
{'短评内容': '这酒店太差了！房间有股刺鼻的气味！开着窗子还刺鼻', '短评打分': 3}
{'短评内容': '酒店还可以，但携程订单方面有些小插曲，差一点就没有地方住了，好在最后顺利解决，携程还帮忙免费升级了套房。', '短评打分': 4}
{'短评内容': '内部环境很棒！！！！', '短评打分': 5}
{'短评内容': '非常不错，开会就在附近，下次应该还会来', '短评打分': 5}
{'短评内容': '酒店地理位置优越，紧临地铁口，交通非常方便。周边吃饭、购物都很方便。酒店设施先进，房间干净，设备新，服务热情。酒店住宿可以免费停车，保安很尽责。值得入住', '短评打分': 5}
{'短评内容': '四星级标准只要三星级价钱，简直性价比高，就是离地铁站太远了', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '不错！卫生很好，服务态度也不错，价格也算合理，推荐！', '短评打分': 3}
{'短评内容': '入住的时候是晚上，那个前台接待一副恶心人的样子，真是看了就不爽，这个酒店能有这样的服务员，真是不可思议，第二天退房的服务员有好几个，都很好。其次是房间很好，设施等也不错。', '短评打分': 5}
{'短评内容': '挺干净', '短评打分': 3}
{'短评内容': '干净、卫生、周边吃饭方便，公交还行，有地铁就更好了。', '短评打分': 5}
{'短评内容': '房间设施一般', '短评打分': 3}
{'短评内容': '＋已经入住，服务很好', '短评打分': 3}
{'短评内容': '＋已入住银泉706，对酒店及服务很满意！', '短评打分': 3}
{'短评内容': '不是有名的大酒店 设施一般 服务也一般 就是还算便宜', '短评打分': 5}
{'短评内容': '每次来北京都住这。', '短评打分': 5}
{'短评内容': '性价比极其低，完全不值360的价格 若不是考试在附近 绝对不会选择这家酒店的 感觉一切很一般 就像普通的招待所一样', '短评打分': 1}
{'短评内容': '不错的酒店，就是工作人员的素质以及服务态度实在是一般，与酒店的档次不相匹配。一进酒店，就看见前台服务人员三三两两地闲聊，有几个工作人员还坐在前台客人的椅子上聊天。见到客人没有亲切的问候，换来的是爱答不理。管理者应该重视一下了。', '短评打分': 1}
{'短评内容': '银泉酒店总的来说还可以，要是配上早餐，可能会更好些', '短评打分': 5}
{'短评内容': '总台个别服务人员态度太差！', '短评打分': 1}
{'短评内容': '酒店设施有些旧，其它都还好', '短评打分': 5}
{'短评内容': '卫生还可以,很干净,设施完善,地理位置交通方便,服务热情周到,性价比不错的酒店,值得推荐.下次也会选择入住的', '短评打分': 3}
{'短评内容': '酒店的位置交通不太方便，硬件条件，和环境也只能说是一般的，在这个价格来说也比较高，如果要求不太高的话，我觉得还是可以考虑的。', '短评打分': 3}
{'短评内容': '住了两次本酒店都还不错，服务，环境也都不错，出行也很方便', '短评打分': 5}
{'短评内容': '只是感觉三星的价格有些高.价格在三百元的价位最为合适', '短评打分': 3}
{'短评内容': '没有几个宾馆的电源插座象银泉大厦用着那么方便.服务员服务热情周到.', '短评打分': 5}
{'短评内容': '设施很好，非常干净。物有所值。', '短评打分': 5}
{'短评内容': '不错。软件硬件设施都不错。只不过房间与走廊隔音不好。外面说话房间内听得很清楚，如果晚间或清晨有客人来店或离店，会感觉吵。希望能改进。总体来说不错。价格在三百元最好', '短评打分': 5}
{'短评内容': '我觉得很好呢，房间很干净，而且让人感觉很舒适：）', '短评打分': 5}
{'短评内容': '优点 ：&lt;br /&gt;\n  房间很宽的，淋浴设施也不错的，可以免费上网，至于说宽带，我不敢说，因为速度一般。房间内有小冰箱，可以放自己的饮料。床单很干净。&lt;br /&gt;\n&lt;br /&gt;\n缺点：&lt;br /&gt;\n&lt;br /&gt;\n  房间有一点点的油漆味道。&lt;br /&gt;\n&lt;br /&gt;\n  价格方面，如果能在便宜一些就好了，毕竟，这', '短评打分': 5}
{'短评内容': '我今天刚刚离开银泉酒店，我感觉非常满意！设施完善，物品几乎都是全新的，价格也很便宜，下次我还会考虑这里的！', '短评打分': 5}
{'短评内容': '我大概4月12日要去北京，住一个星期左右，请问你这里具体地方在哪里呢？我要在北大有点事情，麻烦问问远吗？另外价钱是这样吗？', '短评打分': 3}
{'短评内容': '能否价格再低一点，我准备预住十天。我会是该酒店常住客。如行请回我邮件。谢谢！', '短评打分': 3}
{'短评内容': '银泉我住过两次，感觉很好。比我住过的其他的酒店都要好很多（价位相似的）300元以下的应该是最好的了。因为是工行的附属宾馆所以服务很是周到，比如说他的牙刷就是两种颜色的便于区分，他的衣柜里面还有保险箱。可以在房间里面点餐，而且卫生条件很好，特别是洗手间很是干净光线很好。性价比很高。', '短评打分': 3}
{'短评内容': 'The room is very big but old. The location is quite remote,the view is very bad,especially the road in front of the hotel.', '短评打分': 3}
{'短评内容': '银泉以前的ELONG会员价是238，而且包括双人的自助早餐。现在不知怎么价钱升了早餐也没了？！', '短评打分': 3}
{'短评内容': '我是工行员工,房价是否可以再优惠点?', '短评打分': 3}
{'短评内容': '好呀~!', '短评打分': 3}
{'短评内容': '2月下旬去办事住在这里，觉得还可以，虽然房间略小一点，不过还比较干净。&lt;br /&gt;\n早餐还行，服务也不错。&lt;br /&gt;\n如果到西边公干，住在这里比较方便。但是因为地处小道上，周围又是工地，所以晚上出门黑乎乎的。', '短评打分': 3}
{'短评内容': '紧挨着西三环，距离香格里拉饭店走路5分钟。', '短评打分': 3}
{'短评内容': '具体的地方在哪里?北洼西里是个什么地方?靠近三环吗?', '短评打分': 3}
{'短评内容': '我刚刚住过！&lt;br /&gt;\n1）位置还可以，去西边办事比较方便。&lt;br /&gt;\n2）房间宽敞。&lt;br /&gt;\n3）卫生间明亮，浴巾质量好。&lt;br /&gt;\n4）有赠送的矿泉水。&lt;br /&gt;\n5）保龄球馆不错，我们2间房一共可以享受8局免费。&lt;br /&gt;\n6）早餐一般，品种不太丰富，但有鲜奶。&lt;br /&gt;\n7）床头控制器太复杂', '短评打分': 3}
{'短评内容': '我是工行的，我知道，因为银泉大厦上级单位是中国工商银行总行，所以经常接待系统内部的会议，尤其到了年底，房间比较难订。', '短评打分': 3}
{'短评内容': '总订不上会员价格的标准间， 希望能给解决！', '短评打分': 3}
{'短评内容': '标准间不错，只是总是定不 上，应多准备几间房给顾客', '短评打分': 3}
{'短评内容': '银泉的设施不错，不过就是价格高了点。要是恢复以前的价格就太棒了！', '短评打分': 3}
{'短评内容': 'A型标间很棒，大床的感觉很好。服务也不错，最好能降到250，：）', '短评打分': 3}
