{'短评内容': '环境很不好，房间设施破旧……近来入住最差的酒店', '短评打分': 3}
{'短评内容': '环境好，有停车场', '短评打分': 5}
{'短评内容': '一般般吧！', '短评打分': 4}
{'短评内容': '不提供早餐，有停车的地方。', '短评打分': 3}
{'短评内容': '还可以，出差休息休息', '短评打分': 5}
{'短评内容': '早餐很好，环境特别好，卫生也合乎标准。唯一要注意的是，因为环境太好周边有人工的水池，蚊子很多。除了蚊子的问题，可以说是同价位宾馆里最好的。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '住了几次  非常好', '短评打分': 5}
{'短评内容': '门锁是坏的，前台服务人员态度不好', '短评打分': 3}
{'短评内容': '酒店环境不错，中间有个大花园，房间一般，安排在一楼也没窗户，感觉有点闷，总体感觉还可以', '短评打分': 5}
{'短评内容': '酒店有个小花园 别有洞天', '短评打分': 5}
{'短评内容': '价格和设施相比有些小贵，不过总体来说还是蛮不错的。', '短评打分': 4}
{'短评内容': '酒店环境不错，很优美', '短评打分': 5}
{'短评内容': '这家酒店环境不错，服务态度也很好，特别是热水真的很热，很干净，适合有洁癖的人居住，唯一不足的地方是没有网络！', '短评打分': 5}
{'短评内容': '早餐不是在酒店里面的，而是在门口一个小早餐店，而且一张早餐券只抵6元，服务员也没告之', '短评打分': 4}
{'短评内容': '还是性价比很高的呢，', '短评打分': 5}
