{'短评内容': '暖气不错，环境好', '短评打分': 5}
{'短评内容': '环境不错，方便。', '短评打分': 5}
{'短评内容': '下次来 再住', '短评打分': 5}
{'短评内容': '早餐很好的，酒店离火车站近，服务好，房间干净', '短评打分': 5}
{'短评内容': '网络不太稳定', '短评打分': 5}
{'短评内容': '环境好，早餐好，干净，整洁。', '短评打分': 3}
{'短评内容': '不错，物美价廉。', '短评打分': 5}
{'短评内容': '衣服烘了一天都没干', '短评打分': 5}
{'短评内容': '一如既往的方便。早餐还可以。离市区稍微有点路，不过坐公交车也挺方便的，就几站路。酒店房间比较安静。。', '短评打分': 4}
{'短评内容': '早餐超级好吃，床舒服，离火车站距离近', '短评打分': 5}
{'短评内容': '洗漱台与洗手间分开，互不干扰，早餐超级好吃，床非常舒服', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错下次还来', '短评打分': 5}
{'短评内容': '枕头上面有血迹，感觉细节没有做的很到位，烟味很重。', '短评打分': 3}
{'短评内容': '酒店位于丁字路口，里市中心也不算远，服务员素质较高，早餐不错。房间嘛，迷你单间没啥好说的，唯一一点就是mini间都靠马路。较吵。', '短评打分': 4}
{'短评内容': '酒店位于丁字路口，里市中心也不算远，服务员素质较高，早餐不错。房间嘛，迷你单间没啥好说的，唯一一点就是mini间都靠马路。较吵。', '短评打分': 4}
{'短评内容': '酒店位于丁字路口，里市中心也不算远，服务员素质较高，早餐不错。房间嘛，迷你单间没啥好说的，唯一一点就是mini间都靠马路。较吵。', '短评打分': 4}
{'短评内容': '环境不错，硬件很好，服务好。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 4}
