{'短评内容': '还可以把，主要是看到离大东海比较近，所以选择哪里', '短评打分': 3}
{'短评内容': '总体还行吧！位置距离免税店很近，酒店后面就是市场，很方便！！', '短评打分': 5}
{'短评内容': '帮朋友定的估计还不错，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '特好的一间酒店，装修得还挺新的，虽然房间不是很大，但是房间没有味道，而且挺整洁干净的。送的早餐味道不错，而且品种也挺多，只是我们吃的时候，空调没开，吃得满身大汗，问服务员说，空调已经全部打开。酒店位置离大东海不是很远，不过走路要半个小时，打车的话就很快，只要10元。回来后已经向好几个同事推荐此酒店了，只要酒店早餐时把空调全打开那就很完美了。', '短评打分': 5}
{'短评内容': '帮朋友定的，听说还不错。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这个酒店住了几天，感觉还可以，内部环境不错，交通方便，只是在路口，有些吵。总之一句话，在这个价位，硬件不错，软件有待提高！', '短评打分': 5}
{'短评内容': '酒店还是不错的  不过我住的房价蚂蚁好多  网速也慢  基本上没有上了', '短评打分': 5}
{'短评内容': '地理位置很好，服务也不错，房间也挺好，离大东海很近，距离吃饭的地方也很近，坐三轮车6块钱就可以到码头吃海鲜', '短评打分': 5}
{'短评内容': '性价比很高！！干净，安静。交通方便。家人很满意！另外离免税店几十米。', '短评打分': 5}
{'短评内容': '性价比很高！！干净，安静。交通方便。家人很满意！', '短评打分': 5}
{'短评内容': '很干净的\n地点也不错，就在鹿回头免税店旁边', '短评打分': 5}
{'短评内容': '临近特别紧，三亚夜生活到很晚，所以怕吵的就不要选择这里了！房间特别脏，而且设计绝对有问题，及其的不人性化！早餐更不用说了，品种少的可怜去晚了什么都没了！床头柜里放本什么宇宙奥秘的书，退房时愣说我们给拆封了，要收费！及其及其恶心的一家酒店！严重影响了我们旅行的心情！', '短评打分': 1}
{'短评内容': '酒店环境不错，就是人流量少了点。免费班车接送很方便，免费帮升级了房间，很不错！', '短评打分': 5}
{'短评内容': '经济型酒店，主要是交通极方便，去免税店步行5分钟，去大东海广场、第一市场步行20分钟，门口几乎包含了所有的公交车站。不过就是没有海景，有的房间没窗户，想逛逛市中心的，是不错的经济型选择。', '短评打分': 5}
{'短评内容': '可惜洗手间不能换气。', '短评打分': 3}
{'短评内容': '酒店在装饰气味较重，服务态度较好。', '短评打分': 3}
{'短评内容': '服务尚可，酒店设施一般，地处闹市有点吵，早点非常一般。距离免税店很近。', '短评打分': 1}
