{'短评内容': '环境临街，噪音太大无法休息。周边环境太差，酒店无就餐很不方便。', '短评打分': 3}
{'短评内容': '不错不错很不错', '短评打分': 4}
{'短评内容': '街道边比较吵', '短评打分': 4}
{'短评内容': '很不错，先住后付，这个可以的', '短评打分': 5}
{'短评内容': '作为商务酒店价格有优势房间也不错，早餐虽然差一点但是在商务酒店里也算可以了，物有所值吧，适合出差住。', '短评打分': 4}
{'短评内容': '45893678524863897', '短评打分': 5}
{'短评内容': '一直住这家 很好 服务好 早餐好', '短评打分': 5}
{'短评内容': '房间很大，铺地毯，感觉不干净。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '安排在一楼，太吵', '短评打分': 4}
{'短评内容': '地摊有异味', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '非常满意，性价比超高', '短评打分': 5}
{'短评内容': '还可以。旁边有吃饭的地方', '短评打分': 4}
{'短评内容': 'wifi不好用', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯嗯', '短评打分': 5}
