{'短评内容': '不错，环境好', '短评打分': 5}
{'短评内容': '早餐没吃，不能加床，适合带孩子，位置好找，有停车场1就去啊啊！不是不知道不不啊我们我们不一样的那还是', '短评打分': 4}
{'短评内容': '早餐七点半才开始。不能加床，酒店位置可以！有停车场', '短评打分': 4}
{'短评内容': '早餐有点简单，适合带小孩出行', '短评打分': 4}
{'短评内容': '早餐跟简单，这是第二次入住，感觉这次卫生不怎么好', '短评打分': 4}
{'短评内容': '可以，帮朋友订的房，朋友说不错', '短评打分': 5}
{'短评内容': '环境不错  位置不错', '短评打分': 5}
{'短评内容': '下次再来荆门还是选择柏景，家一样的感觉', '短评打分': 5}
{'短评内容': '停车不太方便，车位少。另携程上说下午3点退房，可酒店却说只能2点退房。房间暖气不行。', '短评打分': 3}
{'短评内容': '还可以。经常住', '短评打分': 5}
{'短评内容': '空调效果太差，第一晚中央空调没开，半夜冻醒了，需要加强服务意识', '短评打分': 4}
{'短评内容': '酒店个方面设施条件都很好，下次还选择这家', '短评打分': 5}
{'短评内容': '环境很好，很干净，床睡起来也很舒服，以后开房都来这里，呵呵', '短评打分': 5}
{'短评内容': '位置不错，其他的必须用糟烂来形容。首先，酒店没有餐厅，用餐只能叫外卖或出去自己找。其次，暖风给的不怎么样，很冷，需要加被子还得等，最后告知没有被子了，好像骂街有木有？第三，暖风不好也就罢了，窗户居然漏风，这一宿睡下来，那酸爽，我就呵呵了！！！严重的不推荐！！！！！！！', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '每次都住这！很不错的位置', '短评打分': 5}
{'短评内容': '好，来荆门就住这边，方便。', '短评打分': 5}
{'短评内容': '一般的酒店，比较新，但房间很小，没早餐,性价比不高', '短评打分': 1}
