{'短评内容': '昨天人住了，性价比高。', '短评打分': 5}
{'短评内容': '已经入住了，为何未显示成交？ 该旅馆价格实惠带电梯，房间非常干净也够大，卫生间设施齐全，大床1.5米！空调、电视效果都不错，wifi信号很好，值得推荐。 ', '短评打分': 4}
{'短评内容': '实在', '短评打分': 4}
{'短评内容': '没早餐，很小的屋子不能加床，不合适带孩子，位置还可以，没停车厂', '短评打分': 1}
{'短评内容': '该旅馆价格实惠带电梯，房间非常干净也够大，卫生间设施齐全，大床1.5米！空调、电视效果都不错，wifi信号很好，值得推荐。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '该旅馆确实价廉物美，很满意，下次去义乌一定还住这一家旅馆，并推荐给各位朋友们，真的很好很不错哦！另外，我下次出外旅行还一定会请携程帮忙订旅馆的，谢谢携程！', '短评打分': 5}
{'短评内容': '房间没有我想象的好，卫生也不好，而且提供的一次性洗漱用品里面的牙膏居然没有盖，导致我打不开牙膏瓶体，好心情一下子都没了，让我值得欣慰的是退房时的服务生很热情！因为还要去商贸城拿货，我还把行李寄存都了前台。', '短评打分': 3}
{'短评内容': '环境不好，卫生差，价格摆着呢，没办法', '短评打分': 2}
{'短评内容': '环境不错！室内布局合理！简而精！就是门头太小，不容易找！可是只要来，我还会选择这里！', '短评打分': 5}
{'短评内容': '还有待提高，但是相对来说，不错，真心的   哦', '短评打分': 5}
{'短评内容': '个人感觉比之前住的一家卫生。但是电视频道真的是少的可怜。烧水的，不会自动跳。灯光比较暗。没有床头灯', '短评打分': 5}
{'短评内容': '价格是便宜，但房间很小，隔音也不好，马马虎虎了', '短评打分': 5}
{'短评内容': '价格合适，地理位置优越，距离国际商贸城二区也就2公里，步行非常方便。品质与如家、速8等品质一样。这家酒店非常适合来无锡考察、进货、出差的朋友休息。', '短评打分': 5}
{'短评内容': '床单比较脏，睡 了感觉身子不舒服，\n其它的就是配套一般考虑到价格，也就这样子好了', '短评打分': 1}
{'短评内容': '很便宜，卫生也还可以，就是房间太小了，电视机也太小，没多少频道', '短评打分': 5}
{'短评内容': '还不错挺好', '短评打分': 3}
{'短评内容': '房间挺干净，空调很好用。就是有的房间窗户不能锁，还有隔音不太好。', '短评打分': 3}
{'短评内容': '房间虽小但一个人住足够了。吃饭也方便。只是电视只能收十几个频道。太少啦！', '短评打分': 5}
{'短评内容': '房间虽小但一个人住足够了。只是电视只能收十几个频道。而且还不大清楚。', '短评打分': 5}
{'短评内容': '电视频道少的可怜，床不舒服，枕头低，窗户还没把手，大晚上的都关不上', '短评打分': 3}
{'短评内容': '还不错  比较简单', '短评打分': 3}
{'短评内容': '距离义乌国际商贸城很近，也比较干净，值得考虑噢', '短评打分': 5}
{'短评内容': '这里不错  ，环境不错 ，经济实惠，交通方便，里国际商贸城特近，来到义乌国际商贸城的，最佳选择', '短评打分': 5}
{'短评内容': '还行，比较干净方便，就是房间有点小，房间隔音效果不太好，而且电视节目太少。', '短评打分': 5}
{'短评内容': '酒店位置和酒店环境及酒店卫生还是可以的，就是酒店前台服务人员很差', '短评打分': 5}
{'短评内容': '旁边就是国际商贸城，不错挺近的。就是店招牌不太明显，不好找', '短评打分': 3}
