{'短评内容': '酒店位置好，安静', '短评打分': 5}
{'短评内容': '很不错，小彭服务很不错，非常好，无线网络也很好', '短评打分': 5}
{'短评内容': '前台小刘服务不错，很满意，位置很好，........', '短评打分': 5}
{'短评内容': '对比周边已经很好了', '短评打分': 5}
{'短评内容': '很好，很满意', '短评打分': 5}
{'短评内容': '小帅服务很热情！ ', '短评打分': 5}
{'短评内容': '小帅服务不错，非常好又便宜', '短评打分': 5}
{'短评内容': '特意叮嘱要了一间有窗户的房间。不知道是什么窗帘，天一亮瞬间哪里都明亮了，完全不遮光……电视吧，开关那里的光也是极强！最主要的是隔音呀，真的很差……！但是那时前台服务还是比较周到，周边位置交通方便', '短评打分': 4}
{'短评内容': '小帅服务很好，还是一家连锁酒店，挺好的，空调效果好', '短评打分': 5}
{'短评内容': '小帅服务热情，非常好的一家酒店挺满意的', '短评打分': 5}
{'短评内容': '挺好的，出行方便，2楼就有火锅店', '短评打分': 3}
{'短评内容': '酒店工作人员态度不错，位置也不错。成都是个让人惬意的城市。', '短评打分': 3}
{'短评内容': '看演唱会订的，离体育中心很近，坐公交车一下车就看到咯，总体来说还是不错！', '短评打分': 5}
{'短评内容': '不错！很好 很干净！卫生！下次还住。', '短评打分': 3}
{'短评内容': '差评，超级差评！只有最差没有更差！为了看bigbang 的演唱会提前一个多星期就预定了，出发的当天中午因为知道房源紧张为了预防万一还提前打电话沟通确认了！可等到下午入住的时候告诉我们没房！我说那你至少也提前通知一下啊，前台说:忘了！把我们安排到离体育中心很远的店里去！中途多产生的费用提都没提，经理打电话也没道歉就是让我们交押金！酒店环境也不好，很大一股烟味，厕所熏香也没点一个！被子感觉湿气很重，很', '短评打分': 1}
