{'短评内容': '酒店非常干净整洁，安全性也很好，地理位置更是不用说啦，酒店门口一堆北京特色小吃店，唯一的问题是好像楼上的卫生间还是暖气管漏水，哒哒哒的声音一直有～', '短评打分': 5}
{'短评内容': '专业专注还办了卡', '短评打分': 5}
{'短评内容': '房间干净卫生，下次继续住这样的酒店', '短评打分': 5}
{'短评内容': '出差方便 很安静 也很干净 下次会再来', '短评打分': 5}
{'短评内容': '服务不错，下次还会继续下单', '短评打分': 5}
{'短评内容': '环境很舒服', '短评打分': 5}
{'短评内容': '干净卫生，好', '短评打分': 5}
{'短评内容': '还可以，位置不错', '短评打分': 5}
{'短评内容': '很安静', '短评打分': 5}
{'短评内容': '周边吃的不少', '短评打分': 5}
{'短评内容': '还行，挺好找的，工作人员态度都还不错，', '短评打分': 5}
{'短评内容': '位置还好，用地图就能找到，前台服务态度也不错，房间刚进去有股厕所味，不喜欢，最不满意的就是热水不够热，光开热水温度就不是很热，温温的。', '短评打分': 4}
{'短评内容': '服务很到位，退房时由于店方原因未能直接出具发票，第二天专程用顺丰快递给寄了过来，赞一下。', '短评打分': 5}
{'短评内容': '北京酒店都偏贵，这里算是性价比很高了。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '干净不错，出差最标准的选择', '短评打分': 4}
{'短评内容': '床单一块脏', '短评打分': 4}
{'短评内容': '不好找。房间一股烟味。其他还好。', '短评打分': 3}
