{'短评内容': '给朋友订的，朋友住的还算满意，地段确实不错', '短评打分': 4}
{'短评内容': '很干净卫生', '短评打分': 5}
{'短评内容': '一进门房间整体很干净，设施齐全，空间也挺大的，灯光很柔和,床睡着很舒服,周围小区没什么噪音，连锁酒店就是住的省心。价格实惠，性价比高！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间小，床睡的腰疼', '短评打分': 3}
{'短评内容': '稍微难找，一楼卡座非常好。', '短评打分': 5}
{'短评内容': '放间不是很大，没有照片上好，不过一个人住也够了', '短评打分': 5}
{'短评内容': '灯光太暗', '短评打分': 4}
{'短评内容': '空调不能用', '短评打分': 4}
{'短评内容': '酒店位置不错，室内比较干净', '短评打分': 5}
{'短评内容': ' 地理位置很好，在柯桥银泰商圈，周边吃喝玩乐一条龙一应俱全，酒店前台的服务态度也还是挺不错的。整体很好。', '短评打分': 5}
{'短评内容': '挺好的，酒店服务很不错，不用交押金，很方便', '短评打分': 5}
{'短评内容': '隔音不好，地板有所陈旧了', '短评打分': 5}
{'短评内容': 'Clean. Location good. Cross street from In Timesquare, Walmart and many other shops and restaurants. ', '短评打分': 4}
{'短评内容': '还好', '短评打分': 2}
{'短评内容': '酒店挺大的', '短评打分': 5}
{'短评内容': '总体还可以啦，一般般，服务很好', '短评打分': 5}
{'短评内容': ' 酒店服务很好.装修新非常满意!', '短评打分': 3}
{'短评内容': '地理位置很好，周边很多购物的地方，很不错，就会有点不隔音！', '短评打分': 5}
{'短评内容': '房间蛮大的..还可以.蛮干净的.我觉得下次很值得去住', '短评打分': 5}
{'短评内容': '酒店位置还不错，停车的地方还蛮多的。房间比较安静的，小的大床房看起来挺温馨。唯一的遗憾就是服务员第一天来打扰房间的时候，把我自己带的牙刷牙膏也给扔了，哭啊，我自己带的牙刷和酒店提供的那么不一样，居然就给扔了，不知道清洁工阿姨当时怎么想的，哎。', '短评打分': 5}
{'短评内容': '酒店服务很好~~推介各位入住~~~~~~~~', '短评打分': 5}
{'短评内容': '  不错，干净整齐，就是小了点想换个结果说不行。', '短评打分': 3}
{'短评内容': '交通还可以，房间大小还可以，前台退房还是要速度一点', '短评打分': 5}
{'短评内容': '酒店整体很新,房间也比较舒适,周围吃饭的地方也多,购物较方便.\n就是距离轻纺城远了一些.', '短评打分': 5}
{'短评内容': '总体感觉还是很好的  房间整洁 干净 就是空调噪音很大  服务也很好 下次还会去住的', '短评打分': 5}
{'短评内容': '很干净，很好！睡的舒服！位置很好找', '短评打分': 3}
{'短评内容': '非常好，很满意，折扣再多点就更好，哈', '短评打分': 3}
{'短评内容': '还是觉得不错。就是周围没吃早餐的地方，有就更好了', '短评打分': 5}
{'短评内容': '服务不错。又安静。是个不错的酒店。柯桥的', '短评打分': 5}
{'短评内容': '总体来讲不错，没有早饭。还有晚上有人塞名片', '短评打分': 5}
{'短评内容': '还不错..就是木有早饭......额..我觉得还是挺舒适的', '短评打分': 5}
{'短评内容': '地理位置不错，很好找，周边购物什么的很方便，只是房间有那么一点点小，不过很安静，不错，下次还住。', '短评打分': 5}
{'短评内容': ' 环境不错，干净，东西摆放细心，就隔音太差', '短评打分': 3}
{'短评内容': '酒店虽然不是在市中心，但是周边的设施很齐全，购物，吃饭都很方便，门口不远就有公交站台，可以直接到轻纺城北市场，对于去进货的客商比较有利，房间干净整洁，美中不足的是房间面积比较小，没有无线上网．', '短评打分': 5}
{'短评内容': '很舒服，服务很不错，蛮安静的，价格也实在', '短评打分': 5}
{'短评内容': '房间小的没话说，空调呀呀响。卫浴也小，总之，都小！', '短评打分': 3}
{'短评内容': '环境幽静、出入方便，附近有华润万家、沃尔玛，购物方便。', '短评打分': 3}
