{'短评内容': '有停车场吗？', '短评打分': 5}
{'短评内容': '酒店地理位置很好，交通便利，价格合理，设备设施齐全、房间干净整洁，24小时沐浴热水，浴巾牙刷都是封包干净安全。床品打理的特别整齐，被子干净整洁，一次性纸杯干净卫生，前台到客房服务员都很热情，面带微笑主动问好。wifi超好、整体环境很好，坐车比较方便，吃饭购物超级方便。赞、赞、赞，以后还会再来。', '短评打分': 5}
{'短评内容': '我想问问这种房间对得起263元这个价格吗？不隔音，网络不好，内窗，像牢房，房间潮湿气味大，除了地理位置还行。', '短评打分': 3}
{'短评内容': '京东预定，不过住的房间太烂了，应该不再想去住了', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '咯我宿舍我的狄仁杰我的', '短评打分': 5}
{'短评内容': '还好&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境比较舒适', '短评打分': 5}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '房间很差，卫生差，装修老化。', '短评打分': 3}
{'短评内容': '房间卫生环境很差，设备都老化了。墙面掉皮。最重要的一点。606房间非常臭。差评', '短评打分': 3}
{'短评内容': '房间不错很干净', '短评打分': 5}
{'短评内容': '周围环境很好，出行很方便。', '短评打分': 4}
{'短评内容': '房间里面太味了！空调声音好大的！', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般般，还可以', '短评打分': 4}
{'短评内容': '周围出行方便，旁边有永旺还有别的商场，价格也比较超值', '短评打分': 5}
