{'短评内容': '一般般吧，一晚凑合咯', '短评打分': 3}
{'短评内容': '常住', '短评打分': 5}
{'短评内容': '还可以都挺好', '短评打分': 5}
{'短评内容': '还可以555', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 2}
{'短评内容': '房间很大', '短评打分': 5}
{'短评内容': '房间太差和图片完全不一样', '短评打分': 5}
{'短评内容': '服务态度真心一般般，爱理不理的，环境确实也很一般，可能是因为年纪大的缘故吧，另外房间的灯好暗，设施好不舒服，无线网信号特别差，空调压根儿就不能用！', '短评打分': 2}
{'短评内容': '来台州出差 一直住的这里。交通方便 设施比较老了。灯比较暗 ', '短评打分': 4}
{'短评内容': '出差订的，周边都挺方便的。', '短评打分': 4}
{'短评内容': '说了有40平的，进去才知道最多20', '短评打分': 3}
{'短评内容': '还可以，不错。性价比比较高。', '短评打分': 5}
{'短评内容': '老样子。一切如旧。有些设备该教了', '短评打分': 4}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '性价比高，早点好的，服务也不错', '短评打分': 5}
{'短评内容': '不错，不错，很好', '短评打分': 5}
{'短评内容': '性价比高，每次出差都住这个酒店', '短评打分': 4}
{'短评内容': '酒店还可以，时间有点久了，房间有点味道，还算过的去。', '短评打分': 5}
{'短评内容': '就是图个离客运中心方便，酒店算老的了，装修什么的都旧了', '短评打分': 5}
